x, y, z, theta
4.3477,-96.9223,0,-2.89203
3.99336,-97.0119,0,-2.88921
3.61138,-97.1096,0,-2.88648
3.30117,-97.1895,0,-2.88424
2.90774,-97.2921,0,-2.88135
2.46706,-97.4088,0,-2.8789
2.1457,-97.4948,0,-2.87711
1.77833,-97.594,0,-2.87593
1.39782,-97.6973,0,-2.87496
0.993642,-97.8074,0,-2.8741
0.589595,-97.918,0,-2.87335
0.138127,-98.042,0,-2.87266
-0.313242,-98.1664,0,-2.87242
-0.78832,-98.2975,0,-2.87206
-1.26337,-98.4287,0,-2.8721
-1.75031,-98.5631,0,-2.87202
-2.23721,-98.6976,0,-2.87163
-2.73599,-98.8354,0,-2.87184
-3.29056,-98.9889,0,-2.8714
-3.77741,-99.1236,0,-2.87121
-4.24048,-99.2519,0,-2.87063
-4.70348,-99.3804,0,-2.87032
-5.16637,-99.5093,0,-2.87039
-5.61729,-99.6353,0,-2.87204
-6.0683,-99.761,0,-2.87644
-6.50783,-99.882,0,-2.88438
-6.95993,-100.004,0,-2.89735
-7.4133,-100.121,0,-2.91558
-7.8444,-100.225,0,-2.94065
-8.38064,-100.347,0,-2.97132
-8.81634,-100.43,0,-3.0043
-9.24245,-100.496,0,-3.04917
-9.64613,-100.545,0,-3.09546
-10.0885,-100.577,0,3.12934
-10.4949,-100.584,0,3.07003
-10.9257,-100.565,0,2.99975
-11.3543,-100.519,0,2.92988
-11.7788,-100.443,0,2.86011
-12.2085,-100.334,0,2.79257
-12.6294,-100.194,0,2.72291
-13.1322,-100.032,0,2.64965
-13.5398,-99.8281,0,2.57309
-13.9204,-99.6006,0,2.49978
-14.2842,-99.347,0,2.42793
-14.6374,-99.0589,0,2.3546
-14.9603,-98.755,0,2.28598
-15.2682,-98.419,0,2.20802
-15.5585,-98.0518,0,2.1383
-15.833,-97.6426,0,2.0659
-16.0818,-97.2031,0,1.99898
-16.2994,-96.7473,0,1.93377
-16.566,-96.2064,0,1.88279
-16.7431,-95.6811,0,1.83719
-16.8985,-95.1233,0,1.79467
-17.034,-94.5476,0,1.76651
-17.1543,-93.9561,0,1.74946
-17.2629,-93.3622,0,1.74343
-17.3678,-92.7551,0,1.74475
-17.422,-92.4394,0,1.74744
-17.4772,-92.1239,0,1.75211
-17.5314,-91.8207,0,1.75714
-17.5917,-91.4935,0,1.76312
-17.6513,-91.1787,0,1.76846
-17.7126,-90.8643,0,1.7748
-17.7758,-90.5503,0,1.78118
-17.8411,-90.2366,0,1.78754
-17.9133,-89.8993,0,1.79192
-18.0079,-89.4645,0,1.79867
-18.0789,-89.1521,0,1.80473
-18.1547,-88.8282,0,1.80981
-18.2351,-88.4927,0,1.81366
-18.3111,-88.1815,0,1.81665
-18.3884,-87.8706,0,1.82025
-18.4699,-87.5481,0,1.82272
-18.5461,-87.2497,0,1.82369
-18.6259,-86.9394,0,1.82476
-18.7124,-86.6054,0,1.82626
-18.7931,-86.2954,0,1.8272
-18.8803,-85.9616,0,1.82796
-18.9615,-85.6518,0,1.82866
-19.0493,-85.3181,0,1.82955
-19.131,-85.0084,0,1.83032
-19.2192,-84.6749,0,1.83116
-19.3014,-84.3653,0,1.83216
-19.3871,-84.0439,0,1.83337
-19.4732,-83.7225,0,1.83416
-19.5594,-83.4012,0,1.8346
-19.646,-83.08,0,1.83581
-19.733,-82.7589,0,1.83694
-19.8488,-82.3167,0,1.83689
-19.9394,-81.9839,0,1.83667
-20.0302,-81.651,0,1.83709
-20.1211,-81.3183,0,1.8373
-20.2087,-80.9973,0,1.83702
-20.2995,-80.6645,0,1.83691
-20.3904,-80.3317,0,1.83722
-20.4877,-79.9751,0,1.83668
-20.5783,-79.6422,0,1.83621
-20.672,-79.2974,0,1.83623
-20.7658,-78.9527,0,1.83597
-20.8562,-78.6197,0,1.83532
-20.9496,-78.2748,0,1.83499
-21.0398,-77.9419,0,1.83514
-21.1364,-77.5851,0,1.8353
-21.2267,-77.2521,0,1.83523
-21.3234,-76.8954,0,1.83545
-21.4169,-76.5505,0,1.83557
-21.5105,-76.2057,0,1.83552
-21.6073,-75.8489,0,1.8356
-21.6976,-75.516,0,1.8356
-21.7944,-75.1593,0,1.83558
-21.9187,-74.7006,0,1.83543
-22.0121,-74.3557,0,1.83516
-22.1056,-74.0109,0,1.8352
-22.199,-73.666,0,1.83534
-22.2925,-73.3211,0,1.83516
-22.3889,-72.9643,0,1.83463
-22.4821,-72.6194,0,1.83474
-22.5786,-72.2626,0,1.83493
-22.6686,-71.9296,0,1.83497
-22.7652,-71.5728,0,1.83505
-22.8617,-71.216,0,1.83515
-22.9582,-70.8592,0,1.83511
-23.0547,-70.5024,0,1.83679
-23.1517,-70.1457,0,1.83913
-23.2491,-69.7891,0,1.84153
-23.3472,-69.4327,0,1.84373
-23.446,-69.0766,0,1.84655
-23.5459,-68.7207,0,1.8492
-23.6469,-68.3651,0,1.85258
-23.7489,-68.0098,0,1.85493
-23.8517,-67.6549,0,1.85743
-23.9589,-67.2883,0,1.85961
-24.1066,-66.777,0,1.86216
-24.2122,-66.4228,0,1.86428
-24.3258,-66.0453,0,1.86553
-24.4293,-65.7033,0,1.86641
-24.5368,-65.3496,0,1.86747
-24.6518,-64.9725,0,1.86757
-24.7598,-64.619,0,1.868
-24.8754,-64.2421,0,1.86889
-24.9911,-63.8652,0,1.86853
-25.103,-63.5,0,1.86835
-25.215,-63.1349,0,1.8687
-25.3309,-62.758,0,1.86911
-25.4431,-62.3929,0,1.86922
-25.5591,-62.0161,0,1.86949
-25.6788,-61.6275,0,1.86976
-25.7949,-61.2507,0,1.86974
-25.911,-60.874,0,1.86983
