x,y,z,theta,kappa,s,dkappa
73.6351,-90.1141,0,-1.35071,-0.00887957,0,-0.000679823
73.85,-91.0957,0,-1.35998,-0.00957276,1.00485,-0.000695151
74.0554,-92.0793,0,-1.36995,-0.0102638,2.00971,-0.000672005
74.2507,-93.065,0,-1.38059,-0.0109015,3.01456,-0.00058349
74.4352,-94.0527,0,-1.39181,-0.0114019,4.01941,-0.000391291
74.6084,-95.0426,0,-1.40341,-0.0116369,5.02427,-4.68857e-05
74.77,-96.0343,0,-1.41505,-0.0114288,6.02912,0.000497667
74.9203,-97.0279,0,-1.42616,-0.0105632,7.03397,0.00125905
75.0601,-98.0229,0,-1.43599,-0.00884872,8.03883,0.00216313
75.1911,-99.0192,0,-1.44365,-0.00624677,9.04368,0.00296769
75.3159,-100.016,0,-1.44835,-0.00306676,10.0485,0.00322322
75.4376,-101.014,0,-1.44989,-0.000150223,11.0534,0.00234042
75.5591,-102.011,0,-1.44909,0.00165866,12.0582,0.00177163
75.6822,-103.009,0,-1.4465,0.00352159,13.0631,0.00189254
75.8088,-104.005,0,-1.44203,0.005341,14.0679,0.00165188
75.9408,-105.001,0,-1.43593,0.00665925,15.0728,0.000871553
76.0793,-105.997,0,-1.42901,0.00688949,16.0777,-0.000507816
76.2246,-106.991,0,-1.42264,0.00548241,17.0825,-0.00234888
76.3752,-107.985,0,-1.41858,0.00248673,18.0874,-0.00299472
76.5284,-108.978,0,-1.41748,-0.00014842,19.0922,-0.00217588
76.6814,-109.971,0,-1.41854,-0.00176861,20.0971,-0.00100835
76.8328,-110.964,0,-1.42061,-0.00213078,21.1019,0.000292248
76.9822,-111.958,0,-1.42239,-0.0011985,22.1068,0.00154476
77.1305,-112.952,0,-1.42263,0.000860347,23.1116,0.00238501
77.2797,-113.945,0,-1.42048,0.00348837,24.1165,0.00283999
77.4324,-114.939,0,-1.41547,0.00657178,25.1213,0.00330725
77.5917,-115.931,0,-1.4071,0.0101744,26.1262,0.00389337
77.7612,-116.921,0,-1.39478,0.0144823,27.131,0.00473849
77.9452,-117.909,0,-1.37763,0.0200061,28.1359,0.00703617
78.1494,-118.893,0,-1.35311,0.029719,29.1407,0.0125428
78.3833,-119.87,0,-1.31575,0.0458956,30.1456,0.0200977
78.6628,-120.835,0,-1.25782,0.0712225,31.1505,0.0309599
79.0116,-121.777,0,-1.1683,0.109394,32.1553,0.0454607
79.4625,-122.674,0,-1.03322,0.160226,33.1602,0.0480009
80.0496,-123.488,0,-0.852583,0.193835,34.165,0.0156666
80.7808,-124.175,0,-0.656568,0.190036,35.1699,-0.0212057
81.628,-124.713,0,-0.480033,0.158675,36.1747,-0.0371757
82.5502,-125.11,0,-0.339508,0.121368,37.1796,-0.0353247
83.5143,-125.392,0,-0.233589,0.0918259,38.1844,-0.0223921
84.5007,-125.582,0,-0.150831,0.0744504,39.1893,-0.0130266
85.4986,-125.698,0,-0.0815335,0.0644133,40.1941,-0.00739895
86.5021,-125.748,0,-0.01988,0.0588871,41.199,-0.00387173
87.5067,-125.739,0,0.0377478,0.0561665,42.2038,-0.00175107
88.5093,-125.673,0,0.0935387,0.0551887,43.2087,0.000236965
89.5066,-125.551,0,0.149726,0.0573108,44.2135,0.00422878
90.4952,-125.372,0,0.210325,0.064257,45.2184,0.00994842
91.4699,-125.129,0,0.281206,0.0782505,46.2233,0.0185353
92.4221,-124.809,0,0.371238,0.103254,47.2281,0.0323922
93.3352,-124.391,0,0.494663,0.145556,48.233,0.0490899
94.1768,-123.844,0,0.665545,0.193538,49.2378,0.0426456
94.8977,-123.146,0,0.876946,0.221388,50.2427,0.00815331
