x,y,z,theta,kappa,s,dkappa
0.370874,-59.8305,0,1.79642,-0.014916,0,-0.000918448
0.154031,-58.8517,0,1.78114,-0.015399,1.0025,0.000129146
-0.0478173,-57.8698,0,1.76612,-0.0141303,2.005,0.00277902
-0.236065,-56.8851,0,1.75416,-0.00876243,3.0075,0.00862886
-0.416329,-55.8989,0,1.75128,0.00479334,4.01,0.0191895
-0.60234,-54.9139,0,1.76783,0.0301762,5.0125,0.0305997
-0.818574,-53.935,0,1.81383,0.0609806,6.015,0.0267572
-1.09287,-52.971,0,1.88477,0.0766074,7.0175,0.00573058
-1.43941,-52.0306,0,1.96329,0.0786675,8.02,-0.00245158
-1.85817,-51.12,0,2.039,0.0703451,9.0225,-0.0145037
-2.33918,-50.2406,0,2.10021,0.0499147,10.025,-0.0255278
-2.86303,-49.386,0,2.13624,0.0208246,11.0275,-0.0322196
-3.40431,-48.5421,0,2.14048,-0.012538,12.03,-0.0333169
-3.93503,-47.6917,0,2.11154,-0.0447781,13.0325,-0.0308428
-4.42719,-46.8185,0,2.05165,-0.0737936,14.035,-0.025233
-4.85412,-45.9118,0,1.96671,-0.0938589,15.0375,-0.0144524
-5.19486,-44.9694,0,1.86737,-0.102274,16.04,-0.00226507
-5.43835,-43.9974,0,1.76582,-0.0978808,17.0425,0.0124129
-5.58688,-43.0063,0,1.6768,-0.0769331,18.045,0.0290493
-5.65992,-42.0066,0,1.61679,-0.0403423,19.0475,0.0437324
-5.69363,-41.0047,0,1.60017,0.00742347,20.05,0.0452822
-5.734,-40.003,0,1.62878,0.0481357,21.0525,0.0362384
-5.82191,-39.0045,0,1.69383,0.0802263,22.055,0.0276419
-5.98894,-38.0164,0,1.78628,0.101485,23.0575,0.0112285
-6.25349,-37.0499,0,1.88943,0.100011,24.06,-0.0142962
-6.61154,-36.1139,0,1.97846,0.0737757,25.0625,-0.0371708
-7.03638,-35.206,0,2.03104,0.0299966,26.065,-0.0442459
-7.48862,-34.3113,0,2.03943,-0.012857,27.0675,-0.0418151
-7.92932,-33.4109,0,2.00548,-0.0550645,28.07,-0.0429484
-8.31943,-32.4877,0,1.92845,-0.0980161,29.0725,-0.0390627
-8.61792,-31.5313,0,1.81272,-0.130567,30.075,-0.025352
-8.79023,-30.5445,0,1.67169,-0.148197,31.0775,-0.0098856
-8.81579,-29.5433,0,1.52036,-0.151861,32.08,0.00137152
-8.69002,-28.5497,0,1.37052,-0.145324,33.0825,0.0117797
-8.42214,-27.5845,0,1.23241,-0.128642,34.085,0.0210747
-8.03281,-26.6613,0,1.11482,-0.106367,35.0875,0.0190534
-7.54669,-25.785,0,1.01622,-0.0918172,36.09,0.0102753
-6.98148,-24.9574,0,0.928088,-0.0851688,37.0925,0.00327619
-6.34736,-24.1813,0,0.843642,-0.0832863,38.095,0.00322694
-5.65102,-23.4605,0,0.762683,-0.0772953,39.0975,0.00878886
-4.90125,-22.7954,0,0.690563,-0.0656432,40.1,0.0144267
-4.10955,-22.1806,0,0.632626,-0.0501388,41.1025,0.0133756
-3.2876,-21.6068,0,0.587906,-0.0402455,42.105,0.00639124
-2.44285,-21.0671,0,0.549624,-0.0372644,43.1075,-0.00041764
-1.57825,-20.5598,0,0.511168,-0.0396719,44.11,-0.00177773
-0.694313,-20.087,0,0.471139,-0.03955,45.1125,0.00203514
0.207538,-19.6494,0,0.433156,-0.0355866,46.115,0.00586353
1.12432,-19.2439,0,0.400963,-0.0283798,47.1175,0.00744087
2.05229,-18.8646,0,0.376165,-0.0211782,48.12,0.00692881
2.98813,-18.5052,0,0.358332,-0.0144797,49.1225,0.00643943
3.92911,-18.1594,0,0.346912,-0.00862064,50.125,0.00456055
4.87314,-17.8221,0,0.340021,-0.00566562,51.1275,0.00133545
5.81916,-17.4903,0,0.334472,-0.00594299,52.13,-0.00188939
6.76723,-17.1645,0,0.327107,-0.0089699,53.1325,-0.00321319
7.71817,-16.8471,0,0.316587,-0.0119306,54.135,-0.00269273
8.67282,-16.5412,0,0.303361,-0.0143671,55.1375,-0.00216717
9.63176,-16.2489,0,0.288064,-0.0156463,56.14,0.000829722
10.5951,-15.9713,0,0.273697,-0.0121174,57.1425,0.00620602
11.5615,-15.705,0,0.265565,-0.0032119,58.145,0.011559
12.5287,-15.4414,0,0.268835,0.00978345,59.1475,0.0118822
13.4934,-15.1686,0,0.283845,0.0193936,60.15,0.00728179
14.4527,-14.8775,0,0.306168,0.0243631,61.1525,0.00262457
15.4047,-14.5635,0,0.33113,0.0246641,62.155,-0.00200184
16.3488,-14.2264,0,0.354084,0.0203693,63.1575,-0.00654803
17.286,-13.8704,0,0.370475,0.0116034,64.16,-0.0108907
18.2191,-13.5039,0,0.375839,-0.00202631,65.1625,-0.0176431
19.1532,-13.14,0,0.363365,-0.0244549,66.165,-0.0272264
20.0962,-12.7999,0,0.323363,-0.0572708,67.1675,-0.0387658
21.0573,-12.5156,0,0.244417,-0.101153,68.17,-0.04359
22.0417,-12.3297,0,0.122172,-0.141732,69.1725,-0.03762
23.0421,-12.2846,0,-0.0380216,-0.17715,70.175,-0.0334375
24.0343,-12.4167,0,-0.231841,-0.208037,71.1775,-0.0235144
24.978,-12.7493,0,-0.447559,-0.217217,72.18,0.00664387
25.8289,-13.2758,0,-0.656945,-0.196043,73.1825,0.0331357
26.5621,-13.9576,0,-0.835124,-0.159656,74.185,0.0331203
27.1768,-14.7483,0,-0.979851,-0.130128,75.1875,0.0268131
27.6834,-15.6128,0,-1.09718,-0.10409,76.19,0.0259031
28.0974,-16.5254,0,-1.18825,-0.0774499,77.1925,0.0267726
28.4395,-17.4676,0,-1.25237,-0.0503686,78.195,0.0274595
28.7336,-18.4259,0,-1.28879,-0.0219567,79.1975,0.0294293
29.0068,-19.3904,0,-1.29576,0.00775211,80.2,0.0276147
29.287,-20.353,0,-1.27516,0.0322792,81.2025,0.0212718
29.5977,-21.306,0,-1.23323,0.0502517,82.205,0.0144877
29.9554,-22.2424,0,-1.17698,0.0599071,83.2075,0.00215848
30.3672,-23.1562,0,-1.11881,0.0532137,84.21,-0.0154058
30.826,-24.0475,0,-1.07601,0.0294113,85.2125,-0.031888
31.3098,-24.9256,0,-1.06479,-0.00792097,86.215,-0.037119
31.7869,-25.8072,0,-1.09051,-0.0425779,87.2175,-0.0322453
32.2263,-26.7082,0,-1.1487,-0.0728207,88.22,-0.0280944
32.599,-27.6384,0,-1.23477,-0.0967933,89.2225,-0.0154059
32.8816,-28.5998,0,-1.33563,-0.100423,90.225,0.00842893
33.0682,-29.5845,0,-1.42817,-0.0804763,91.2275,0.0306405
33.1764,-30.5809,0,-1.49076,-0.0431498,92.23,0.0383414
33.2412,-31.5813,0,-1.51512,-0.00574786,93.2325,0.0366494
33.3003,-32.5821,0,-1.50245,0.0311635,94.235,0.0373788
33.3906,-33.5804,0,-1.45236,0.0679524,95.2375,0.0323192
33.5477,-34.5702,0,-1.3703,0.0933498,96.24,0.0178857
33.7952,-35.5412,0,-1.27044,0.103119,97.2425,0.00150938
34.1404,-36.482,0,-1.16897,0.0966902,98.245,-0.0142811
34.5738,-37.3856,0,-1.08179,0.0747211,99.2475,-0.0292573
35.0727,-38.255,0,-1.02387,0.0385983,100.25,-0.0426612
35.604,-39.1051,0,-1.00833,-0.00773192,101.253,-0.0436204
36.1295,-39.9588,0,-1.03629,-0.0464104,102.255,-0.0337742
36.6153,-40.8355,0,-1.0982,-0.0754934,103.258,-0.0240884
37.0342,-41.746,0,-1.18405,-0.0933159,104.26,-0.00927136
37.3677,-42.691,0,-1.27883,-0.0923048,105.263,0.0113957
37.6141,-43.6624,0,-1.36231,-0.0710518,106.265,0.0304401
37.7922,-44.6489,0,-1.416,-0.0354421,107.268,0.0344799
37.9346,-45.6412,0,-1.43539,-0.00435985,108.27,0.027782
38.0721,-46.6342,0,-1.42677,0.0206148,109.273,0.0221212
38.2297,-47.6242,0,-1.39587,0.0403211,110.275,0.0178936
38.4269,-48.607,0,-1.34692,0.0569043,111.278,0.0152265
38.6795,-49.577,0,-1.28263,0.0709466,112.28,0.0128475
39.0003,-50.5265,0,-1.20531,0.08341,113.283,0.0135673
39.3996,-51.4457,0,-1.11397,0.0998561,114.285,0.0198204
39.8893,-52.3199,0,-1.00237,0.124473,115.288,0.0300238
40.4845,-53.1255,0,-0.860596,0.159073,116.29,0.0331754
41.1992,-53.8267,0,-0.686722,0.185251,117.293,0.0179416
42.03,-54.3849,0,-0.495071,0.194072,118.295,4.79514e-05
42.9526,-54.7732,0,-0.302752,0.187615,119.298,-0.0124548
43.9315,-54.9833,0,-0.1234,0.167618,120.3,-0.0277267
44.932,-55.028,0,0.0282677,0.132699,121.303,-0.041233
45.9302,-54.9404,0,0.139385,0.0892607,122.305,-0.0402862
46.9167,-54.7632,0,0.210011,0.0528451,123.308,-0.0330535
47.8925,-54.5335,0,0.247126,0.0218279,124.31,-0.0292502
48.863,-54.2823,0,0.254696,-0.0064593,125.313,-0.0276298
