x, y, z, theta
12.8287,-59.4826,0,2.03722
12.6801,-59.1875,0,2.0332
12.5295,-58.8855,0,2.05045
12.3754,-58.5892,0,2.0817
12.2182,-58.3087,0,2.12071
12.0376,-58.014,0,2.15662
11.8641,-57.7525,0,2.19335
11.6781,-57.4934,0,2.22871
11.4592,-57.2101,0,2.27247
11.1505,-56.8449,0,2.3067
10.8899,-56.5572,0,2.33394
10.6807,-56.3384,0,2.34853
10.4151,-56.0688,0,2.35908
10.1763,-55.8313,0,2.36166
9.91584,-55.5737,0,2.35514
9.63457,-55.2918,0,2.34042
9.37704,-55.026,0,2.31768
9.13844,-54.7683,0,2.28878
8.83844,-54.4248,0,2.24674
8.61743,-54.1493,0,2.21198
8.37787,-53.8283,0,2.16353
8.11172,-53.4331,0,2.11194
7.85107,-52.9994,0,2.05262
7.65366,-52.6219,0,2.00879
7.43999,-52.1657,0,1.96167
7.27994,-51.7773,0,1.92553
7.11025,-51.3192,0,1.89016
6.94111,-50.8077,0,1.86407
6.81507,-50.3903,0,1.85548
6.71752,-50.0569,0,1.84929
6.62401,-49.7299,0,1.85034
6.48685,-49.2521,0,1.85973
6.34052,-48.7598,0,1.87907
6.19204,-48.2935,0,1.9052
6.0474,-47.8772,0,1.94242
5.86436,-47.4076,0,1.9868
5.66819,-46.9636,0,2.0385
5.43082,-46.4936,0,2.09204
5.17554,-46.049,0,2.14607
4.93948,-45.685,0,2.18241
4.69908,-45.3422,0,2.23878
4.49243,-45.0803,0,2.26679
4.13639,-44.6541,0,2.30578
3.78916,-44.27,0,2.33041
3.44932,-43.9122,0,2.34025
3.06317,-43.5135,0,2.33667
2.66128,-43.0956,0,2.32077
2.37791,-42.7914,0,2.29866
2.01859,-42.3882,0,2.26746
1.71355,-42.0235,0,2.22975
1.396,-41.6135,0,2.18669
1.11753,-41.22,0,2.14141
0.816909,-40.7516,0,2.08922
0.602326,-40.3755,0,2.0468
0.392946,-39.9694,0,2.01488
0.259993,-39.6899,0,1.97605
0.079257,-39.2686,0,1.94063
-0.126776,-38.7372,0,1.91225
-0.239004,-38.4214,0,1.90335
-0.396883,-37.9642,0,1.8963
-0.547482,-37.518,0,1.89555
-0.689476,-37.0963,0,1.90046
-0.839635,-36.6574,0,1.91003
-0.992843,-36.2232,0,1.92109
-1.11395,-35.8918,0,1.93072
-1.26234,-35.4974,0,1.94107
-1.40544,-35.1288,0,1.95141
-1.54811,-34.7722,0,1.96
-1.67514,-34.4625,0,1.96815
-1.84876,-34.0488,0,1.97546
-2.01947,-33.6502,0,1.97744
-2.16511,-33.312,0,1.97551
-2.30772,-32.9791,0,1.96862
-2.45543,-32.6276,0,1.95699
-2.57649,-32.3299,0,1.9417
-2.71127,-31.9833,0,1.92243
-2.85222,-31.5991,0,1.89441
-2.96941,-31.2497,0,1.87054
