x, y, z, theta
17.0503,-52.0514,0,2.31918
16.816,-51.7999,0,2.31123
16.5512,-51.5133,0,2.30116
16.3249,-51.2598,0,2.30213
16.0504,-50.9481,0,2.32256
15.8315,-50.7048,0,2.35219
15.5731,-50.4296,0,2.38379
15.2882,-50.145,0,2.42649
15.005,-49.8883,0,2.4686
14.6486,-49.5886,0,2.51028
14.2887,-49.3134,0,2.54689
13.8969,-49.0392,0,2.5738
13.4958,-48.7787,0,2.58958
13.0784,-48.5204,0,2.58999
12.6478,-48.2595,0,2.58005
12.2294,-48.003,0,2.55346
11.8052,-47.7319,0,2.51073
11.3802,-47.4393,0,2.46437
10.9599,-47.1188,0,2.4102
10.5599,-46.7785,0,2.35809
10.1667,-46.4068,0,2.30679
9.80276,-46.0235,0,2.26121
9.43448,-45.5933,0,2.22784
9.08468,-45.1479,0,2.20411
8.90424,-44.9057,0,2.19831
8.56498,-44.4365,0,2.19895
8.38944,-44.1907,0,2.20427
8.20659,-43.9346,0,2.2131
7.85818,-43.4566,0,2.24143
7.66875,-43.2053,0,2.2628
7.46708,-42.9477,0,2.28454
7.26822,-42.7038,0,2.30804
7.06377,-42.4647,0,2.33219
6.84516,-42.2212,0,2.35588
6.64099,-41.999,0,2.3761
6.41969,-41.7753,0,2.39722
6.18389,-41.5484,0,2.41559
5.96149,-41.344,0,2.43288
5.71645,-41.1272,0,2.44566
5.47747,-40.9225,0,2.45618
5.23575,-40.7211,0,2.46353
4.99156,-40.5226,0,2.46775
4.74574,-40.3262,0,2.46996
4.50904,-40.1386,0,2.46859
4.06465,-39.7875,0,2.46054
3.6411,-39.4506,0,2.44427
3.27048,-39.1483,0,2.4209
2.90511,-38.8397,0,2.39232
2.56643,-38.5387,0,2.36108
2.26387,-38.2542,0,2.32318
2.00177,-37.9909,0,2.28348
1.73829,-37.7032,0,2.24928
1.49373,-37.4156,0,2.21488
1.26786,-37.1289,0,2.1827
1.0449,-36.8242,0,2.15939
0.82441,-36.5023,0,2.14055
0.611723,-36.1752,0,2.13023
0.397504,-35.8342,0,2.12765
0.165277,-35.4598,0,2.12971
-0.0732698,-35.0746,0,2.13551
-0.313492,-34.6904,0,2.14432
-0.560958,-34.3044,0,2.15528
-0.815704,-33.9146,0,2.16462
-1.06785,-33.5381,0,2.17208
-1.32393,-33.1643,0,2.1739
-1.58205,-32.792,0,2.16986
-1.82573,-32.4402,0,2.16035
-2.06832,-32.0877,0,2.14243
-2.29283,-31.7533,0,2.11512
-2.47704,-31.4678,0,2.08332
-2.64673,-31.188,0,2.04551
-2.85872,-30.8041,0,1.98262
-3.02867,-30.453,0,1.91271
-3.17657,-30.092,0,1.83431
-3.29828,-29.7082,0,1.74764
-3.38715,-29.3156,0,1.65578
-3.43049,-29.0167,0,1.59527
-3.45575,-28.7157,0,1.53746
-3.46147,-28.4012,0,1.48924
-3.44805,-28.0743,0,1.44381
-3.41128,-27.7281,0,1.40417
-3.36106,-27.3666,0,1.36585
-3.29124,-26.97,0,1.32564
-3.20262,-26.5643,0,1.28495
-3.09085,-26.1382,0,1.24008
-2.94447,-25.6697,0,1.18829
-2.77408,-25.2095,0,1.13837
-2.57634,-24.7465,0,1.09663
-2.33825,-24.2606,0,1.05148
-2.05912,-23.7534,0,1.01663
-1.76753,-23.2679,0,0.987028
-1.60593,-23.0127,0,0.975644
-1.27699,-22.5236,0,0.953884
-1.10567,-22.2749,0,0.941688
-0.931659,-22.028,0,0.930774
-0.747429,-21.7729,0,0.918119
-0.560326,-21.5199,0,0.905934
-0.370426,-21.269,0,0.895027
-0.16981,-21.0105,0,0.880499
0.0265675,-20.7647,0,0.867485
0.234146,-20.5117,0,0.854518
