x, y, z, theta
63.7711,7.45906,0,-0.295085
64.0579,7.37171,0,-0.294987
64.371,7.27648,0,-0.294757
64.708,7.17345,0,-0.292243
65.0331,7.07444,0,-0.287777
65.3948,6.96609,0,-0.282353
65.8138,6.84302,0,-0.275842
66.1041,6.7593,0,-0.270623
66.431,6.66667,0,-0.264899
66.7707,6.57277,0,-0.258265
67.1352,6.47446,0,-0.251323
67.5005,6.37871,0,-0.244494
67.903,6.27617,0,-0.238257
68.294,6.17986,0,-0.232763
68.698,6.08339,0,-0.229478
69.1269,5.98293,0,-0.227664
69.556,5.8834,0,-0.226046
70.0014,5.78132,0,-0.224509
70.4553,5.6773,0,-0.222236
70.9095,5.57421,0,-0.220345
71.3883,5.46646,0,-0.218364
71.8429,5.3654,0,-0.216864
72.3345,5.25696,0,-0.216258
72.8262,5.14886,0,-0.215785
73.318,5.04105,0,-0.215742
73.8098,4.93346,0,-0.215851
74.3262,4.82041,0,-0.21634
74.8056,4.71518,0,-0.216993
75.3111,4.60441,0,-0.217789
75.8395,4.48766,0,-0.218541
76.3555,4.37311,0,-0.219754
76.896,4.25256,0,-0.2207
77.4119,4.13702,0,-0.221679
77.9399,4.01817,0,-0.222881
78.48,3.89617,0,-0.223089
79.0201,3.77368,0,-0.223729
79.5602,3.65116,0,-0.223791
80.1002,3.52837,0,-0.224007
80.6524,3.40255,0,-0.224611
81.1503,3.28865,0,-0.22478
81.7147,3.15968,0,-0.225116
82.2668,3.03335,0,-0.225349
82.8312,2.90434,0,-0.225081
83.3833,2.77783,0,-0.225011
83.9354,2.65159,0,-0.224882
84.4876,2.52546,0,-0.224212
84.7821,2.4583,0,-0.224281
85.3465,2.3296,0,-0.224028
85.911,2.20096,0,-0.224031
86.4755,2.0724,0,-0.223853
87.04,1.94397,0,-0.223646
87.5942,1.81806,0,-0.223764
88.1587,1.6896,0,-0.223625
88.4532,1.6226,0,-0.223719
89.0177,1.49407,0,-0.223882
89.3123,1.42705,0,-0.22361
89.6068,1.36007,0,-0.223593
90.1713,1.23163,0,-0.22382
90.7359,1.10316,0,-0.223797
91.3126,0.971844,0,-0.2238
91.6072,0.904751,0,-0.224474
92.1838,0.772964,0,-0.224804
92.4783,0.705715,0,-0.224972
93.0427,0.576687,0,-0.225191
93.595,0.450367,0,-0.226221
93.8894,0.382736,0,-0.226103
94.4537,0.253201,0,-0.225783
94.7481,0.185753,0,-0.225419
95.0426,0.11824,0,-0.226139
95.619,-0.0143661,0,-0.226248
96.1955,-0.146904,0,-0.22625
96.4899,-0.214535,0,-0.226101
97.0541,-0.344315,0,-0.226395
97.3485,-0.412094,0,-0.226584
97.6429,-0.479935,0,-0.226745
97.9372,-0.547672,0,-0.22645
98.2316,-0.615246,0,-0.226697
98.526,-0.682907,0,-0.228298
99.1023,-0.816296,0,-0.230734
99.3965,-0.884914,0,-0.232018
99.9846,-1.02281,0,-0.234272
100.279,-1.09248,0,-0.235135
100.572,-1.16255,0,-0.235982
101.148,-1.30046,0,-0.237303
101.441,-1.3712,0,-0.237929
101.735,-1.44212,0,-0.238421
102.028,-1.51321,0,-0.238685
102.603,-1.65273,0,-0.23935
103.166,-1.78967,0,-0.239702
103.459,-1.8612,0,-0.239815
103.753,-1.93272,0,-0.239687
104.058,-2.00722,0,-0.239839
104.352,-2.07887,0,-0.240386
104.645,-2.15061,0,-0.240584
104.939,-2.22243,0,-0.240944
105.232,-2.29432,0,-0.241063
105.525,-2.36623,0,-0.241075
106.1,-2.50752,0,-0.242145
106.683,-2.65152,0,-0.242057
106.976,-2.72388,0,-0.242056
107.551,-2.86551,0,-0.241884
107.844,-2.93791,0,-0.242165
108.418,-3.07973,0,-0.241635
108.968,-3.21522,0,-0.240926
109.494,-3.34456,0,-0.23983
110.019,-3.47351,0,-0.238185
110.508,-3.59319,0,-0.235309
110.985,-3.70979,0,-0.227634
111.438,-3.81902,0,-0.213144
111.867,-3.91758,0,-0.195682
112.261,-4.00208,0,-0.175502
112.644,-4.07659,0,-0.153711
113.016,-4.14034,0,-0.130844
113.377,-4.19538,0,-0.108606
113.739,-4.24326,0,-0.0782999
114.114,-4.28414,0,-0.0426413
114.478,-4.31236,0,0.00134808
114.83,-4.32607,0,0.0478672
115.17,-4.32491,0,0.0972531
115.522,-4.30735,0,0.150366
115.873,-4.27229,0,0.211245
116.238,-4.21679,0,0.274024
116.594,-4.13625,0,0.34399
116.968,-4.02573,0,0.402577
117.334,-3.89065,0,0.477012
117.723,-3.71303,0,0.549894
118.11,-3.50246,0,0.621901
118.501,-3.24934,0,0.701808
118.88,-2.95807,0,0.77157
119.255,-2.62232,0,0.856515
119.607,-2.24512,0,0.935474
119.938,-1.83353,0,0.999661
120.101,-1.58118,0,1.03692
120.397,-1.11319,0,1.10222
120.546,-0.850212,0,1.1301
120.686,-0.582527,0,1.16028
120.816,-0.310211,0,1.19159
120.938,-0.0337372,0,1.21829
121.056,0.257957,0,1.24221
121.161,0.541031,0,1.26444
121.263,0.838669,0,1.28265
121.359,1.1385,0,1.2981
121.452,1.45211,0,1.3097
121.534,1.74294,0,1.3223
121.614,2.04707,0,1.33276
121.692,2.35211,0,1.33941
121.769,2.67015,0,1.34506
121.837,2.96425,0,1.34922
121.973,3.56579,0,1.35439
122.038,3.86079,0,1.35556
122.103,4.1559,0,1.35562
122.17,4.46329,0,1.35529
122.24,4.77318,0,1.35656
122.305,5.06834,0,1.35634
122.369,5.36348,0,1.35587
122.433,5.65862,0,1.3562
122.497,5.95378,0,1.35598
122.562,6.24889,0,1.35487
122.626,6.54396,0,1.35466
122.691,6.83904,0,1.35455
122.755,7.13411,0,1.35402
122.882,7.71185,0,1.35286
123.007,8.27718,0,1.35169
123.127,8.81776,0,1.34993
123.246,9.34586,0,1.34849
123.365,9.87376,0,1.34744
123.479,10.377,0,1.34673
123.576,10.8233,0,1.34587
123.69,11.3264,0,1.34597
123.805,11.8294,0,1.34533
123.918,12.3202,0,1.34566
124.03,12.8109,0,1.34579
124.145,13.3139,0,1.34552
124.258,13.8046,0,1.34551
124.376,14.3199,0,1.34512
124.488,14.8105,0,1.34481
124.601,15.3012,0,1.34424
124.714,15.7918,0,1.34344
124.831,16.2973,0,1.34307
124.938,16.7633,0,1.34293
125.049,17.2415,0,1.34401
125.157,17.7074,0,1.34675
125.261,18.1485,0,1.35518
125.363,18.59,0,1.37148
125.453,18.9955,0,1.39622
125.535,19.4026,0,1.4331
125.601,19.7871,0,1.47279
125.655,20.1861,0,1.52378
125.689,20.5621,0,1.58444
125.7,20.926,0,1.65522
125.689,21.2907,0,1.73105
125.655,21.6288,0,1.79794
125.593,21.9884,0,1.87932
125.513,22.3057,0,1.95092
125.403,22.6402,0,2.02369
125.268,22.9657,0,2.09484
125.108,23.2797,0,2.17049
124.934,23.5717,0,2.23119
124.726,23.8714,0,2.29903
124.49,24.1655,0,2.36415
124.236,24.4344,0,2.42865
123.945,24.7122,0,2.49669
123.625,24.9764,0,2.5611
123.278,25.2265,0,2.62271
122.893,25.4658,0,2.68102
122.483,25.6864,0,2.73385
122.049,25.8878,0,2.77874
121.594,26.0707,0,2.82059
121.13,26.233,0,2.84742
120.638,26.3876,0,2.86987
120.13,26.5327,0,2.88616
119.595,26.6749,0,2.89411
119.042,26.8075,0,2.89895
118.48,26.9466,0,2.89868
118.187,27.0188,0,2.8979
117.894,27.0911,0,2.89631
117.601,27.164,0,2.89451
117.308,27.2373,0,2.89278
117.002,27.3142,0,2.89147
116.71,27.3884,0,2.88987
116.393,27.4693,0,2.88831
116.088,27.5475,0,2.887
115.771,27.6293,0,2.88577
115.454,27.7116,0,2.88461
115.162,27.7881,0,2.88426
114.846,27.8712,0,2.88418
114.517,27.9575,0,2.88389
114.2,28.0409,0,2.88347
113.896,28.1212,0,2.88382
113.556,28.2111,0,2.88436
113.239,28.2945,0,2.8849
112.91,28.381,0,2.88548
112.582,28.4672,0,2.88636
112.241,28.5563,0,2.88701
111.909,28.6446,0,2.88735
111.568,28.7334,0,2.88815
111.239,28.8187,0,2.88931
110.898,28.9068,0,2.89
110.557,28.9947,0,2.89098
110.216,29.0822,0,2.89184
109.862,29.1727,0,2.89265
109.52,29.2597,0,2.89333
109.191,29.3433,0,2.89447
108.837,29.4328,0,2.89548
108.496,29.5188,0,2.89615
108.142,29.6078,0,2.89664
107.812,29.6904,0,2.89776
107.458,29.7787,0,2.89857
107.104,29.8668,0,2.89902
106.761,29.9516,0,2.90027
106.407,30.039,0,2.90134
106.053,30.1261,0,2.90184
105.698,30.213,0,2.90265
105.344,30.2995,0,2.9035
105.001,30.3828,0,2.90381
104.634,30.4719,0,2.90404
104.292,30.5551,0,2.90428
103.937,30.641,0,2.90465
103.582,30.7268,0,2.90521
102.938,30.8811,0,2.90565
102.596,30.9635,0,2.90615
102.241,31.0487,0,2.9064
101.886,31.1338,0,2.90667
101.555,31.213,0,2.90657
101.2,31.298,0,2.90642
100.846,31.3831,0,2.90603
100.491,31.4683,0,2.90592
100.148,31.5506,0,2.90542
99.8053,31.633,0,2.90515
99.4627,31.7155,0,2.90497
99.0956,31.804,0,2.905
98.753,31.8866,0,2.90454
98.4105,31.9693,0,2.90468
98.0679,32.0518,0,2.90482
