x, y, z, theta
100.215,-7.39347,0,-0.0149841
100.517,-7.39799,0,-0.0149494
100.819,-7.40248,0,-0.0147846
101.209,-7.40816,0,-0.0143667
101.562,-7.41312,0,-0.0143253
102.002,-7.4183,0,-0.018223
102.355,-7.42333,0,-0.0227841
102.782,-7.43138,0,-0.0279085
103.202,-7.4416,0,-0.0340019
103.692,-7.45656,0,-0.0405922
104.195,-7.47531,0,-0.047707
104.736,-7.49919,0,-0.0547221
105.289,-7.52776,0,-0.0624546
105.855,-7.56117,0,-0.0700561
106.156,-7.58083,0,-0.0739572
106.457,-7.60152,0,-0.0767589
107.06,-7.64627,0,-0.0832034
107.373,-7.67126,0,-0.0857579
107.674,-7.69632,0,-0.0879621
107.975,-7.72246,0,-0.0900988
108.289,-7.75024,0,-0.0908057
108.602,-7.77847,0,-0.091396
108.903,-7.80591,0,-0.0916649
109.204,-7.8336,0,-0.0919691
109.752,-7.88548,0,-0.0916181
110.328,-7.93858,0,-0.0914269
110.88,-7.98949,0,-0.090823
111.431,-8.04054,0,-0.0882692
111.97,-8.08954,0,-0.0826218
112.484,-8.13472,0,-0.0746599
112.986,-8.17615,0,-0.061753
113.488,-8.21262,0,-0.0427305
113.965,-8.24051,0,-0.0189212
114.443,-8.25833,0,0.0107383
114.909,-8.26488,0,0.0519084
115.376,-8.2556,0,0.10143
115.816,-8.22775,0,0.162277
116.266,-8.1741,0,0.234296
116.736,-8.08662,0,0.310369
117.197,-7.96288,0,0.398583
117.647,-7.80144,0,0.490483
118.102,-7.58603,0,0.586155
118.537,-7.33208,0,0.67362
118.965,-7.0219,0,0.769954
119.34,-6.68703,0,0.872207
119.717,-6.28143,0,0.960361
120.028,-5.86473,0,1.04741
120.303,-5.42831,0,1.13273
120.552,-4.9481,0,1.20785
120.766,-4.43777,0,1.27805
120.941,-3.91245,0,1.33638
121.086,-3.36496,0,1.38615
121.202,-2.79782,0,1.42069
121.293,-2.23895,0,1.44766
121.369,-1.66493,0,1.46785
121.402,-1.3647,0,1.47499
121.459,-0.788589,0,1.48272
