optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
96.7282,-5.97776,96.74,1.22223
96.7293,-5.34026,96.7399,1.17848
98.124,-5.04879,98.1342,1.1762
98.1233,-5.48629,98.134,1.06409
99.1931,-5.48803,99.2036,0.967922
99.1931,-5.48803,99.2037,1.07603
100.388,-5.49012,100.4,1.07394
100.388,-5.49012,100.4,1.03439
101.669,-5.49391,101.688,1.12755
101.669,-5.30641,101.688,1.21231
102.68,-4.96967,102.723,1.20518
102.68,-5.00873,102.721,0.986437
103.705,-4.84288,103.767,0.97535
103.703,-4.98369,103.766,0.950742
104.725,-4.99762,104.8,0.480089
104.726,-4.98259,104.801,0.57217
105.756,-4.90062,105.833,0.270779
105.756,-4.91458,105.833,0.270779
106.783,-5.12757,106.866,0.159287
106.783,-5.1056,106.866,0.209379
107.809,-5.50957,107.895,-0.00262305
107.81,-5.4502,107.894,-0.10056
108.827,-5.84047,108.908,-0.299753
108.826,-5.87416,108.903,-0.629308
109.864,-5.88351,109.918,0.204232
109.864,-5.88351,109.925,0.966213
111.254,-5.86163,111.136,1.28271
111.254,-5.86163,111.135,1.32958
112.761,-5.92229,112.114,1.03055
112.753,-5.8445,112.148,0.666491
114.811,-5.7568,113.146,1.03581
114.828,-5.82557,113.055,1.40458
116.57,-5.94677,113.26,1.5565
116.651,-6.12859,113.549,0.900354
119.626,-6.85726,114.597,0.519457
121.709,-5.1967,114.548,0.591752
123.196,-3.19196,115.484,0.820994
124.357,-0.834972,115.689,0.623336
122.697,-0.11056,116.397,1.42295
121.056,2.5618,116.382,1.43348
121.861,2.356,116.726,2.49582
125.352,3.22811,116.511,2.58958
125.504,4.62285,116.496,3.72697
125.598,5.88487,116.496,3.72697
125.656,7.15883,116.526,4.58162
125.508,7.16529,116.581,4.5731
124.169,8.38346,116.676,5.52346
123.329,8.40127,116.648,5.52631
121.677,9.48563,116.542,6.54091
122.083,9.47761,116.509,6.54332
122.101,10.5055,116.644,7.54992
121.857,10.5097,116.674,7.54861
122.908,11.8253,116.695,8.54194
123.145,11.8218,116.976,8.53598
123.347,13.0674,117.24,9.57326
122.972,13.0727,117.203,9.57401
122.165,14.1993,117.22,10.5899
122.35,14.1958,117.132,10.5914
122.112,15.1655,117.315,11.9062
122.41,15.1565,117.552,11.9028
122.205,16.318,117.068,13.1551
122.086,16.3274,116.726,13.1599
122.157,17.1975,117.574,14.2864
122.215,17.1874,117.606,14.2858
122.196,17.8897,117.383,15.308
122.188,17.8923,117.083,15.317
122.215,18.2149,117.625,16.6789
122.215,18.2149,117.488,16.6897
122.189,18.6863,117.546,18.0089
122.132,18.7373,117.843,17.9566
122.352,19.3047,116.594,19.8497
122.145,19.5814,114.615,20.5422
122.788,20.0549,115.457,22.169
122.884,19.8583,113.714,23.1888
123.946,19.7111,115.135,24.9902
123.988,19.5782,117.306,26.0414
125.128,18.9385,118.121,24.9538
125.113,19.031,120.449,24.8509
125.886,18.8763,120.427,24.8954
125.858,19.2879,122.518,24.2363
126.825,20.0621,122.518,24.2363
126.826,19.9872,124.244,24.1658
127.923,19.4565,124.289,23.9039
127.918,19.2878,125.574,23.5722
129.118,19.3287,125.553,23.884
129.119,19.3337,126.777,23.8103
130.364,19.0946,126.778,23.6978
130.359,18.9982,128.05,23.8218
131.646,18.5513,128.042,23.5394
131.651,18.6613,129.296,23.4862
132.949,18.1403,129.303,23.6579
132.939,17.9218,130.576,23.8803
134.223,17.5548,130.59,24.2184
134.281,18.6674,131.88,23.6983
135.708,19.631,131.88,23.6983
135.708,19.6413,133.209,23.8218
137.049,18.8232,133.204,23.7012
137.038,18.5519,134.572,24.2884
138.446,19.3032,134.585,24.5517
138.447,19.3172,135.92,24.4936
139.794,18.5389,135.924,24.5872
139.774,18.0466,137.265,23.9299
141.106,17.9043,137.257,23.7209
141.098,17.675,138.617,23.4955
142.289,14.2272,138.612,23.3784
142.433,18.0072,140.023,24.4538
143.732,19.821,140.043,24.9544
143.708,19.171,141.345,24.1534
144.959,19.03,141.345,24.1534
144.991,19.8419,142.661,24.0094
146.154,18.3701,142.66,23.9796
146.124,17.6081,143.898,24.2096
147.356,17.5595,143.887,23.9207
147.341,17.1785,145.27,27.0059
148.603,18.8728,145.234,26.0892
148.596,18.7191,146.361,23.6346
149.67,16.7079,146.389,24.3349
149.556,13.9403,147.622,24.2861
150.861,17.1892,147.62,24.248
150.903,18.1946,148.828,24.476
152.09,19.172,148.825,24.3949
152.077,18.8348,149.963,23.8132
153.248,18.7876,149.968,23.938
153.25,18.8251,151.134,23.7945
154.374,18.6014,151.109,23.2013
154.375,18.6164,152.305,24.4348
155.491,18.4839,152.362,25.8352
155.508,18.8893,153.618,27.9864
156.578,18.2371,154.751,27.9407
156.594,18.6274,155.867,27.8962
157.637,16.9539,155.734,24.5629
157.506,13.6205,156.743,22.3916
158.589,13.5782,156.76,22.8288
159.674,13.5364,157.875,23.0148
160.741,13.4966,157.883,23.2272
161.823,13.4563,158.968,23.274
162.831,13.419,158.972,23.3776
162.957,16.8182,160.056,23.4307
164.243,16.7628,160.056,23.4381
164.25,16.9413,161.128,23.8745
165.759,18.3988,161.13,23.9167
165.657,17.0528,162.204,23.6826
166.413,16.2238,162.205,23.7127
167.09,16.0307,163.185,22.9876
