x,y,z,theta,kappa,s,dkappa
96.7338,-2.57777,0,-0.0133127,-0.00295759,0,0.000227871
97.7338,-2.59253,0,-0.0161919,-0.00283217,1.00011,3.48044e-05
98.7337,-2.61014,0,-0.0190322,-0.00287121,2.00023,-0.0001067
99.7336,-2.63063,0,-0.0219764,-0.00303457,3.00034,-0.000214207
100.733,-2.65416,0,-0.0251312,-0.00328448,4.00045,-0.00027497
101.733,-2.68098,0,-0.0285533,-0.00355365,5.00057,-0.000241733
102.733,-2.71135,0,-0.0321987,-0.00368416,6.00068,7.41984e-05
103.732,-2.74535,0,-0.0357553,-0.00333508,7.0008,0.000632895
104.732,-2.78264,0,-0.0386761,-0.00240639,8.00091,0.00122934
105.731,-2.82228,0,-0.040363,-0.00085866,9.00102,0.00188197
106.73,-2.86272,0,-0.0401522,0.00142058,10.0011,0.00272943
107.73,-2.90166,0,-0.0371864,0.00469488,11.0013,0.00386335
108.729,-2.93579,0,-0.0302967,0.00938187,12.0014,0.00566378
109.729,-2.96034,0,-0.0176432,0.0164198,13.0015,0.00866036
110.729,-2.96816,0,0.00382806,0.0273262,14.0016,0.0135205
111.729,-2.94813,0,0.0390842,0.0445294,15.0017,0.0215563
112.727,-2.88281,0,0.0960692,0.0710861,16.0018,0.0313438
113.717,-2.74618,0,0.18371,0.104355,17.0019,0.0320156
114.688,-2.50806,0,0.301207,0.12723,18.002,0.012816
115.621,-2.15006,0,0.432595,0.134016,19.0022,0.00384718
116.498,-1.6706,0,0.569245,0.140527,20.0023,0.0113687
117.298,-1.07259,0,0.715752,0.15092,21.0024,0.00474517
118.001,-0.361785,0,0.867036,0.14968,22.0025,-0.00679471
118.59,0.445378,0,1.01186,0.138655,23.0026,-0.0144476
119.062,1.32619,0,1.14309,0.124239,24.0027,-0.0125265
119.421,2.25897,0,1.26169,0.113489,25.0028,-0.00920386
119.672,3.22656,0,1.37099,0.105447,26.003,-0.00703526
119.82,4.21529,0,1.47315,0.0988603,27.0031,-0.00726254
119.869,5.2138,0,1.56772,0.0895025,28.0032,-0.0117589
119.83,6.21285,0,1.6504,0.0748532,29.0033,-0.0177215
119.716,7.20632,0,1.71529,0.0537652,30.0034,-0.0245704
119.55,8.19239,0,1.7569,0.0295863,31.0035,-0.0238146
119.354,9.17316,0,1.77466,0.00597352,32.0036,-0.0234621
119.152,10.1527,0,1.76894,-0.017345,33.0038,-0.0230936
118.968,11.1356,0,1.74041,-0.0389526,34.0039,-0.0189033
118.821,12.1248,0,1.69291,-0.0551909,35.004,-0.0139124
118.729,13.1205,0,1.63128,-0.0676714,36.0041,-0.0115857
118.704,14.1201,0,1.55773,-0.0796709,37.0042,-0.0130646
118.759,15.1184,0,1.4712,-0.0935571,38.0043,-0.0141115
118.907,16.1071,0,1.37102,-0.106031,39.0044,-0.00952095
119.158,17.0746,0,1.26212,-0.109462,40.0045,0.0032635
119.513,18.0093,0,1.15559,-0.102406,41.0047,0.0102426
119.961,18.9031,0,1.05896,-0.0903603,42.0048,0.0131613
120.487,19.7529,0,0.975173,-0.0775182,43.0049,0.0100633
121.079,20.5589,0,0.900151,-0.0752767,44.005,-0.00660371
121.731,21.3169,0,0.817715,-0.0940407,45.0051,-0.0337176
122.453,22.0079,0,0.699558,-0.148868,46.0052,-0.0706838
123.271,22.582,0,0.51196,-0.228939,47.0053,-0.085475
124.195,22.9556,0,0.24437,-0.297898,48.0055,-0.0363789
125.187,23.05,0,-0.0475375,-0.252665,49.0056,0.155871
126.176,22.9106,0,-0.193089,-0.0229916,50.0057,0.22998
127.161,22.7338,0,-0.145597,0.081571,51.0058,0.0130014
128.155,22.6278,0,-0.0707015,0.0597107,52.0059,-0.0402676
129.154,22.5802,0,-0.0307377,0.0231732,53.006,-0.0265129
130.154,22.5572,0,-0.0184075,0.00343859,54.0061,-0.0146406
131.154,22.5384,0,-0.0212745,-0.00835537,55.0063,-0.0096871
132.153,22.5114,0,-0.0340631,-0.0167214,56.0064,-0.00636336
133.153,22.4681,0,-0.0531763,-0.0207675,57.0065,-0.00193501
134.151,22.4045,0,-0.0742661,-0.0207605,58.0066,0.00196112
135.147,22.3204,0,-0.0933492,-0.0166649,59.0067,0.0063943
136.142,22.2201,0,-0.106142,-0.0087252,60.0068,0.00771923
137.136,22.111,0,-0.111303,-0.00188907,61.0069,0.00594513
138.13,21.9999,0,-0.110549,0.00303998,62.007,0.00379178
139.125,21.8916,0,-0.106088,0.00535259,63.0072,0.000621575
140.119,21.7884,0,-0.100572,0.00559009,64.0073,-2.96376e-05
141.115,21.6908,0,-0.0950905,0.00527532,65.0074,-0.000605146
142.11,21.5983,0,-0.0902149,0.00437727,66.0075,-0.0011889
143.107,21.5102,0,-0.0864399,0.00328974,67.0076,-0.000605784
144.103,21.4254,0,-0.0832475,0.00330638,68.0077,0.000666031
145.1,21.3441,0,-0.079375,0.0046782,69.0078,0.00210923
146.097,21.2675,0,-0.0734568,0.00713957,70.008,0.00206041
147.095,21.198,0,-0.0655441,0.00841429,71.0081,0.000440588
148.093,21.1367,0,-0.0572177,0.0079137,72.0082,-0.00149716
149.092,21.0831,0,-0.0503338,0.005779,73.0083,-0.0019672
150.091,21.0354,0,-0.0453484,0.00438589,74.0084,-0.000797538
151.09,20.9922,0,-0.041154,0.00420976,75.0085,0.000447093
152.089,20.9532,0,-0.0366222,0.00474471,76.0086,-5.26736e-05
153.089,20.9189,0,-0.0321569,0.00394143,77.0088,-0.00151139
154.088,20.8884,0,-0.0291809,0.00181073,78.0089,-0.00270781
155.088,20.8596,0,-0.0288456,-0.00117629,79.009,-0.00300801
156.088,20.8297,0,-0.0315178,-0.00416406,80.0091,-0.00298908
157.087,20.7956,0,-0.0371952,-0.0072169,81.0092,-0.00315591
158.087,20.7543,0,-0.046071,-0.0106601,82.0093,-0.00389594
159.085,20.7022,0,-0.0588734,-0.0151483,83.0094,-0.0051373
160.083,20.6349,0,-0.076849,-0.0210746,84.0095,-0.00679591
161.079,20.5464,0,-0.101564,-0.0283317,85.0097,-0.00671811
162.073,20.4299,0,-0.132888,-0.0339075,86.0098,-0.00430186
163.061,20.28,0,-0.168426,-0.0365809,87.0099,-0.000815847
164.044,20.0943,0,-0.20531,-0.0381383,88.01,-0.00577173
165.019,19.8704,0,-0.248414,-0.0503383,89.0101,-0.0194768
165.98,19.5964,0,-0.311485,-0.0790175,90.0102,-0.0384609
166.917,19.2462,0,-0.411526,-0.122807,91.0103,-0.0489407
167.802,18.7835,0,-0.560029,-0.174882,92.0105,-0.0529273
168.594,18.1749,0,-0.757282,-0.211145,93.0106,-0.00660598
169.244,17.4173,0,-0.962107,-0.190374,94.0107,0.0414338
169.741,16.551,0,-1.12916,-0.14338,95.0108,0.0425936
170.109,15.6215,0,-1.25412,-0.108847,96.0109,0.0284502
170.372,14.6571,0,-1.34991,-0.0836238,97.011,0.022956
170.554,13.6738,0,-1.42268,-0.0626548,98.0111,0.0185083
170.673,12.681,0,-1.47694,-0.0466828,99.0113,0.0135295
170.746,11.6836,0,-1.51759,-0.0353067,100.011,0.00938017
170.783,10.6842,0,-1.54832,-0.0262388,101.011,0.00883518
170.794,9.68417,0,-1.57021,-0.017568,102.012,0.00854883
170.787,8.68409,0,-1.58351,-0.00903073,103.012,0.00858769
170.771,7.6841,0,-1.58852,-0.00131614,104.012,0.00679368
170.754,6.68414,0,-1.58671,0.0046885,105.012,0.00524996
170.741,5.68411,0,-1.57964,0.00921011,106.012,0.0037867
170.737,4.684,0,-1.56835,0.013935,107.012,0.00667969
170.748,3.68396,0,-1.55036,0.0227568,108.012,0.0110154
170.782,2.68445,0,-1.5213,0.0361881,109.012,0.0160207
170.852,1.68691,0,-1.4764,0.0536423,110.013,0.0164573
170.976,0.694604,0,-1.41515,0.0682259,111.013,0.0127409
171.166,-0.286958,0,-1.34115,0.0791509,112.013,0.0091109
171.434,-1.2504,0,-1.2579,0.0874937,113.013,0.0107527
171.785,-2.18644,0,-1.16322,0.103766,114.013,0.0222702
172.232,-3.08042,0,-1.04605,0.132842,115.013,0.0360181
