x, y, z, theta
87.5019,-1.53613,0,0.0218786
87.9423,-1.52615,0,0.0204333
88.3827,-1.51672,0,0.0192641
88.8483,-1.50742,0,0.0178454
89.3013,-1.49902,0,0.0164088
89.7795,-1.49078,0,0.0145285
90.2514,-1.48396,0,0.0128804
90.7422,-1.47727,0,0.0110733
91.2456,-1.47132,0,0.00925774
91.7742,-1.46596,0,0.00760876
92.3028,-1.46143,0,0.00628062
92.8188,-1.45778,0,0.00482767
93.36,-1.45468,0,0.00355432
93.9012,-1.45241,0,0.00212204
94.4424,-1.45077,0,0.00107735
94.971,-1.44986,0,0.000107897
95.5122,-1.44951,0,-0.00122899
96.0394,-1.45,0,-0.00195926
96.5806,-1.45074,0,-0.00316651
97.1218,-1.45218,0,-0.00450546
97.663,-1.45441,0,-0.00570314
98.2042,-1.45712,0,-0.00627637
98.7453,-1.46022,0,-0.00732407
99.2614,-1.46368,0,-0.00796353
99.8025,-1.46767,0,-0.0087986
100.344,-1.47211,0,-0.0092784
100.872,-1.47684,0,-0.0102824
101.401,-1.48194,0,-0.0108455
101.893,-1.48713,0,-0.0113845
102.421,-1.49304,0,-0.0126198
102.937,-1.49916,0,-0.0131821
103.453,-1.50574,0,-0.013846
103.969,-1.51259,0,-0.0141973
104.473,-1.51952,0,-0.0150707
104.976,-1.52669,0,-0.0153748
105.467,-1.534,0,-0.0159128
105.958,-1.54166,0,-0.0164973
106.461,-1.54979,0,-0.0162276
106.939,-1.55775,0,-0.0174068
107.423,-1.5658,0,-0.0168309
107.914,-1.5748,0,-0.0156189
108.404,-1.58377,0,-0.0119265
108.895,-1.59163,0,-0.00371437
109.373,-1.59715,0,0.00647814
109.864,-1.59917,0,0.0231138
110.343,-1.59541,0,0.0463535
110.821,-1.58305,0,0.0753834
111.298,-1.5569,0,0.112997
111.787,-1.51393,0,0.151226
112.237,-1.45872,0,0.195646
112.703,-1.37875,0,0.251143
113.158,-1.27902,0,0.308139
113.594,-1.15849,0,0.370698
114.023,-1.01099,0,0.439193
114.441,-0.835846,0,0.511477
114.834,-0.637665,0,0.574911
115.213,-0.4133,0,0.646226
115.565,-0.170319,0,0.717102
115.919,0.112,0,0.780544
116.244,0.409302,0,0.844222
116.546,0.721466,0,0.91249
116.845,1.07834,0,0.972809
117.108,1.43178,0,1.03504
117.353,1.8123,0,1.09724
117.588,2.22916,0,1.15726
117.779,2.62605,0,1.20966
117.957,3.05634,0,1.26555
118.115,3.50764,0,1.31715
118.248,3.96684,0,1.36515
118.359,4.44487,0,1.41536
118.447,4.94052,0,1.45769
118.512,5.43973,0,1.48919
118.545,5.91263,0,1.51344
118.579,6.42754,0,1.52809
118.602,6.9304,0,1.53765
118.619,7.43353,0,1.5441
118.632,7.93677,0,1.54606
118.645,8.44006,0,1.54552
118.656,8.91818,0,1.54374
118.67,9.42145,0,1.5418
118.684,9.93729,0,1.53957
118.699,10.4531,0,1.53637
118.716,10.9539,0,1.53315
118.734,11.4696,0,1.53087
118.754,11.9727,0,1.52751
118.776,12.4882,0,1.52463
118.798,12.9786,0,1.52231
118.821,13.4689,0,1.51856
118.846,13.9591,0,1.51546
118.87,14.4242,0,1.50825
118.896,14.8765,0,1.50064
118.923,15.3036,0,1.49088
118.952,15.7305,0,1.47591
118.986,16.157,0,1.45741
119.025,16.5525,0,1.43056
119.069,16.9275,0,1.4014
119.122,17.3013,0,1.3696
119.184,17.661,0,1.33033
119.253,17.9938,0,1.28787
119.334,18.3236,0,1.24735
119.423,18.6254,0,1.19971
119.534,18.9465,0,1.15394
119.65,19.2392,0,1.11221
119.778,19.5267,0,1.0694
119.92,19.8115,0,1.02696
120.077,20.0983,0,0.983286
120.247,20.3782,0,0.933245
120.429,20.6499,0,0.883566
120.632,20.922,0,0.824735
120.859,21.1923,0,0.771058
121.117,21.4674,0,0.713942
121.383,21.7172,0,0.652847
121.692,21.976,0,0.597377
122.015,22.2157,0,0.53879
122.373,22.4501,0,0.478833
122.737,22.6539,0,0.414714
123.144,22.8533,0,0.358712
123.562,23.0276,0,0.299111
124.015,23.1834,0,0.241283
124.475,23.3123,0,0.191281
124.954,23.418,0,0.146987
125.438,23.5002,0,0.114594
125.938,23.5635,0,0.0851607
126.464,23.614,0,0.0673151
126.991,23.6539,0,0.0509035
127.531,23.6859,0,0.0330548
128.044,23.699,0,0.0161202
128.598,23.7114,0,0.00494456
129.152,23.716,0,-0.00413765
129.718,23.716,0,-0.0107465
130.297,23.7115,0,-0.018392
130.863,23.7028,0,-0.0265912
131.165,23.6963,0,-0.0301841
131.719,23.6812,0,-0.0374609
132.021,23.6709,0,-0.0399679
132.599,23.6484,0,-0.0426179
133.165,23.6248,0,-0.044686
133.718,23.6006,0,-0.0467559
134.259,23.5756,0,-0.0490995
134.805,23.5509,0,-0.0516289
135.358,23.5229,0,-0.0540438
135.898,23.4941,0,-0.0569471
136.464,23.4624,0,-0.0588204
137.029,23.4292,0,-0.0594891
137.331,23.4112,0,-0.059618
137.908,23.3766,0,-0.0582033
138.499,23.3418,0,-0.0557769
138.8,23.3244,0,-0.054099
139.102,23.3075,0,-0.0526497
139.404,23.291,0,-0.0509227
139.705,23.2752,0,-0.0487944
140.007,23.2599,0,-0.0475261
140.321,23.2444,0,-0.0463221
140.623,23.2299,0,-0.0454384
141.248,23.2016,0,-0.0438361
141.55,23.1883,0,-0.0441252
141.877,23.174,0,-0.0440612
142.179,23.1606,0,-0.0447464
142.481,23.1471,0,-0.0456905
142.782,23.1334,0,-0.0461345
143.084,23.1198,0,-0.0464583
143.675,23.0927,0,-0.0483774
144.253,23.0648,0,-0.0504836
144.806,23.0372,0,-0.0524145
145.359,23.0086,0,-0.0542854
145.912,22.9791,0,-0.0560327
146.44,22.9499,0,-0.0592566
146.959,22.9196,0,-0.0622775
147.486,22.8874,0,-0.0658214
148.014,22.8535,0,-0.0693477
148.541,22.8176,0,-0.0735194
149.056,22.7807,0,-0.0780245
149.595,22.7395,0,-0.0830358
150.11,22.6976,0,-0.087751
150.636,22.6525,0,-0.0918726
151.138,22.607,0,-0.0953523
151.652,22.5587,0,-0.0980283
152.178,22.5075,0,-0.100649
152.691,22.4561,0,-0.100938
153.209,22.4034,0,-0.102734
153.698,22.3532,0,-0.103536
154.198,22.301,0,-0.102835
154.687,22.25,0,-0.101354
155.175,22.1995,0,-0.0977108
155.651,22.1511,0,-0.091674
156.139,22.1038,0,-0.0842665
156.628,22.0599,0,-0.0740304
