x, y, z, theta
22.2369,-49.5697,0,2.35245
22.0241,-49.3553,0,2.35303
21.7935,-49.1232,0,2.3534
21.5095,-48.8376,0,2.3565
21.2198,-48.5481,0,2.36009
20.9875,-48.3176,0,2.36394
20.7364,-48.0703,0,2.36779
20.4753,-47.8153,0,2.37125
20.2043,-47.5523,0,2.37717
19.9227,-47.2823,0,2.38385
19.6302,-47.0055,0,2.3902
19.3543,-46.7477,0,2.39833
19.0485,-46.4667,0,2.40668
18.731,-46.1797,0,2.41969
18.4238,-45.9092,0,2.42415
18.1013,-45.6279,0,2.43378
17.7571,-45.3333,0,2.44152
17.4009,-45.0333,0,2.44634
17.0433,-44.735,0,2.44801
16.6756,-44.4292,0,2.44858
16.3076,-44.1237,0,2.44936
15.9394,-43.8184,0,2.44917
15.5713,-43.5131,0,2.44931
15.1644,-43.1757,0,2.44909
14.835,-42.9025,0,2.44899
14.6026,-42.7096,0,2.44905
14.253,-42.4196,0,2.44836
13.9142,-42.1381,0,2.44818
13.5367,-41.8244,0,2.44792
13.1496,-41.5025,0,2.44774
12.7432,-41.1644,0,2.44796
12.3174,-40.8104,0,2.44845
11.9592,-40.5128,0,2.44891
11.5137,-40.1431,0,2.44906
11.1553,-39.8458,0,2.44953
10.7095,-39.4763,0,2.44983
10.3121,-39.1472,0,2.45038
9.95534,-38.852,0,2.45041
9.58684,-38.5471,0,2.45092
9.15997,-38.1943,0,2.45144
8.81057,-37.9058,0,2.4517
8.36403,-37.5374,0,2.45187
8.0145,-37.2491,0,2.45197
7.58727,-36.8967,0,2.45188
7.1989,-36.5764,0,2.45208
6.8396,-36.2801,0,2.45195
6.42208,-35.9358,0,2.45206
6.08221,-35.6555,0,2.45198
5.66953,-35.3152,0,2.45192
5.33941,-35.0429,0,2.45216
4.98009,-34.7467,0,2.45165
4.61121,-34.4423,0,2.45106
4.26191,-34.1537,0,2.44919
3.9616,-33.9046,0,2.44548
3.62358,-33.6222,0,2.43955
3.30646,-33.3539,0,2.42733
2.96411,-33.0571,0,2.40925
2.68334,-32.8047,0,2.38769
2.40809,-32.5462,0,2.35524
2.14319,-32.2808,0,2.32597
1.88441,-32.0059,0,2.27835
1.62267,-31.6999,0,2.2297
1.42233,-31.4412,0,2.18267
1.21993,-31.1527,0,2.1309
1.03942,-30.8649,0,2.06949
0.870902,-30.5555,0,2.00778
0.727115,-30.2476,0,1.93874
0.600383,-29.9189,0,1.87158
0.495997,-29.5824,0,1.80223
0.418069,-29.2517,0,1.71491
0.371786,-28.9327,0,1.65891
0.337461,-28.5442,0,1.58614
0.332829,-28.2422,0,1.52431
0.348031,-27.9154,0,1.45607
0.385484,-27.5904,0,1.3926
0.447938,-27.2436,0,1.32779
0.541802,-26.865,0,1.27562
0.647969,-26.5158,0,1.23121
0.761154,-26.1954,0,1.19587
0.913241,-25.809,0,1.16403
1.08253,-25.416,0,1.1503
1.25794,-25.0238,0,1.12449
1.4535,-24.6151,0,1.10697
1.66183,-24.1986,0,1.08981
1.8831,-23.7746,0,1.07095
2.11835,-23.3438,0,1.05254
2.36149,-22.9174,0,1.03365
2.61908,-22.4849,0,1.01331
2.89874,-22.0363,0,0.991918
3.18792,-21.5939,0,0.973019
3.49959,-21.1361,0,0.958548
3.82507,-20.6727,0,0.947124
4.1475,-20.2245,0,0.942033
4.48801,-19.7563,0,0.936562
4.81615,-19.3102,0,0.93198
4.99626,-19.0677,0,0.927505
5.33598,-18.6145,0,0.923252
5.5182,-18.3736,0,0.919225
5.8693,-17.9133,0,0.913601
6.23067,-17.4449,0,0.908717
6.59432,-16.9784,0,0.90385
6.96024,-16.5136,0,0.900955
7.14778,-16.2768,0,0.899928
7.33557,-16.0402,0,0.899317
7.52349,-15.8037,0,0.8989
7.71152,-15.5673,0,0.895568
8.11948,-15.0579,0,0.896346
8.4653,-14.6253,0,0.895555
8.65412,-14.3896,0,0.894995
8.84307,-14.1539,0,0.894572
9.03999,-13.9085,0,0.894225
9.237,-13.6631,0,0.893799
9.42623,-13.4277,0,0.893668
9.61549,-13.1923,0,0.893446
9.8048,-12.9569,0,0.89298
10.0021,-12.7118,0,0.892223
10.1917,-12.4767,0,0.892017
10.413,-12.2024,0,0.891825
10.7528,-11.7812,0,0.891718
10.9425,-11.5462,0,0.891568
11.1797,-11.2524,0,0.891814
11.5275,-10.8214,0,0.892456
11.7171,-10.5862,0,0.89268
11.9065,-10.351,0,0.894193
12.2974,-9.86434,0,0.893611
12.6365,-9.44256,0,0.894217
13.0384,-8.94207,0,0.894493
13.4008,-8.49055,0,0.895255
13.7313,-8.07804,0,0.895692
14.1246,-7.58678,0,0.896416
14.4311,-7.20337,0,0.896958
14.7924,-6.75096,0,0.897564
15.1377,-6.318,0,0.897974
15.5142,-5.84554,0,0.898303
