optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
27.2761,-44.5681,0,19.256,-52.5284,0
27.0634,-44.3537,0.302058,19.1851,-52.1731,0.302058
26.2492,-43.5366,1.44162,19.2849,-52.0741,0.302058
23.5781,-46.1982,1.44162,18.621,-51.1376,1.44162
21.7126,-46.5584,2.48625,18.5725,-51.1859,1.44162
22.3826,-45.8777,2.48625,17.8537,-50.4785,2.48625
21.8084,-44.7321,3.65674,17.8096,-50.5234,2.48625
22.0516,-44.4783,3.65674,16.5861,-50.1825,3.65674
22.2482,-42.3497,4.87756,15.6873,-49.4942,4.87756
20.8401,-41.7858,6.16796,15.7404,-49.4363,4.87756
20.7193,-41.9249,6.16796,14.7926,-48.7443,6.16796
19.5108,-41.0375,7.57758,14.7765,-48.7628,6.16796
19.5176,-41.0294,7.57758,13.8876,-47.7643,7.57758
18.705,-39.736,9.01238,13.9068,-47.7414,7.57758
18.6973,-39.7452,9.01238,12.8772,-46.7604,9.01238
17.4855,-39.2338,10.271,12.9245,-46.7034,9.01238
17.3447,-39.4035,10.271,12.3212,-45.46,10.271
15.9396,-38.9311,11.6565,12.5367,-45.2002,10.271
16.0382,-38.8123,11.6565,11.2047,-44.6323,11.6565
15.6076,-37.7203,12.6885,10.9072,-44.9905,11.6565
15.6354,-37.687,12.6885,10.2361,-44.179,12.6885
14.9109,-36.9611,13.708,10.2248,-44.1925,12.6885
14.8018,-37.0924,13.708,9.31665,-43.6925,13.708
15.3276,-34.8173,14.7526,9.43449,-43.5507,13.708
13.8023,-36.6556,14.7526,8.5741,-42.9565,14.7526
11.641,-37.5433,15.8476,8.77165,-42.7185,14.7526
12.0165,-37.0901,15.8476,8.35318,-41.5113,15.8476
11.0146,-35.9517,17.3427,8.15536,-41.7501,15.8476
11.3268,-35.5742,17.3427,6.82358,-41.0194,17.3427
11.9287,-33.2184,18.3748,6.76608,-41.0889,17.3427
10.8323,-32.9623,19.3816,5.72238,-40.738,18.3748
10.7915,-33.0117,19.3816,5.78603,-40.6609,18.3748
10.002,-31.595,20.8919,5.19228,-39.8006,19.3816
8.88059,-32.9547,20.8919,5.16164,-39.8377,19.3816
8.34065,-31.4037,22.2953,3.99656,-38.8769,20.8919
9.26164,-30.2869,22.2953,4.029,-38.8375,20.8919
6.24572,-31.7499,23.6923,2.94639,-37.9447,22.2953
6.30166,-31.6821,23.6923,2.8581,-38.0518,22.2953
5.36337,-30.8966,24.9383,1.77953,-37.1617,23.6923
5.55299,-30.6701,24.9383,1.94717,-36.9585,23.6923
4.9487,-29.7204,26.1466,1.14731,-35.9334,24.9383
4.33477,-29.1831,27.3018,1.07397,-36.021,24.9383
4.242,-29.2691,27.3018,-0.172214,-35.4162,26.1466
3.73455,-28.9823,28.3212,-0.217265,-35.4663,26.1466
3.61157,-29.0682,28.3212,-0.969603,-34.1055,27.3018
2.88083,-28.8605,29.3656,-0.89888,-34.0399,27.3018
2.90643,-28.8487,29.3656,-1.70383,-32.781,28.3212
2.49488,-28.4406,30.3799,-1.78389,-32.8369,28.3212
2.55301,-28.4271,30.3799,-2.9668,-31.5744,29.3656
2.4912,-27.8654,31.3992,-3.02792,-31.6028,29.3656
2.37756,-27.868,31.3992,-4.20681,-29.9941,30.3799
2.70703,-27.2644,32.4688,-4.13993,-29.9786,30.3799
2.52149,-27.2302,32.4688,-3.59523,-28.0075,31.3992
3.22186,-26.621,33.5888,-3.51029,-28.0055,31.3992
3.12421,-26.5867,33.5888,-2.97234,-26.2167,32.4688
3.09912,-25.3597,34.8995,-2.8764,-26.2344,32.4688
3.45785,-25.522,34.8995,-2.1927,-24.7165,33.5888
4.15645,-24.4097,36.3342,-2.2618,-24.6922,33.5888
4.01358,-24.335,36.3342,-1.78532,-23.1495,34.8995
5.03612,-23.3121,37.8571,-1.91744,-23.0897,34.8995
5.21716,-23.4201,37.8571,-0.185592,-22.1389,36.3342
6.16118,-22.9126,38.9394,0.545467,-22.5212,36.3342
6.1165,-22.8828,38.9394,1.70733,-21.3252,37.8571
6.79157,-22.1037,40.0579,1.47119,-21.1843,37.8571
6.78059,-22.0959,40.0579,2.04793,-20.1672,38.9394
7.50192,-21.2744,41.1906,2.04793,-20.1672,38.9394
7.52083,-21.2882,41.1906,2.52239,-19.0695,40.0579
8.59124,-20.6771,42.3611,2.47367,-19.0349,40.0579
8.63882,-20.7128,42.3611,2.946,-17.9425,41.1906
11.7845,-21.7058,43.5316,3.19549,-18.125,41.1906
12.4708,-20.8303,44.7147,1.49239,-15.3559,42.3611
11.6543,-20.1908,44.7147,2.24254,-15.9182,42.3611
9.91989,-17.3206,45.9229,4.41451,-16.0516,43.5316
