x,y,z,theta,kappa,s,dkappa
22.2369,-49.5697,0,2.43291,2.74244e-07,0,-1.38667e-06
21.4761,-48.9175,0,2.43291,-8.51509e-07,1.00208,-9.46309e-07
20.7153,-48.2653,0,2.43291,-1.72854e-06,2.00415,-8.37753e-07
19.9545,-47.6131,0,2.43291,-2.57927e-06,3.00623,-8.78265e-07
19.1937,-46.9609,0,2.4329,-3.51564e-06,4.0083,-9.98848e-07
18.433,-46.3087,0,2.4329,-4.57936e-06,5.01038,-1.10855e-06
17.6722,-45.6566,0,2.43289,-5.64389e-06,6.01245,-9.20318e-07
16.9114,-45.0044,0,2.43289,-5.87934e-06,7.01453,9.60458e-07
16.1506,-44.3521,0,2.43288,-2.66512e-06,8.0166,6.15864e-06
15.3898,-43.6999,0,2.43288,8.40882e-06,9.01868,1.72104e-05
14.629,-43.0477,0,2.4329,3.48884e-05,10.0208,3.72985e-05
13.8682,-42.3956,0,2.43296,8.93201e-05,11.0228,8.26424e-05
13.1074,-41.7435,0,2.43311,0.000215238,12.0249,0.000171515
12.3463,-41.0915,0,2.43343,0.000433559,13.027,0.000262423
11.585,-40.44,0,2.43401,0.000734267,14.0291,0.000322959
10.8233,-39.7889,0,2.4349,0.00106091,15.0311,0.000327286
10.0608,-39.1387,0,2.43613,0.00139157,16.0332,0.000335671
9.2974,-38.4896,0,2.43769,0.00168176,17.0353,6.26763e-05
8.53296,-37.8416,0,2.43929,0.00139348,18.0374,-0.000629264
7.76765,-37.1948,0,2.44026,0.0004346,19.0394,-0.00127928
7.0021,-36.5482,0,2.43993,-0.00132396,20.0415,-0.00268255
6.23753,-35.9004,0,2.43684,-0.00525631,21.0436,-0.00517162
5.47653,-35.2485,0,2.42854,-0.0117366,22.0457,-0.00780736
4.72341,-34.5875,0,2.41237,-0.0211049,23.0477,-0.0111844
3.98469,-33.9104,0,2.38483,-0.0347064,24.0498,-0.0162679
3.27036,-33.2078,0,2.34073,-0.054587,25.0519,-0.0240136
2.5962,-32.4666,0,2.27219,-0.0839521,26.054,-0.0341425
1.98752,-31.6712,0,2.16896,-0.124378,27.056,-0.0480548
1.48409,-30.8058,0,2.01656,-0.183911,28.0581,-0.0726781
1.15,-29.8633,0,1.79347,-0.258578,29.0602,-0.0562537
1.06253,-28.8682,0,1.52261,-0.262944,30.0623,0.0543509
1.22873,-27.8821,0,1.3009,-0.170673,31.0643,0.103702
1.56226,-26.9378,0,1.17588,-0.0851511,32.0664,0.0669678
1.97777,-26.0261,0,1.11934,-0.031803,33.0685,0.0422775
2.42348,-25.1286,0,1.10612,0.00225585,34.0706,0.022908
2.86892,-24.231,0,1.11625,0.0146015,35.0726,0.00261636
3.30257,-23.3276,0,1.12916,0.00812602,36.0747,-0.0156284
3.73027,-22.4214,0,1.12639,-0.015734,37.0768,-0.0256101
4.17167,-21.5218,0,1.09947,-0.0362504,38.0789,-0.015133
4.64459,-20.6384,0,1.05752,-0.0454056,39.0809,-0.00275335
5.15623,-19.7769,0,1.01295,-0.0414765,40.083,0.00830702
5.70302,-18.9372,0,0.975676,-0.0328219,41.0851,0.00887528
6.27711,-18.116,0,0.947276,-0.0238402,42.0872,0.00899208
6.87068,-17.3086,0,0.927881,-0.0149417,43.0892,0.00834452
7.47641,-16.5103,0,0.916675,-0.0078475,44.0913,0.00581123
8.08857,-15.717,0,0.911303,-0.00329769,45.0934,0.00326914
8.70351,-14.9258,0,0.909218,-0.00124962,46.0955,0.00117118
9.3195,-14.1354,0,0.908486,-0.000278356,47.0975,0.000767267
9.93574,-13.3452,0,0.908525,0.000288068,48.0996,0.000363255
10.5518,-12.5549,0,0.908929,0.000456382,49.1017,2.66444e-05
11.1675,-11.7642,0,0.909389,0.000451246,50.1038,-3.6899e-05
11.7828,-10.9733,0,0.909812,0.000382418,51.1058,-0.000100478
12.3978,-10.1822,0,0.910134,0.000251771,52.1079,-0.000143681
13.0127,-9.39092,0,0.910322,0.000130669,53.11,-9.80202e-05
13.6274,-8.59955,0,0.910411,5.53271e-05,54.1121,-5.23503e-05
14.2421,-7.80814,0,0.910448,2.52955e-05,55.1141,-1.18514e-05
14.8567,-7.01672,0,0.91047,2.15799e-05,56.1162,4.43584e-06
15.4714,-6.22528,0,0.910496,3.41857e-05,57.1183,2.07236e-05
16.086,-5.43382,0,0.910544,6.37331e-05,58.1204,4.44934e-05
16.7005,-4.64231,0,0.91064,0.000139143,59.1225,0.000106011
17.315,-3.85072,0,0.910843,0.000276184,60.1245,0.000167493
17.9292,-3.05896,0,0.911214,0.000473673,61.1266,0.000214414
18.543,-2.2669,0,0.911791,0.000672353,62.1287,0.000182086
19.1563,-1.47443,0,0.912551,0.000838512,63.1308,0.000149495
19.769,-0.681454,0,0.913461,0.000968046,64.1328,6.34261e-05
20.3809,0.112105,0,0.914395,0.000829408,65.1349,-0.000339751
20.9921,0.906151,0,0.914988,0.000288097,66.137,-0.000740053
21.6032,1.70035,0,0.914839,-0.000664802,67.1391,-0.00132873
22.2149,2.49407,0,0.913189,-0.0029435,68.1411,-0.00321845
22.829,3.28589,0,0.908306,-0.0071199,69.1432,-0.00512375
23.449,4.0732,0,0.898272,-0.0132379,70.1453,-0.00712252
24.0794,4.8521,0,0.881045,-0.021544,71.1474,-0.00952131
24.7267,5.61705,0,0.854211,-0.032508,72.1494,-0.012486
25.3987,6.36029,0,0.814759,-0.0468714,73.1515,-0.0160842
26.105,7.07098,0,0.759417,-0.0639441,74.1536,-0.018266
26.8554,7.73472,0,0.685566,-0.0841522,75.1557,-0.0224707
27.6592,8.33243,0,0.588925,-0.109716,76.1577,-0.0272863
28.5234,8.83838,0,0.466386,-0.133154,77.1598,-0.0169755
29.4465,9.22621,0,0.328201,-0.138276,78.1619,0.00893108
30.4138,9.48522,0,0.19868,-0.117666,79.164,0.0237771
31.4052,9.62831,0,0.0912032,-0.0987531,80.166,0.0125563
32.4059,9.67157,0,-0.00398728,-0.0938593,81.1681,-0.00315931
33.4063,9.61944,0,-0.101403,-0.100971,82.1702,-0.0070037
34.3962,9.46678,0,-0.205444,-0.105845,83.1723,-0.00200475
35.3645,9.21076,0,-0.311152,-0.103623,84.1743,0.00700932
36.3014,8.85646,0,-0.410092,-0.0928337,85.1764,0.0135022
37.2016,8.41698,0,-0.495615,-0.0772032,86.1785,0.0174316
38.0654,7.90941,0,-0.563743,-0.0583294,87.1806,0.0200917
38.8982,7.35222,0,-0.612512,-0.0399322,88.1826,0.0154179
39.7078,6.76174,0,-0.645721,-0.0272467,89.1847,0.0100407
40.5007,6.14903,0,-0.668797,-0.0196026,90.1868,0.00528432
41.2812,5.52061,0,-0.686209,-0.0152624,91.1889,0.0041802
42.052,4.88032,0,-0.699405,-0.0110739,92.1909,0.004193
42.8157,4.23151,0,-0.708387,-0.00683985,93.193,0.00426288
43.5749,3.57748,0,-0.713185,-0.00292828,94.1951,0.00324547
44.3321,2.92113,0,-0.714733,-0.000405724,95.1972,0.00178278
45.089,2.26438,0,-0.714493,0.000635409,96.1992,0.000292043
45.8462,1.60803,0,-0.713868,0.0005636,97.2013,-0.000124775
