x,y,z,theta,kappa,s,dkappa
89.0309,-6.67741,0,-0.0460804,-5.69874e-06,0,-3.83638e-05
90.0306,-6.72352,0,-0.0461066,-4.71812e-05,1.00077,-4.20903e-05
91.0304,-6.76968,0,-0.0461741,-8.68855e-05,2.00155,-3.68153e-05
92.0301,-6.81592,0,-0.0462787,-0.000121707,3.00232,-3.37971e-05
93.0298,-6.86229,0,-0.0464179,-0.000157264,4.0031,-3.89195e-05
94.0295,-6.90881,0,-0.0465971,-0.000203775,5.00387,-5.67756e-05
95.0291,-6.95554,0,-0.0468351,-0.000278329,6.00465,-9.55878e-05
96.0288,-7.00255,0,-0.0471705,-0.000402299,7.00542,-0.000157073
97.0285,-7.04997,0,-0.0476667,-0.000606279,8.0062,-0.000259597
98.0281,-7.09801,0,-0.0484288,-0.000945558,9.00697,-0.000433152
99.0277,-7.14701,0,-0.0496329,-0.0015055,10.0077,-0.000699917
100.027,-7.19755,0,-0.051538,-0.00234634,11.0085,-0.000970344
101.027,-7.25045,0,-0.0544115,-0.0034317,12.0093,-0.00117938
102.026,-7.30679,0,-0.0584469,-0.00462877,13.0101,-0.00115072
103.025,-7.36774,0,-0.0635922,-0.00556216,14.0108,-0.000501102
104.023,-7.43408,0,-0.0689329,-0.00459187,15.0116,0.00258506
105.021,-7.50474,0,-0.0716811,-0.000373121,16.0124,0.00572496
106.02,-7.57555,0,-0.0687919,0.00649066,17.0132,0.0077869
107.018,-7.63974,0,-0.0581835,0.014898,18.0139,0.008933
108.018,-7.68895,0,-0.0386271,0.0243754,19.0147,0.0100937
109.018,-7.71364,0,-0.00890268,0.0351967,20.0155,0.0107632
110.019,-7.70319,0,0.031472,0.0452968,21.0163,0.00959977
111.018,-7.64746,0,0.0815431,0.0547392,22.017,0.00942816
112.013,-7.53709,0,0.141167,0.0647454,23.0178,0.0117042
112.998,-7.36213,0,0.212822,0.0795129,24.0186,0.0180571
113.966,-7.10887,0,0.302688,0.101381,25.0194,0.0258389
114.903,-6.75834,0,0.418269,0.130088,26.0201,0.0283236
115.786,-6.2897,0,0.561384,0.154363,27.0209,0.0189882
116.587,-5.69173,0,0.723008,0.166103,28.0217,0.00393203
117.279,-4.97041,0,0.888374,0.161369,29.0225,-0.0136667
117.847,-4.14784,0,1.04054,0.140595,30.0232,-0.0264293
118.295,-3.25374,0,1.16695,0.11127,31.024,-0.0310327
118.641,-2.31504,0,1.26421,0.0845421,32.0248,-0.0226257
118.906,-1.35015,0,1.33859,0.0650946,33.0256,-0.0166397
119.107,-0.369905,0,1.39613,0.0505567,34.0263,-0.0127073
119.258,0.619339,0,1.44066,0.0387035,35.0271,-0.0111323
119.37,1.61373,0,1.47399,0.0280207,36.0279,-0.0103217
119.455,2.61091,0,1.49693,0.0178731,37.0287,-0.0100244
119.521,3.60947,0,1.50987,0.00808162,38.0294,-0.00952765
119.58,4.60853,0,1.51326,-0.00124739,39.0302,-0.00914351
119.64,5.60752,0,1.50747,-0.0102743,40.031,-0.00892238
119.709,6.60584,0,1.49274,-0.0191585,41.0318,-0.00887936
119.799,7.60262,0,1.46908,-0.0281936,42.0325,-0.00927138
119.916,8.59646,0,1.43607,-0.0379533,43.0333,-0.01038
120.071,9.58507,0,1.3924,-0.0501262,44.0341,-0.0149755
120.276,10.5645,0,1.33352,-0.0688747,45.0349,-0.0229652
120.548,11.5271,0,1.25136,-0.0971752,46.0356,-0.0341521
120.914,12.4581,0,1.13565,-0.134339,47.0364,-0.0366884
121.401,13.3316,0,0.984023,-0.167024,48.0372,-0.0266632
122.024,14.1125,0,0.806638,-0.183994,49.038,-0.00601841
122.779,14.7675,0,0.624351,-0.175774,50.0387,0.0207838
123.636,15.282,0,0.461553,-0.147561,51.0395,0.0329011
124.56,15.6653,0,0.33064,-0.114434,52.0403,0.0298072
125.522,15.9396,0,0.229106,-0.0901428,53.0411,0.019765
126.505,16.1257,0,0.147768,-0.0732693,54.0418,0.0145747
127.499,16.2389,0,0.0812704,-0.0599886,55.0426,0.0123463
128.498,16.2922,0,0.0271872,-0.0483164,56.0434,0.0110152
129.499,16.297,0,-0.0158411,-0.0378514,57.0442,0.0099495
130.499,16.2638,0,-0.0488813,-0.0283333,58.0449,0.00893003
131.498,16.2022,0,-0.0730098,-0.0201174,59.0457,0.00754258
132.495,16.1203,0,-0.0895633,-0.0131532,60.0465,0.00640533
133.492,16.0253,0,-0.0996923,-0.0072667,61.0473,0.0053005
134.487,15.9229,0,-0.104546,-0.00267055,62.048,0.00387744
135.482,15.8177,0,-0.10552,0.000477758,63.0488,0.00240539
136.478,15.7129,0,-0.104089,0.00214249,64.0496,0.00106054
137.473,15.6101,0,-0.101508,0.00292001,65.0504,0.000490842
138.469,15.5102,0,-0.0984369,0.00312132,66.0511,-8.97639e-05
139.465,15.4134,0,-0.0954552,0.00274797,67.0519,-0.000568624
140.461,15.3193,0,-0.0929838,0.00219714,68.0527,-0.000531654
141.458,15.2274,0,-0.0910447,0.0016847,69.0535,-0.000492088
142.455,15.1371,0,-0.0895983,0.00121183,70.0542,-0.000462148
143.451,15.0481,0,-0.0886213,0.000736338,71.055,-0.000487993
144.448,14.9598,0,-0.0881331,0.00023522,72.0558,-0.000513456
145.445,14.8718,0,-0.0881591,-0.000291462,73.0566,-0.000539184
146.442,14.7834,0,-0.0887251,-0.000844239,74.0573,-0.000565685
147.439,14.6942,0,-0.0898579,-0.0014241,75.0581,-0.000593373
148.436,14.6036,0,-0.0915853,-0.00203764,76.0589,-0.000687799
149.432,14.5109,0,-0.0940422,-0.00294592,77.0597,-0.00112873
150.428,14.4153,0,-0.0976306,-0.00430056,78.0604,-0.00158085
151.424,14.3153,0,-0.102802,-0.00607972,79.0612,-0.00160707
152.419,14.2094,0,-0.109315,-0.00655841,80.062,0.000662968
153.414,14.0972,0,-0.115159,-0.00472927,81.0628,0.00300125
154.408,13.9804,0,-0.117996,-0.000571465,82.0635,0.00507502
155.401,13.8632,0,-0.115897,0.00489138,83.0643,0.0058215
156.396,13.7509,0,-0.107981,0.0110271,84.0651,0.00640738
157.392,13.6496,0,-0.0936769,0.0174865,85.0659,0.0052612
158.389,13.5653,0,-0.0747194,0.01925,86.0666,-0.00162267
159.387,13.4997,0,-0.0573196,0.014506,87.0674,-0.00771878
160.387,13.4481,0,-0.0475813,0.00417244,88.0682,-0.0115063
161.386,13.4008,0,-0.0483664,-0.00496448,89.069,-0.00684599
162.386,13.349,0,-0.0560481,-0.00968982,90.0697,-0.00266411
163.385,13.2878,0,-0.0664249,-0.010406,91.0705,0.00105573
164.383,13.2162,0,-0.0768177,-0.0108699,92.0713,-0.00198378
165.38,13.1336,0,-0.0892075,-0.014418,93.0721,-0.00515275
166.376,13.0362,0,-0.106798,-0.0213439,94.0728,-0.00881017
167.37,12.9172,0,-0.133631,-0.033592,95.0736,-0.0164191
168.359,12.7641,0,-0.177167,-0.0552729,96.0744,-0.0276111
169.337,12.5555,0,-0.248812,-0.0906683,97.0752,-0.0441924
170.292,12.258,0,-0.363109,-0.137438,98.0759,-0.0443888
171.197,11.8332,0,-0.521027,-0.175836,99.0767,-0.0305023
172.015,11.2581,0,-0.708778,-0.195717,100.077,-0.00883211
172.705,10.5361,0,-0.906238,-0.1958,101.078,0.00960311
173.244,9.69428,0,-1.09411,-0.176613,102.079,0.027692
173.627,8.77097,0,-1.2551,-0.144016,103.08,0.0332542
173.873,7.8017,0,-1.38371,-0.114107,104.081,0.0266887
174.007,6.81035,0,-1.48545,-0.0900409,105.081,0.0217224
174.051,5.8108,0,-1.56531,-0.0702264,106.082,0.0176139
174.024,4.81055,0,-1.62749,-0.0547094,107.083,0.0135891
173.942,3.81323,0,-1.67597,-0.0426728,108.084,0.0106215
173.818,2.8203,0,-1.71374,-0.0331616,109.084,0.00855834
173.66,1.83205,0,-1.74289,-0.0253079,110.085,0.00721464
173.477,0.848118,0,-1.76478,-0.0185977,111.086,0.00624276
173.276,-0.132243,0,-1.78039,-0.0126658,112.087,0.00601617
173.063,-1.11,0,-1.78987,-0.00609194,113.088,0.00711446
172.844,-2.08646,0,-1.79221,0.00159505,114.088,0.00827708
172.626,-3.06329,0,-1.78624,0.0106231,115.089,0.0104068
172.419,-4.04246,0,-1.76926,0.0245065,116.09,0.0176107
172.237,-5.02649,0,-1.73444,0.0466982,117.091,0.0273153
172.102,-6.01797,0,-1.67188,0.0806783,118.091,0.0407746
172.048,-7.01687,0,-1.57071,0.121468,119.092,0.0405163
172.116,-8.01453,0,-1.42927,0.160579,120.093,0.0366883
172.341,-8.9882,0,-1.25167,0.192471,121.094,0.0246829
172.747,-9.90108,0,-1.05115,0.203349,122.095,-0.00436872
173.328,-10.7146,0,-0.854721,0.184821,123.095,-0.030365
174.047,-11.4089,0,-0.687059,0.149506,124.096,-0.0347328
174.862,-11.9882,0,-0.553586,0.118446,125.097,-0.027496
175.74,-12.4665,0,-0.4478,0.093893,126.098,-0.0219181
176.66,-12.8601,0,-0.364062,0.0743696,127.098,-0.0164131
177.607,-13.1837,0,-0.296886,0.0607456,128.099,-0.0111892
178.572,-13.4489,0,-0.241067,0.0513728,129.1,-0.00778119
179.549,-13.6639,0,-0.193165,0.0445811,130.101,-0.00655744
180.535,-13.8351,0,-0.15198,0.0375571,131.102,-0.00756992
181.527,-13.9693,0,-0.118415,0.0292735,132.102,-0.00904736
182.522,-14.0746,0,-0.0939109,0.0195596,133.103,-0.00959595
183.519,-14.1602,0,-0.0788202,0.0109323,134.104,-0.00759885
184.517,-14.2347,0,-0.0713244,0.00441305,135.105,-0.00540993
185.515,-14.3046,0,-0.0692473,6.92436e-05,136.105,-0.00351744
186.514,-14.3744,0,-0.0707542,-0.00289512,137.106,-0.00240433
187.512,-14.4469,0,-0.074668,-0.00473829,138.107,-0.0012768
188.51,-14.5241,0,-0.079864,-0.00548968,139.108,-0.000416855
189.507,-14.6068,0,-0.0855276,-0.00578984,140.108,-0.000183252
190.504,-14.6952,0,-0.0913749,-0.00585723,141.109,4.80631e-05
191.5,-14.7894,0,-0.0971686,-0.00563656,142.11,0.000660479
192.496,-14.8891,0,-0.102229,-0.0042284,143.111,0.00215215
193.491,-14.9929,0,-0.105135,-0.00133189,144.112,0.0036351
194.487,-15.0979,0,-0.104414,0.00291809,145.112,0.00424693
195.482,-15.2001,0,-0.0996112,0.00643491,146.113,0.00278008
196.478,-15.2961,0,-0.0920252,0.00847902,147.114,0.00130328
197.475,-15.3836,0,-0.0831312,0.00907497,148.115,5.62871e-05
198.473,-15.4622,0,-0.0741292,0.00880695,149.115,-0.000591204
199.471,-15.5321,0,-0.0657183,0.00789617,150.116,-0.00122494
200.47,-15.5941,0,-0.0585318,0.00636009,151.117,-0.00187784
201.469,-15.6498,0,-0.0532321,0.00411108,152.118,-0.00259881
202.469,-15.7014,0,-0.05053,0.0011789,153.119,-0.00325982
203.468,-15.752,0,-0.0510891,-0.00228324,154.119,-0.00224068
204.468,-15.8042,0,-0.0529419,0.000144541,155.12,0.00715495
205.467,-15.8555,0,-0.0475407,0.0123936,156.121,0.0176457
206.467,-15.8934,0,-0.0242116,0.0364302,157.122,0.0299178
207.468,-15.8943,0,0.0277431,0.0680422,158.122,0.0337814
208.466,-15.8266,0,0.113801,0.105115,159.123,0.0408074
209.451,-15.6539,0,0.240874,0.150033,160.124,0.0464904
210.399,-15.3364,0,0.412284,0.189642,161.125,0.0291463
211.27,-14.848,0,0.611319,0.202308,162.126,-0.00520957
212.028,-14.1964,0,0.80623,0.183876,163.126,-0.0261255
212.654,-13.4174,0,0.975936,0.154422,164.127,-0.0312714
213.154,-12.551,0,1.11488,0.123507,165.128,-0.029798
213.542,-11.6292,0,1.22484,0.0975472,166.129,-0.022155
213.838,-10.6736,0,1.31244,0.0785211,167.129,-0.0161957
214.058,-9.69754,0,1.38368,0.0645332,168.13,-0.012109
214.214,-8.70919,0,1.44247,0.0531713,169.131,-0.0108108
214.318,-7.71386,0,1.49034,0.0425436,170.132,-0.0105726
214.379,-6.715,0,1.52757,0.0317679,171.133,-0.0110528
