optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
93.0538,-7.25387,0,93.4472,2.43815,0
93.0555,-7.21171,0,94.8174,2.38253,1.37126
94.4296,-7.17005,1.37126,96.262,2.3268,2.83124
94.4308,-7.13931,1.37126,97.7326,2.28094,4.35414
95.8909,-7.29104,2.83124,98.7537,2.25803,5.43653
95.8917,-7.27074,2.83124,99.8019,2.23884,6.51572
97.432,-7.31904,4.35414,100.923,2.22,7.64846
97.4333,-7.27843,4.35414,102.063,2.20166,8.79376
98.5449,-6.93765,5.43653,103.191,2.18425,9.92651
98.5467,-6.85798,5.43653,103.155,-0.204235,9.92651
99.6283,-7.21737,6.51572,104.268,-2.10667,11.0718
99.6261,-7.33454,6.51572,104.283,-1.0726,11.0718
100.761,-7.44582,7.64846,105.367,-1.08679,12.1611
100.76,-7.48399,7.64846,105.367,-1.10144,12.1611
101.907,-7.50245,8.79376,106.47,-1.20997,13.2687
101.909,-7.41115,8.79376,106.471,-1.14767,13.2687
103.049,-7.07246,9.92651,107.573,-1.45155,14.3762
103.048,-7.09911,9.92651,107.571,-1.57596,14.3762
104.198,-6.9336,11.0718,108.67,-1.58618,15.4838
104.198,-6.94541,11.0718,108.663,-2.39865,15.4838
105.289,-7.0519,12.1611,109.713,-0.269617,16.541
105.29,-6.92652,12.1611,109.722,2.11318,16.541
106.4,-6.85855,13.2687,110.722,2.12347,17.636
106.399,-6.95952,13.2687,110.731,1.18826,17.636
107.507,-7.06347,14.3762,111.74,-1.40165,18.707
107.508,-6.92871,14.3762,111.725,-0.941954,18.707
108.615,-7.57655,15.4838,112.589,-0.870042,19.7515
108.612,-7.88903,15.4838,113.312,-0.75341,20.7583
109.685,-7.893,16.541,114.217,-0.485749,22.1552
109.685,-7.93792,16.541,114.236,-0.556523,22.1552
110.82,-8.02479,17.636,114.888,-0.612574,23.4209
110.82,-7.96736,17.636,115.1,-1.06309,23.4209
111.967,-8.02395,18.707,116.094,-1.31271,24.6918
111.969,-8.09696,18.707,116.054,-1.26007,24.6918
113.158,-8.10502,19.7515,116.361,-0.426128,26.0256
113.157,-8.09159,19.7515,116.232,-0.317206,26.0256
114.402,-8.11208,20.7583,116.215,0.583438,27.3971
114.393,-8.04929,20.7583,116.062,0.663122,27.3971
116.165,-7.79624,22.1552,115.762,1.60324,28.8193
116.009,-7.21023,22.1552,115.883,1.56688,28.8193
118.665,-8.66047,23.4209,115.751,2.13418,29.8261
119.364,-10.151,23.4209,115.759,2.13283,29.8261
120.955,-7.76211,24.6918,115.826,2.90886,30.8455
120.724,-7.45641,24.6918,115.758,2.91538,30.8455
123.322,-6.30893,26.0256,115.915,3.86752,31.9279
123.686,-6.61653,26.0256,115.972,3.86384,31.9279
125.189,-4.11212,27.3971,115.832,4.94364,33.0606
122.946,-0.551561,28.8193,115.753,4.9474,33.0606
