x,y,z,theta,kappa,s,dkappa
107.699,-7.20126,0,0.100956,-0.0416219,0,0.0509146
108.696,-7.11479,0,0.0770788,-0.0112086,1.00039,0.0186116
109.694,-7.04067,0,0.0735904,0.00310274,2.00078,0.0116146
110.691,-6.96373,0,0.0821823,0.0139074,3.00117,0.0105729
111.687,-6.87287,0,0.101581,0.0251686,4.00156,0.0123305
112.681,-6.75673,0,0.1335,0.039299,5.00195,0.0162352
113.669,-6.60125,0,0.181749,0.0579456,6.00234,0.0208206
114.646,-6.38825,0,0.25176,0.0838522,7.00273,0.0318285
115.602,-6.0931,0,0.354075,0.123394,8.00313,0.0478996
116.513,-5.68149,0,0.504156,0.178813,9.00352,0.0601931
117.335,-5.11499,0,0.710953,0.229651,10.0039,0.0296118
118.01,-4.37963,0,0.945602,0.229428,11.0043,-0.0302196
118.504,-3.51177,0,1.15249,0.17865,12.0047,-0.0633614
118.837,-2.56937,0,1.29925,0.11558,13.0051,-0.0589621
119.057,-1.594,0,1.38895,0.0671933,14.0055,-0.0383388
119.211,-0.605542,0,1.43988,0.0373332,15.0059,-0.0220626
119.326,0.388167,0,1.46847,0.0220227,16.0063,-0.00913185
119.419,1.38425,0,1.48629,0.0139442,17.0066,-0.00706845
119.497,2.38154,0,1.49702,0.00780718,18.007,-0.0052254
119.568,3.37943,0,1.50251,0.00345995,19.0074,-0.00347216
119.635,4.37757,0,1.50423,-2.44904e-06,20.0078,-0.00344969
119.702,5.37571,0,1.50251,-0.00343292,21.0082,-0.00340087
119.773,6.37361,0,1.49739,-0.00678541,22.0086,-0.00328786
119.85,7.37099,0,1.48832,-0.0120424,23.009,-0.00732952
119.94,8.36733,0,1.4719,-0.0214836,24.0094,-0.0115966
120.051,9.36145,0,1.44383,-0.0354454,25.0098,-0.0164732
120.199,10.3509,0,1.39945,-0.0539863,26.0102,-0.0207964
120.399,11.3307,0,1.33403,-0.0779481,27.0105,-0.0276645
120.676,12.2916,0,1.24059,-0.110637,28.0109,-0.0383889
121.058,13.2155,0,1.11096,-0.147428,29.0113,-0.0327112
121.571,14.0734,0,0.949436,-0.172751,30.0117,-0.0162827
122.222,14.8313,0,0.772105,-0.17812,31.0121,0.00498546
122.996,15.463,0,0.598814,-0.16607,32.0125,0.0184262
123.863,15.9589,0,0.443436,-0.143317,33.0129,0.0259098
124.793,16.3262,0,0.313467,-0.116458,34.0133,0.0257403
125.76,16.5825,0,0.208895,-0.0934425,35.0137,0.0207154
126.746,16.7473,0,0.125254,-0.0742118,36.0141,0.0180832
127.742,16.8383,0,0.0598498,-0.056795,37.0145,0.0162294
128.742,16.8723,0,0.010551,-0.0423213,38.0148,0.0128813
129.742,16.8637,0,-0.0257841,-0.0307335,39.0152,0.0103988
130.742,16.8242,0,-0.0516701,-0.021345,40.0156,0.00843946
131.74,16.7632,0,-0.0691022,-0.0138094,41.016,0.006618
132.738,16.6882,0,-0.0799141,-0.00811588,42.0164,0.00475919
133.735,16.605,0,-0.0859645,-0.00427793,43.0168,0.00306859
134.731,16.5175,0,-0.0888625,-0.00167043,44.0172,0.00214084
135.728,16.4282,0,-0.0896195,-7.57881e-07,45.0176,0.00119454
136.724,16.3388,0,-0.0891813,0.000728085,46.018,0.000373473
137.721,16.2501,0,-0.0883031,0.000990347,47.0184,0.000150601
138.717,16.1624,0,-0.0872743,0.00102915,48.0188,-7.30694e-05
139.714,16.0757,0,-0.0863184,0.000848278,49.0191,-0.000250435
140.71,15.9898,0,-0.0855888,0.000616727,50.0195,-0.000212453
141.707,15.9046,0,-0.0850718,0.00042326,51.0199,-0.000174309
142.704,15.8198,0,-0.0847292,0.00026788,52.0203,-0.000137519
143.701,15.7352,0,-0.0845251,0.000145167,53.0207,-0.000107808
144.698,15.6508,0,-0.0844289,5.21814e-05,54.0211,-7.80899e-05
145.694,15.5665,0,-0.0844108,-1.15461e-05,55.0215,-5.426e-05
146.691,15.4821,0,-0.0844507,-6.93514e-05,56.0219,-6.13067e-05
147.688,15.3977,0,-0.0845519,-0.00013421,57.0223,-6.83627e-05
148.685,15.3131,0,-0.0847216,-0.000207529,58.0227,-9.3787e-05
149.682,15.2283,0,-0.0849975,-0.000365365,59.023,-0.00022179
150.678,15.1432,0,-0.0854954,-0.000651374,60.0234,-0.000350072
151.675,15.0574,0,-0.0863433,-0.00105984,61.0238,-0.00039386
152.672,14.9705,0,-0.0875237,-0.00122289,62.0242,6.81714e-05
153.668,14.8825,0,-0.0886357,-0.000922842,63.0246,0.000531954
154.665,14.7936,0,-0.0892153,-0.000159723,64.025,0.000975953
155.661,14.7046,0,-0.0888341,0.000974036,65.0254,0.00129016
156.658,14.6165,0,-0.0871622,0.00242007,66.0258,0.00159971
157.654,14.5309,0,-0.0838907,0.00415855,67.0262,0.00169908
158.651,14.4494,0,-0.0790851,0.00524459,68.0266,0.000473737
159.649,14.373,0,-0.0738041,0.00511139,69.027,-0.000736648
160.647,14.3016,0,-0.069258,0.00378504,70.0273,-0.00182029
161.645,14.234,0,-0.0664335,0.00181121,71.0277,-0.00212358
162.643,14.1681,0,-0.0657331,-0.00045911,72.0281,-0.00241289
163.641,14.1018,0,-0.0674466,-0.0030273,73.0285,-0.00305518
164.639,14.0321,0,-0.072759,-0.00834636,74.0289,-0.00757613
165.637,13.9538,0,-0.0856651,-0.0182337,75.0293,-0.01225
166.632,13.8569,0,-0.110882,-0.0330608,76.0297,-0.0174453
167.624,13.7267,0,-0.153204,-0.0521347,77.0301,-0.0209633
168.608,13.5447,0,-0.216672,-0.0756675,78.0305,-0.0264632
169.574,13.2884,0,-0.306821,-0.105854,79.0309,-0.0338453
170.508,12.9313,0,-0.42882,-0.137103,80.0313,-0.0281475
171.384,12.4506,0,-0.57873,-0.161157,81.0316,-0.0195401
172.172,11.8363,0,-0.748141,-0.175962,82.032,-0.00987724
172.841,11.0941,0,-0.92685,-0.178851,83.0324,0.00478135
173.368,10.2455,0,-1.10078,-0.166427,84.0328,0.0193786
173.749,9.32131,0,-1.25597,-0.143018,85.0332,0.0238122
173.993,8.35201,0,-1.38774,-0.120969,86.0336,0.0205184
174.119,7.36004,0,-1.49884,-0.101444,87.034,0.0187657
174.143,6.3603,0,-1.59107,-0.0830603,88.0344,0.0179856
174.084,5.36187,0,-1.66526,-0.0653342,89.0348,0.0175558
173.96,4.36932,0,-1.72183,-0.0477146,90.0352,0.0177842
173.789,3.38374,0,-1.76066,-0.0302527,91.0356,0.0158659
