x,y,z,theta,kappa,s,dkappa
26.5664,-100.672,0,-2.34921,0.00324832,0,0.000136875
25.8602,-101.39,0,-2.34587,0.00336493,1.00736,8.93417e-05
25.1565,-102.111,0,-2.34245,0.00341464,2.01473,7.91763e-07
24.4553,-102.834,0,-2.33903,0.00334481,3.02209,-0.000152764
23.7565,-103.56,0,-2.33578,0.00307383,4.02946,-0.000404966
23.06,-104.288,0,-2.33295,0.00248224,5.03682,-0.000795916
22.3652,-105.017,0,-2.33094,0.00141329,6.04419,-0.00135478
21.6714,-105.748,0,-2.33031,-0.000295445,7.05155,-0.00205236
20.9774,-106.478,0,-2.33177,-0.00271322,8.05892,-0.00271721
20.2814,-107.206,0,-2.33595,-0.00563387,9.06628,-0.0029728
19.5812,-107.93,0,-2.34308,-0.00840695,10.0736,-0.00235762
18.875,-108.649,0,-2.3525,-0.0100218,11.081,-0.000681824
18.1617,-109.36,0,-2.36255,-0.00956133,12.0884,0.00130674
17.4416,-110.064,0,-2.37143,-0.00798111,13.0957,0.00183265
16.716,-110.763,0,-2.37846,-0.00588176,14.1031,0.0023188
15.9862,-111.458,0,-2.38314,-0.00336852,15.1105,0.00262747
15.2541,-112.15,0,-2.38519,-0.000705579,16.1178,0.00258694
14.5215,-112.841,0,-2.38466,0.00167471,17.1252,0.00204726
13.79,-113.534,0,-2.38209,0.00323267,18.1326,0.000957631
13.0607,-114.228,0,-2.37837,0.00414573,19.1399,0.000861398
12.3343,-114.926,0,-2.37378,0.00494962,20.1473,0.000728606
11.6114,-115.628,0,-2.36845,0.00560888,21.1547,0.00058152
10.8925,-116.334,0,-2.36253,0.00613022,22.162,0.000460842
10.1779,-117.044,0,-2.35613,0.00655643,23.1694,0.000396582
9.46804,-117.758,0,-2.34938,0.00672337,24.1768,-0.000216876
8.76298,-118.478,0,-2.34286,0.00609226,25.1841,-0.00103631
8.06229,-119.202,0,-2.33739,0.00463599,26.1915,-0.00185416
7.36495,-119.929,0,-2.33379,0.00235943,27.1989,-0.0026636
6.66928,-120.657,0,-2.3329,-0.00072464,28.2062,-0.00345568
5.97304,-121.385,0,-2.33543,-0.00415504,29.2136,-0.00269955
5.27387,-122.11,0,-2.34067,-0.00592034,30.2209,-0.00080902
4.57051,-122.832,0,-2.34673,-0.00579768,31.2283,0.00104322
3.86306,-123.549,0,-2.35173,-0.0038445,32.2357,0.0028179
3.15293,-124.263,0,-2.35389,-0.000162105,33.243,0.00446827
2.44279,-124.978,0,-2.35158,0.00464012,34.2504,0.00331092
1.73566,-125.695,0,-2.34625,0.0049656,35.2578,-0.00257778
1.03178,-126.416,0,-2.34349,-0.000413595,36.2651,-0.00806458
0.327278,-127.136,0,-2.34892,-0.011312,37.2725,-0.0136524
-0.385734,-127.847,0,-2.3683,-0.0282457,38.2799,-0.0202224
-1.1191,-128.538,0,-2.40837,-0.0527751,39.2872,-0.0289336
-1.88832,-129.188,0,-2.47635,-0.0822737,40.2946,-0.0295236
-2.70857,-129.772,0,-2.57426,-0.112076,41.302,-0.0293479
-3.5891,-130.26,0,-2.70167,-0.14032,42.3093,-0.0259564
-4.52912,-130.62,0,-2.85495,-0.162533,43.3167,-0.0172137
-5.51473,-130.822,0,-3.02533,-0.173574,44.3241,-0.00437748
-6.5204,-130.851,0,3.0829,-0.171632,45.3314,0.00837548
-7.5163,-130.707,0,2.91632,-0.15722,46.3388,0.0194394
-8.47754,-130.409,0,2.76892,-0.134615,47.3461,0.0243183
-9.38994,-129.983,0,2.64571,-0.110127,48.3535,0.0236049
-10.2497,-129.459,0,2.54624,-0.0879476,49.3609,0.0202048
-11.0597,-128.861,0,2.46723,-0.0695769,50.3682,0.0162932
-11.8257,-128.207,0,2.40581,-0.0518436,51.3756,0.0189889
-12.5568,-127.514,0,2.36342,-0.0322482,52.383,0.0193562
-13.265,-126.797,0,2.34042,-0.0138791,53.3903,0.0167068
-13.9628,-126.071,0,2.33423,0.000881996,54.3977,0.0124782
-14.661,-125.345,0,2.3407,0.011247,55.4051,0.0081817
-15.3672,-124.626,0,2.35555,0.017633,56.4124,0.00465902
-16.0858,-123.92,0,2.37521,0.0209713,57.4198,0.00213128
-16.819,-123.23,0,2.3971,0.0222237,58.4272,0.00048444
-17.5675,-122.555,0,2.41955,0.0221687,59.4345,-0.000502616
-18.3308,-121.898,0,2.44152,0.021361,60.4419,-0.00104164
-19.108,-121.257,0,2.46245,0.0201651,61.4493,-0.00129603
-19.8981,-120.632,0,2.48209,0.0188069,62.4566,-0.00137895
