optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
12.5982,-30.4346,0,21.1821,-30.961,0
12.6263,-30.4363,0,20.837,-30.9398,0
12.6024,-30.8257,0.390165,18.0853,-31.162,0.390165
12.7334,-30.8338,0.390165,18.0793,-31.1616,0.390165
12.5933,-32.059,1.61101,17.9208,-32.3481,1.61101
12.5933,-32.059,1.61101,17.8652,-32.345,1.61101
12.6163,-33.0751,2.61788,17.9083,-33.3381,2.61788
12.4905,-33.0689,2.61788,17.9083,-33.3381,2.61788
12.526,-34.2559,3.8018,17.9415,-34.5253,3.8018
12.6465,-34.2619,3.8018,18.0195,-34.5292,3.8018
12.5767,-35.6304,5.17368,18.2329,-35.9187,5.17368
12.5923,-35.6312,5.17368,18.035,-35.9086,5.17368
12.649,-37.1195,6.65882,17.6905,-37.3834,6.65882
12.5966,-37.1167,6.65882,17.884,-37.3935,6.65882
12.6234,-38.1873,7.72863,17.636,-38.4588,7.72863
12.6458,-38.1885,7.72863,17.7296,-38.4638,7.72863
12.5121,-39.2589,8.80722,17.6686,-39.5487,8.80722
12.6663,-39.2676,8.80722,17.6569,-39.5481,8.80722
12.2953,-40.3538,9.91479,17.495,-40.6547,9.91479
11.1567,-40.2879,9.91479,17.4045,-40.6494,9.91479
11.0009,-41.4243,11.0601,17.4319,-41.801,11.0601
10.9009,-41.4185,11.0601,17.4524,-41.8022,11.0601
10.8202,-42.8296,12.4697,16.9916,-43.1823,12.4697
10.8641,-42.8321,12.4697,16.9891,-43.1822,12.4697
10.8005,-43.9804,13.6151,17.0212,-44.3248,13.6151
10.8005,-43.9804,13.6151,17.0738,-44.3277,13.6151
10.8185,-45.3711,14.9977,16.9034,-45.6963,14.9977
10.7655,-45.3683,14.9977,16.8552,-45.6937,14.9977
10.6118,-46.4999,16.1304,16.7022,-46.8131,16.1304
11.6423,-46.5528,16.1304,16.7583,-46.816,16.1304
9.95565,-47.5807,17.238,16.7036,-47.9164,17.238
8.55748,-47.5111,17.238,16.6475,-47.9136,17.238
10.8799,-48.7308,18.333,16.5972,-48.9962,18.333
10.1245,-48.6957,18.333,16.5899,-48.9959,18.333
10.0793,-49.7792,19.4028,16.641,-50.0528,19.4028
10.0385,-49.7775,19.4028,16.641,-50.0528,19.4028
9.99807,-50.8719,20.483,16.5068,-51.1122,20.483
10.0389,-50.8734,20.483,16.5141,-51.1125,20.483
10.1941,-51.9762,21.5654,16.5752,-52.1812,21.5654
10.319,-51.9802,21.5654,16.5752,-52.1812,21.5654
10.6451,-53.0849,22.6478,16.546,-53.247,22.6478
11.4448,-53.1069,22.6478,16.6145,-53.2489,22.6478
9.65668,-54.1503,23.7428,16.5834,-54.3464,23.7428
9.73409,-54.1524,23.7428,16.5961,-54.3468,23.7428
11.4744,-55.2778,24.8252,16.5602,-55.4443,24.8252
10.757,-55.2543,24.8252,16.5602,-55.4443,24.8252
10.7155,-56.3221,25.9076,16.6157,-56.5515,25.9076
10.6281,-56.3187,25.9076,16.5235,-56.5479,25.9076
10.5782,-57.3913,26.9989,16.4718,-57.6649,26.9989
10.753,-57.3994,26.9989,16.5639,-57.6692,26.9989
10.8602,-58.4995,28.1064,16.6021,-58.8053,28.1064
11.5717,-58.5374,28.1064,16.299,-58.7892,28.1064
10.3609,-59.5547,29.2014,16.6702,-59.9291,29.2014
7.8871,-59.4079,29.2014,16.9243,-59.9442,29.2014
10.2471,-60.6458,30.309,16.7572,-61.0627,30.309
9.56348,-60.6021,30.309,16.9069,-61.0723,30.309
9.5857,-61.6802,31.3914,16.1358,-62.1166,31.3914
9.76577,-61.6922,31.3914,15.8459,-62.0972,31.3914
10.036,-62.7659,32.4486,15.7738,-63.1568,32.4486
9.91849,-62.7579,32.4486,15.915,-63.1664,32.4486
9.75589,-63.7811,33.4818,15.8442,-64.1988,33.4818
9.69665,-63.7771,33.4818,15.7979,-64.1957,33.4818
9.7207,-64.8426,34.539,15.7275,-65.2455,34.539
10.0013,-64.8614,34.539,15.8055,-65.2507,34.539
10.6533,-65.9636,35.5836,15.744,-66.2708,35.5836
10.9103,-65.9791,35.5836,15.7318,-66.27,35.5836
10.4094,-67.0102,36.6031,15.6952,-67.2183,36.6031
9.6699,-66.9811,36.6031,15.7855,-67.2218,36.6031
9.58526,-68.1182,37.6099,15.7975,-68.0597,37.6099
9.60567,-68.118,37.6099,15.7975,-68.0597,37.6099
9.90045,-69.3442,38.613,15.7824,-68.7548,38.613
9.82942,-69.3513,38.613,15.7824,-68.7548,38.613
9.90239,-71.2691,40.0853,15.7753,-69.74,40.0853
9.90239,-71.2691,40.0853,15.7019,-69.7591,40.0853
9.91166,-73.6914,41.5323,15.7076,-70.6035,41.5323
10.2647,-73.5033,41.5323,15.5366,-70.6946,41.5323
9.60548,-76.585,42.7404,16.0441,-71.2291,42.7404
9.01928,-77.0726,42.7404,16.1834,-71.1132,42.7404
10.4484,-78.4765,43.8699,16.9816,-71.4412,43.8699
10.4525,-78.4721,43.8699,16.7556,-71.6846,43.8699
12.0309,-79.4046,45.2292,17.9769,-72.077,45.2292
