x, y, z, theta
81.5904,-3.59662,0,-0.00379364
81.9806,-3.5981,0,-0.00388401
82.399,-3.59972,0,-0.00331632
82.8269,-3.60114,0,-0.00305528
83.1415,-3.6021,0,-0.00259779
83.4939,-3.60302,0,-0.00220962
83.8841,-3.60388,0,-0.00188989
84.312,-3.60469,0,-0.00117672
84.74,-3.60519,0,-0.000159523
85.2182,-3.60527,0,0.000941169
85.6965,-3.60482,0,0.00168212
86.1999,-3.60397,0,0.0022371
86.6979,-3.60286,0,0.0036227
87.2265,-3.60094,0,0.00445968
87.7551,-3.59859,0,0.0052682
88.2837,-3.5958,0,0.006172
88.8374,-3.59238,0,0.00685143
89.3786,-3.58868,0,0.00738712
89.9198,-3.58468,0,0.00811456
90.4736,-3.58018,0,0.00848663
91.0273,-3.57549,0,0.0090391
91.5937,-3.57037,0,0.00904023
92.1726,-3.56513,0,0.00905264
92.7162,-3.56021,0,0.00878943
93.0182,-3.55756,0,0.00792105
93.5846,-3.55307,0,0.00730058
94.1635,-3.54884,0,0.00656689
94.4656,-3.54686,0,0.00561392
95.0445,-3.54361,0,0.00432225
95.6235,-3.54111,0,0.00287615
96.215,-3.53941,0,0.00140097
96.7814,-3.53861,0,0.000176799
97.0834,-3.53856,0,-0.0010279
97.6624,-3.53915,0,-0.00232162
98.2539,-3.54053,0,-0.00343494
98.556,-3.54156,0,-0.00499542
99.1272,-3.54442,0,-0.00578408
99.4292,-3.54617,0,-0.00669317
99.7313,-3.54819,0,-0.00761704
100.31,-3.5526,0,-0.0088821
100.889,-3.55774,0,-0.0101974
101.455,-3.56351,0,-0.0118071
102.009,-3.57005,0,-0.0135566
102.563,-3.57756,0,-0.0158195
103.092,-3.58592,0,-0.0181868
103.607,-3.59531,0,-0.0200052
104.111,-3.60538,0,-0.0221791
104.627,-3.61682,0,-0.0253966
105.123,-3.62943,0,-0.0256991
105.639,-3.64268,0,-0.0272374
106.155,-3.65674,0,-0.0291917
106.658,-3.67143,0,-0.0306784
107.161,-3.68687,0,-0.0320244
107.652,-3.70259,0,-0.0327404
108.155,-3.71907,0,-0.0316215
108.633,-3.73419,0,-0.0283546
109.123,-3.74811,0,-0.0234623
109.589,-3.75903,0,-0.0169431
110.08,-3.76735,0,-0.0066835
110.527,-3.77034,0,0.00465303
110.993,-3.76817,0,0.0165366
111.446,-3.76068,0,0.0318978
111.899,-3.74623,0,0.058294
112.364,-3.7191,0,0.0901476
112.815,-3.67831,0,0.133353
113.251,-3.61975,0,0.181771
113.672,-3.5424,0,0.240752
114.1,-3.43739,0,0.31268
114.531,-3.29805,0,0.394414
114.949,-3.12401,0,0.484046
115.332,-2.92285,0,0.569755
115.713,-2.67851,0,0.652482
116.063,-2.41113,0,0.739433
116.398,-2.1059,0,0.822609
116.689,-1.79236,0,0.907798
116.952,-1.45518,0,0.983318
117.189,-1.09912,0,1.06775
117.395,-0.724335,0,1.14589
117.572,-0.334579,0,1.21862
117.728,0.0905914,0,1.28562
117.859,0.537354,0,1.35892
117.954,0.978012,0,1.39035
118.042,1.46085,0,1.43062
118.11,1.94687,0,1.46098
118.164,2.43474,0,1.48176
118.21,2.94872,0,1.49799
118.248,3.46335,0,1.50905
118.279,3.96584,0,1.51721
118.306,4.46854,0,1.52387
118.329,4.95883,0,1.52764
118.35,5.46178,0,1.53067
118.371,5.96481,0,1.54163
118.384,6.43922,0,1.53509
118.402,6.94235,0,1.53648
118.419,7.42032,0,1.53789
118.435,7.91092,0,1.53879
118.45,8.38893,0,1.54016
118.465,8.86697,0,1.54082
118.479,9.31985,0,1.54189
118.491,9.74762,0,1.54287
118.503,10.1754,0,1.54378
118.514,10.6031,0,1.54515
118.525,11.0058,0,1.54615
118.534,11.3997,0,1.54698
118.544,11.8023,0,1.54783
118.553,12.205,0,1.54856
118.562,12.6076,0,1.54788
118.571,12.9977,0,1.54251
118.581,13.3625,0,1.53136
118.596,13.7272,0,1.51709
118.614,14.0665,0,1.50173
118.637,14.393,0,1.48735
118.664,14.7191,0,1.47302
118.693,15.0197,0,1.45317
118.73,15.3268,0,1.43385
118.773,15.6385,0,1.40631
118.824,15.9489,0,1.37221
118.884,16.245,0,1.32957
118.956,16.5383,0,1.26132
119.086,16.9457,0,1.16752
119.249,17.3276,0,1.07403
119.447,17.6926,0,0.984832
119.684,18.049,0,0.902893
119.871,18.2869,0,0.827774
120.169,18.6112,0,0.75694
120.389,18.8186,0,0.704444
120.628,19.0224,0,0.652862
120.878,19.2135,0,0.601259
121.148,19.3986,0,0.549202
121.427,19.5694,0,0.4942
121.726,19.7305,0,0.442843
122.022,19.8707,0,0.397135
122.335,20.0022,0,0.340981
122.661,20.1178,0,0.313083
122.997,20.2264,0,0.280001
123.335,20.3238,0,0.248346
123.701,20.4166,0,0.214309
124.095,20.5022,0,0.178509
124.504,20.576,0,0.139852
124.94,20.6374,0,0.0996871
125.391,20.6824,0,0.0589975
125.868,20.7106,0,0.025759
126.384,20.7239,0,0.00357812
126.9,20.7258,0,-0.0215866
127.423,20.7145,0,-0.0187927
127.977,20.7041,0,-0.0288956
128.568,20.687,0,-0.0354161
128.87,20.6763,0,-0.0395292
129.461,20.6529,0,-0.0417856
129.763,20.6403,0,-0.0428014
130.065,20.6274,0,-0.0432402
130.392,20.6132,0,-0.0432382
130.719,20.5991,0,-0.0436109
131.046,20.5848,0,-0.044174
131.373,20.5704,0,-0.0443583
131.7,20.5558,0,-0.0444069
132.026,20.5413,0,-0.0449176
132.366,20.5261,0,-0.045201
132.693,20.5113,0,-0.0450073
133.032,20.496,0,-0.0446844
133.359,20.4814,0,-0.0447362
133.699,20.4662,0,-0.0444069
134.026,20.4516,0,-0.0446942
134.345,20.4374,0,-0.0440653
134.684,20.4224,0,-0.0437061
135.011,20.4081,0,-0.0435731
135.363,20.3928,0,-0.0434656
