x, y, z, theta
-7.74006,-83.8965,0,3.01587
-8.05284,-83.8563,0,3.01531
-8.37749,-83.8153,0,3.01442
-8.73961,-83.7696,0,3.01249
-9.03922,-83.7312,0,3.01069
-9.37524,-83.6874,0,3.00842
-9.71209,-83.6428,0,3.00652
-10.1237,-83.5873,0,3.00503
-10.423,-83.5464,0,3.00398
-10.7471,-83.5017,0,3.00315
-11.0837,-83.4551,0,3.00215
-11.4328,-83.4063,0,3.00134
-11.7942,-83.3555,0,3.00096
-12.1681,-83.3027,0,2.99968
-12.5419,-83.2496,0,2.99906
-12.932,-83.1935,0,2.99836
-13.3431,-83.1346,0,2.99731
-13.7542,-83.0752,0,2.99767
-14.1777,-83.0139,0,2.99653
-14.6012,-82.9522,0,2.99552
-15.037,-82.8883,0,2.99496
-15.4604,-82.8259,0,2.99381
-15.8961,-82.7612,0,2.99261
-16.3442,-82.6943,0,2.9919
-16.7798,-82.6286,0,2.99039
-17.2278,-82.5608,0,2.99063
-17.6512,-82.4962,0,2.99015
-18.0992,-82.4281,0,2.99052
-18.5471,-82.36,0,2.99094
-18.9826,-82.2939,0,2.9915
-19.4306,-82.226,0,2.99187
-19.8786,-82.1585,0,2.9923
-20.3142,-82.0929,0,2.99308
-20.7499,-82.0275,0,2.99325
-21.1731,-81.9642,0,2.99375
-21.5963,-81.9011,0,2.99426
-22.0196,-81.838,0,2.99481
-22.4375,-81.7762,0,2.99503
-22.8857,-81.7099,0,2.99554
-23.309,-81.6475,0,2.99601
-23.7324,-81.5853,0,2.99615
-24.1807,-81.5196,0,2.99712
-24.6042,-81.4579,0,2.99742
-25.0152,-81.3983,0,2.99799
-25.4263,-81.3387,0,2.99844
-25.8124,-81.283,0,2.99875
-26.1986,-81.2274,0,2.99918
-26.5724,-81.1738,0,2.99954
-26.9299,-81.1226,0,2.99959
-27.2788,-81.0728,0,2.99996
-27.6152,-81.0247,0,3.00031
-27.964,-80.9749,0,3.00012
-28.288,-80.9287,0,3.00061
-28.5995,-80.8844,0,3.00068
-28.8985,-80.842,0,3.00119
-29.2101,-80.7979,0,3.00168
-29.5092,-80.7557,0,3.00167
-29.8083,-80.7135,0,3.00188
-30.232,-80.6539,0,3.00226
-30.653,-80.5947,0,3.00254
-31.0768,-80.5354,0,3.00305
-31.3759,-80.4936,0,3.00324
-31.6751,-80.4519,0,3.00332
-31.9743,-80.4102,0,3.0033
-32.2984,-80.3651,0,3.0029
-32.6225,-80.3199,0,3.00312
-32.959,-80.2729,0,3.00209
-33.2956,-80.2257,0,3.00206
-33.657,-80.1749,0,3.00178
-34.01,-80.1252,0,3.00135
-34.3714,-80.0743,0,3.00144
-34.7328,-80.0232,0,3.00072
-35.1316,-79.9668,0,3.00084
-35.5304,-79.9102,0,3.00039
-35.9291,-79.8536,0,3.00021
-36.3528,-79.7933,0,2.99962
-36.7889,-79.7311,0,2.99935
-37.2249,-79.6688,0,2.99902
-37.661,-79.6062,0,2.99885
-38.1095,-79.5417,0,2.99797
-38.5772,-79.4743,0,2.99775
-39.0505,-79.4056,0,2.99695
-39.5238,-79.3368,0,2.99677
-39.9971,-79.268,0,2.99655
-40.4704,-79.1988,0,2.99585
-40.9685,-79.1258,0,2.9956
-41.4417,-79.0562,0,2.99527
-41.9397,-78.9827,0,2.99428
-42.4377,-78.909,0,2.99382
-42.9357,-78.8348,0,2.99332
-43.4336,-78.7604,0,2.99252
-43.9148,-78.6883,0,2.99235
-44.4251,-78.6117,0,2.99223
-44.923,-78.5368,0,2.99177
-45.4208,-78.4618,0,2.99151
-45.931,-78.3847,0,2.99092
-46.4288,-78.3093,0,2.99082
-46.9141,-78.2356,0,2.99077
-47.3994,-78.1619,0,2.99015
-47.8971,-78.0862,0,2.9904
