x, y, z, theta
89.2964,-1.03757,0,-4.84966e-05
89.611,-1.03759,0,5.0514e-05
89.9131,-1.03757,0,0.000101033
90.2151,-1.03754,0,6.49477e-05
90.5675,-1.03752,0,0.000844357
90.9199,-1.03722,0,0.00207892
91.3126,-1.03641,0,0.0046108
91.7279,-1.03449,0,0.00698323
92.0426,-1.0323,0,0.00943254
92.3572,-1.02933,0,0.0118215
92.6844,-1.02546,0,0.0146609
93.0242,-1.02048,0,0.0172884
93.3639,-1.0146,0,0.0198172
93.7289,-1.00737,0,0.0224094
94.0938,-0.999191,0,0.0252604
94.4712,-0.989655,0,0.029412
94.8568,-0.97831,0,0.0316599
95.2594,-0.965561,0,0.0345984
95.6619,-0.95163,0,0.0378263
96.0518,-0.936874,0,0.0412514
96.4542,-0.920265,0,0.0443034
96.8565,-0.902428,0,0.0477037
97.2714,-0.882622,0,0.0510702
97.6862,-0.86142,0,0.0540312
98.1009,-0.838989,0,0.0564625
98.5156,-0.815552,0,0.0579214
98.9428,-0.790779,0,0.0600458
99.3422,-0.766769,0,0.0600496
99.7442,-0.742599,0,0.0613501
100.171,-0.716362,0,0.0620808
100.573,-0.691376,0,0.0620318
101,-0.664848,0,0.0623332
101.427,-0.638191,0,0.0623489
101.842,-0.612312,0,0.0623122
102.257,-0.586449,0,0.0622916
102.671,-0.560593,0,0.0622389
103.086,-0.53476,0,0.0621563
103.513,-0.508179,0,0.0620818
103.904,-0.483826,0,0.0621919
104.332,-0.45723,0,0.0621376
104.734,-0.43222,0,0.0624555
105.148,-0.406296,0,0.0628645
105.563,-0.380203,0,0.0632377
105.965,-0.354752,0,0.0637289
106.392,-0.327499,0,0.0636199
106.819,-0.300293,0,0.0645164
107.246,-0.272705,0,0.0648147
107.66,-0.245804,0,0.064078
108.075,-0.219208,0,0.0661267
108.505,-0.19072,0,0.0706193
108.881,-0.164078,0,0.0789599
109.295,-0.131317,0,0.0951654
109.696,-0.0930481,0,0.118655
110.084,-0.0468597,0,0.147127
110.482,0.0121765,0,0.186042
110.878,0.0866699,0,0.231821
111.258,0.1763,0,0.285757
111.632,0.28627,0,0.348557
111.975,0.410904,0,0.419341
112.32,0.56459,0,0.528036
112.628,0.744156,0,0.579841
112.943,0.950974,0,0.65773
113.252,1.18941,0,0.736626
113.541,1.45145,0,0.819949
113.816,1.7458,0,0.900558
114.058,2.05148,0,0.980244
114.275,2.37546,0,1.05098
114.481,2.73584,0,1.11845
114.657,3.09798,0,1.17355
114.818,3.48093,0,1.21806
114.961,3.87061,0,1.27372
115.085,4.27419,0,1.30166
115.195,4.67451,0,1.34434
115.291,5.09146,0,1.38424
115.373,5.52428,0,1.41608
115.441,5.95949,0,1.44233
115.497,6.39636,0,1.46042
115.549,6.85918,0,1.47367
115.593,7.31015,0,1.48633
115.633,7.78671,0,1.49303
115.669,8.25099,0,1.49776
115.704,8.72797,0,1.49985
115.738,9.20271,0,1.50694
115.768,9.67999,0,1.50936
115.795,10.1197,0,1.51128
115.824,10.5971,0,1.51271
115.849,11.0369,0,1.51409
115.875,11.4892,0,1.51552
115.899,11.9291,0,1.51639
115.923,12.3689,0,1.51807
115.946,12.7962,0,1.51903
115.968,13.2236,0,1.52057
115.99,13.651,0,1.5193
116.011,14.0657,0,1.52266
116.032,14.5057,0,1.52339
116.052,14.9331,0,1.5245
116.072,15.3606,0,1.52483
116.093,15.8006,0,1.5254
116.112,16.2281,0,1.52592
116.131,16.6555,0,1.52675
116.149,17.0578,0,1.52725
116.166,17.4602,0,1.52998
116.183,17.8626,0,1.53243
116.197,18.2399,0,1.52995
116.213,18.6171,0,1.51943
116.231,18.9672,0,1.50029
116.256,19.3187,0,1.47017
116.291,19.6693,0,1.43094
116.337,19.9933,0,1.38359
116.393,20.2901,0,1.33016
116.471,20.6078,0,1.26664
116.572,20.932,0,1.20152
116.691,21.2371,0,1.13491
116.834,21.5451,0,1.06703
117.01,21.8646,0,0.988162
117.196,22.1464,0,0.92339
117.416,22.4374,0,0.844776
117.658,22.7103,0,0.768828
117.938,22.9815,0,0.691328
118.239,23.2302,0,0.617994
118.567,23.4635,0,0.553998
118.931,23.6886,0,0.489353
119.309,23.8897,0,0.427301
119.721,24.0774,0,0.36377
120.156,24.2431,0,0.303702
120.612,24.3861,0,0.248205
121.083,24.5053,0,0.199785
121.576,24.6052,0,0.163695
122.085,24.6893,0,0.134642
122.609,24.7602,0,0.103988
123.16,24.8177,0,0.0722017
123.712,24.8577,0,0.0457096
124.278,24.8835,0,0.0274306
124.844,24.8991,0,0.0173777
125.146,24.9043,0,0.0108207
125.649,24.9098,0,0.00645152
126.002,24.912,0,0.00495496
126.581,24.9149,0,0.00348563
126.883,24.916,0,-0.00716363
127.371,24.9125,0,0.00142891
127.723,24.913,0,-2.75543e-05
128.277,24.913,0,-0.00126746
128.83,24.9123,0,-0.00209418
129.384,24.9111,0,-0.00233806
129.913,24.9099,0,-0.00277128
130.441,24.9084,0,-0.00322303
130.957,24.9067,0,-0.00290961
131.461,24.9053,0,-0.00274383
131.939,24.904,0,-0.00226525
132.417,24.9029,0,-0.00392591
132.884,24.901,0,-0.00102093
133.362,24.9006,0,-0.000202054
133.815,24.9005,0,0.000235746
134.268,24.9006,0,0.000998431
134.696,24.901,0,0.00176654
135.137,24.9018,0,0.00273659
135.577,24.903,0,0.00270185
136.018,24.9042,0,0.0030308
136.471,24.9055,0,0.0023209
136.911,24.9066,0,0.000134707
137.364,24.9066,0,-0.00243597
137.815,24.9055,0,-0.00532107
138.269,24.9031,0,-0.00774552
138.722,24.8996,0,-0.0105187
139.187,24.8947,0,-0.013402
139.653,24.8885,0,-0.0156018
140.131,24.881,0,-0.0179576
140.597,24.8727,0,-0.020743
141.062,24.863,0,-0.023357
141.54,24.8518,0,-0.0259916
142.031,24.8391,0,-0.0281047
142.522,24.8253,0,-0.0308177
143.038,24.8094,0,-0.0336617
143.535,24.7926,0,-0.0350521
144.064,24.7741,0,-0.0367829
144.592,24.7546,0,-0.0381153
145.12,24.7345,0,-0.0399123
145.699,24.7114,0,-0.0419342
146.265,24.6877,0,-0.0437098
146.868,24.6613,0,-0.0450812
147.459,24.6346,0,-0.0470197
148.063,24.6062,0,-0.0471552
148.691,24.5765,0,-0.0475405
149.303,24.5474,0,-0.0463422
149.957,24.5171,0,-0.0456668
150.611,24.4872,0,-0.0451311
151.265,24.4577,0,-0.0446194
151.931,24.4279,0,-0.0438702
152.585,24.3992,0,-0.0430081
153.264,24.37,0,-0.0425606
153.93,24.3416,0,-0.0417588
154.597,24.3138,0,-0.0412089
155.276,24.2858,0,-0.0402018
155.942,24.259,0,-0.0390389
156.604,24.2331,0,-0.0375019
157.27,24.2081,0,-0.0353513
157.924,24.185,0,-0.0332257
158.553,24.1641,0,-0.0316914
159.208,24.1434,0,-0.0294396
159.837,24.1248,0,-0.0278888
160.428,24.1083,0,-0.0261548
161.044,24.0922,0,-0.0231641
161.648,24.0782,0,-0.0203274
162.24,24.0662,0,-0.0173433
162.819,24.0562,0,-0.0143122
163.397,24.0479,0,-0.0112008
163.971,24.0414,0,-0.00964301
164.512,24.0362,0,-0.0082756
165.091,24.0314,0,-0.00705883
165.657,24.0274,0,-0.00643061
166.236,24.0237,0,-0.00540088
166.79,24.0207,0,-0.00476854
167.357,24.018,0,-0.00433772
167.923,24.0156,0,-0.00343083
168.514,24.0135,0,-0.00260924
169.093,24.012,0,-0.0018439
169.673,24.011,0,-0.00143972
170.277,24.0101,0,-0.000656682
170.881,24.0097,0,-0.00150926
171.498,24.0088,0,-0.00283704
172.127,24.007,0,-0.00532492
172.769,24.0036,0,-0.0079637
173.411,23.9984,0,-0.0103728
174.09,23.9914,0,-0.0110012
174.77,23.9839,0,-0.0101707
175.449,23.977,0,-0.00927416
176.167,23.9704,0,-0.00851997
176.881,23.9643,0,-0.00733574
177.624,23.9588,0,-0.00656788
177.926,23.9568,0,-0.00619625
178.379,23.954,0,-0.00570874
178.681,23.9523,0,-0.00555124
179.159,23.9496,0,-0.00520302
179.461,23.9481,0,-0.0047188
179.927,23.9459,0,-0.00419637
180.254,23.9445,0,-0.00370121
180.732,23.9427,0,-0.00339442
181.047,23.9417,0,-0.00323302
181.538,23.9401,0,-0.00247332
181.853,23.9393,0,-0.00220137
182.331,23.9382,0,-0.00237828
182.658,23.9375,0,-0.0021377
183.136,23.9364,0,-0.00189109
183.451,23.9359,0,-0.00161646
183.942,23.9351,0,-0.00116583
184.269,23.9347,0,-0.00165906
184.747,23.9339,0,-0.00130554
185.075,23.9335,0,-0.00139529
185.545,23.9328,0,-0.00136398
185.847,23.9324,0,-0.00165906
186.325,23.9316,0,-0.00205176
186.652,23.9309,0,-0.00248859
187.131,23.9297,0,-0.00233143
187.458,23.929,0,-0.00242479
187.924,23.9278,0,-0.00315212
188.238,23.9268,0,-0.00334228
188.704,23.9253,0,-0.00340373
189.031,23.9242,0,-0.00360377
189.484,23.9225,0,-0.00382372
189.811,23.9213,0,-0.00387944
190.252,23.9196,0,-0.0040412
190.554,23.9184,0,-0.00406329
191.02,23.9165,0,-0.00421898
191.334,23.9151,0,-0.00429266
191.8,23.9131,0,-0.00380133
192.543,23.9103,0,-0.00328348
192.845,23.9093,0,-0.00287172
193.323,23.908,0,-0.00287922
193.625,23.9071,0,-0.00304327
194.056,23.9058,0,-0.00161632
194.358,23.9053,0,-0.00148178
194.811,23.9046,0,-0.000959887
195.113,23.9043,0,-0.000554247
195.554,23.9041,0,-0.000151546
195.856,23.904,0,0.000415642
196.296,23.9042,0,0.000858803
196.598,23.9045,0,0.000727399
197.039,23.9048,0,0.00141788
197.781,23.9059,0,0.00186916
198.084,23.9064,0,0.00209397
198.499,23.9073,0,0.00238304
199.229,23.909,0,0.00316105
199.934,23.9113,0,0.00396179
200.638,23.914,0,0.0049379
201.331,23.9175,0,0.00424918
202.042,23.9205,0,0.00155553
202.709,23.9215,0,-0.00133121
203.351,23.9207,0,-0.00383121
203.98,23.9183,0,-0.0065848
204.622,23.914,0,-0.00920447
205.238,23.9084,0,-0.0114317
205.855,23.9013,0,-0.0139797
206.472,23.8927,0,-0.0164544
207.088,23.8825,0,-0.0186951
207.717,23.8708,0,-0.0209581
208.334,23.8578,0,-0.0261032
208.897,23.8431,0,-0.0260064
209.514,23.8271,0,-0.0266516
210.143,23.8103,0,-0.026894
210.772,23.7934,0,-0.027467
211.389,23.7765,0,-0.0278172
212.043,23.7583,0,-0.0280063
212.697,23.7399,0,-0.0287042
213.351,23.7212,0,-0.0290092
214.018,23.7018,0,-0.0287406
214.697,23.6823,0,-0.0285181
215.377,23.6629,0,-0.0281827
216.048,23.644,0,-0.0282646
216.74,23.6244,0,-0.0282634
217.432,23.6049,0,-0.0281148
218.111,23.5858,0,-0.027672
218.816,23.5663,0,-0.0266315
219.52,23.5475,0,-0.0260255
220.225,23.5291,0,-0.0253768
220.929,23.5113,0,-0.0250283
221.634,23.4936,0,-0.0246842
222.338,23.4762,0,-0.0243358
223.043,23.4591,0,-0.0236463
223.345,23.4519,0,-0.0224909
223.751,23.4428,0,-0.0227063
224.443,23.4271,0,-0.0224295
224.745,23.4203,0,-0.021969
225.173,23.4109,0,-0.0219497
225.902,23.3949,0,-0.0221222
226.62,23.379,0,-0.02216
227.349,23.3629,0,-0.0225173
228.054,23.347,0,-0.0221265
228.356,23.3403,0,-0.0225428
228.696,23.3326,0,-0.0227471
229.061,23.3243,0,-0.0231066
229.488,23.3145,0,-0.0233149
230.206,23.2977,0,-0.0239029
230.91,23.2809,0,-0.0244791
231.601,23.264,0,-0.0247359
232.293,23.2469,0,-0.0244224
232.997,23.2296,0,-0.0239483
233.702,23.2128,0,-0.0237997
234.381,23.1966,0,-0.0234593
234.998,23.1821,0,-0.0236191
235.338,23.1741,0,-0.0236223
235.677,23.1661,0,-0.0231712
236.017,23.1582,0,-0.0234921
236.42,23.1487,0,-0.0237326
237.011,23.1347,0,-0.0238927
237.351,23.1266,0,-0.023711
237.69,23.1185,0,-0.0239693
238.018,23.1107,0,-0.0241569
238.345,23.1028,0,-0.0240636
