x, y, z, theta
92.3373,-2.07817,0,-0.00475984
92.6645,-2.07954,0,-0.005391
93.0169,-2.08114,0,-0.0068241
93.3567,-2.08309,0,-0.00883568
93.7091,-2.08559,0,-0.0108268
94.0741,-2.08895,0,-0.0137718
94.443,-2.09344,0,-0.0165604
94.8331,-2.09917,0,-0.0189791
95.2232,-2.10612,0,-0.020747
95.6132,-2.11394,0,-0.021824
96.0159,-2.12254,0,-0.0221961
96.4437,-2.13187,0,-0.0223003
96.8715,-2.14136,0,-0.022693
97.2993,-2.1509,0,-0.0228149
97.7397,-2.16086,0,-0.0230814
98.1927,-2.17121,0,-0.0232777
98.6457,-2.18158,0,-0.0232878
99.0764,-2.19179,0,-0.0235482
99.542,-2.2026,0,-0.0238497
100.008,-2.21346,0,-0.0237875
100.46,-2.22423,0,-0.0238428
100.939,-2.2354,0,-0.0240114
101.392,-2.24609,0,-0.0234639
101.857,-2.25705,0,-0.0237273
102.31,-2.26766,0,-0.0233613
102.776,-2.27859,0,-0.0233524
103.241,-2.28934,0,-0.0225323
103.694,-2.29991,0,-0.0222702
104.134,-2.30954,0,-0.0223257
104.587,-2.31958,0,-0.0214169
105.027,-2.32916,0,-0.0211407
105.48,-2.33875,0,-0.020536
105.933,-2.34813,0,-0.020047
106.398,-2.35808,0,-0.0177667
106.839,-2.36804,0,-0.0113729
107.304,-2.37729,0,0.00307941
107.745,-2.3821,0,0.020098
108.198,-2.3811,0,0.046567
108.638,-2.37067,0,0.0797459
109.073,-2.34549,0,0.1217
109.499,-2.30681,0,0.167268
109.911,-2.25092,0,0.216972
110.319,-2.17683,0,0.267726
110.724,-2.08304,0,0.322302
111.099,-1.97476,0,0.386511
111.466,-1.84427,0,0.456999
111.814,-1.69655,0,0.523681
112.14,-1.53227,0,0.596046
112.464,-1.33888,0,0.670722
112.771,-1.11967,0,0.752559
113.07,-0.867584,0,0.831053
113.349,-0.594803,0,0.90158
113.607,-0.302216,0,0.973431
113.856,0.0298767,0,1.04785
114.081,0.379395,0,1.11516
114.289,0.767349,0,1.1756
114.465,1.15715,0,1.23323
114.622,1.56873,0,1.28499
114.758,1.98773,0,1.32328
114.879,2.42445,0,1.35944
114.981,2.86571,0,1.38984
115.062,3.3054,0,1.4155
115.139,3.76457,0,1.43718
