x,y,z,theta,kappa,s,dkappa
22.5728,-35.1162,0,-1.64565,-0.000820772,0,0.00197478
22.4977,-36.1157,0,-1.6456,0.000836566,1.00234,0.00145345
22.4235,-37.1153,0,-1.64405,0.00225614,2.00468,0.00143936
22.3515,-38.115,0,-1.64103,0.00383162,3.00701,0.00175964
22.2834,-39.115,0,-1.6362,0.00591074,4.00935,0.00246417
22.2213,-40.1154,0,-1.62886,0.00895124,5.01169,0.00370265
22.1683,-41.1164,0,-1.61775,0.0134812,6.01403,0.00531221
22.129,-42.1179,0,-1.6015,0.018871,7.01637,0.00500101
22.1085,-43.12,0,-1.58036,0.0228197,8.01871,0.00207444
22.1104,-44.1224,0,-1.55762,0.0211867,9.02104,-0.00610996
22.1328,-45.1244,0,-1.5411,0.0102097,10.0234,-0.0152512
22.1649,-46.1263,0,-1.53934,-0.0068812,11.0257,-0.0161418
22.1906,-47.1283,0,-1.55309,-0.0191074,12.0281,-0.00756169
22.1979,-48.1306,0,-1.57428,-0.0214176,13.0304,0.00293897
22.1845,-49.1328,0,-1.59276,-0.0147812,14.0327,0.00561416
22.1556,-50.1347,0,-1.60651,-0.0144208,15.0351,-0.00496337
22.1113,-51.136,0,-1.62531,-0.0249757,16.0374,-0.0162814
22.0409,-52.1359,0,-1.66038,-0.0456321,17.0397,-0.0173307
21.9266,-53.1315,0,-1.71082,-0.0508645,18.0421,0.00752827
21.7638,-54.1205,0,-1.7535,-0.0297527,19.0444,0.0346568
21.5738,-55.1047,0,-1.76191,0.0147677,20.0468,0.0425847
21.3967,-56.0912,0,-1.72959,0.0458967,21.0491,0.0197072
21.2634,-57.0845,0,-1.67726,0.0550696,22.0514,-0.000855796
21.1836,-58.0835,0,-1.62541,0.046083,23.0538,-0.0143527
21.1493,-59.0852,0,-1.58769,0.02784,24.0561,-0.0223168
21.1422,-60.0875,0,-1.57256,0.000707094,25.0585,-0.0321846
21.1349,-61.0898,0,-1.58959,-0.0347302,26.0608,-0.0307449
21.0945,-62.0913,0,-1.63604,-0.0539772,27.0631,-0.00693982
21.002,-63.0892,0,-1.68921,-0.0476673,28.0655,0.0196075
20.8641,-64.082,0,-1.72346,-0.019109,29.0678,0.0282955
20.7065,-65.0718,0,-1.73024,0.00375507,30.0701,0.0174293
20.5517,-66.0621,0,-1.71939,0.0162772,31.0725,0.00782756
20.4123,-67.0547,0,-1.70044,0.0206659,32.0748,0.0026079
20.2934,-68.05,0,-1.67873,0.022328,33.0772,0.000668589
20.1966,-69.0476,0,-1.65638,0.0218948,34.0795,-0.00159835
20.1215,-70.0471,0,-1.6356,0.0194048,35.0818,-0.00246537
20.066,-71.0479,0,-1.6172,0.0175185,36.0842,-0.00127965
20.0281,-72.0495,0,-1.60007,0.0168743,37.0865,1.1318e-05
20.0073,-73.0516,0,-1.58307,0.0166291,38.0888,-0.00259799
20.0026,-74.0539,0,-1.56893,0.0103546,39.0912,-0.00999161
20.0077,-75.0562,0,-1.56483,-0.00342396,40.0935,-0.0174299
20.0088,-76.0586,0,-1.57762,-0.0211941,41.0959,-0.0122948
19.9899,-77.0607,0,-1.60242,-0.0257342,42.0982,0.00294386
19.9464,-78.0621,0,-1.62443,-0.0159744,43.1005,0.0162245
19.8878,-79.0627,0,-1.63097,0.0023289,44.1029,0.0131627
19.8302,-80.0634,0,-1.62467,0.00762374,45.1052,-0.00251944
19.779,-81.0644,0,-1.62091,-0.00275327,46.1076,-0.0182658
19.7237,-82.0652,0,-1.63488,-0.0250976,47.1099,-0.0179496
19.6447,-83.0644,0,-1.6661,-0.0342127,48.1122,-0.000132753
19.533,-84.0604,0,-1.69742,-0.0252558,49.1146,0.0180102
19.3975,-85.0536,0,-1.71107,-0.00083293,50.1169,0.0244977
19.2608,-86.0465,0,-1.70074,0.0203193,51.1192,0.0177079
19.1437,-87.042,0,-1.67263,0.0346001,52.1216,0.0107295
19.0606,-88.0408,0,-1.63373,0.0419787,53.1239,0.00457967
19.0192,-89.0422,0,-1.5902,0.0440284,54.1263,-0.000539359
19.0215,-90.0445,0,-1.54722,0.0408696,55.1286,-0.00573753
19.0645,-91.0458,0,-1.50991,0.0330006,56.1309,-0.00906358
19.1405,-92.0452,0,-1.48157,0.023382,57.1333,-0.010047
19.2398,-93.0426,0,-1.4633,0.0129523,58.1356,-0.0107536
19.3519,-94.0387,0,-1.45584,0.00185907,59.138,-0.0112054
19.466,-95.0345,0,-1.45965,-0.00952359,60.1403,-0.0116146
19.5704,-96.0314,0,-1.47519,-0.0216792,61.1426,-0.0127888
