optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
-6.23865,-13.3551,0,-3.80883,-22.6425,0
-6.22864,-13.3934,0,-4.12531,-22.7253,0.327135
-6.56976,-13.382,0.327135,-5.15917,-22.996,1.39694
-6.53417,-13.518,0.327135,-6.22734,-23.2761,2.50451
-7.5246,-13.9604,1.39694,-7.40748,-23.5901,3.75025
-7.42661,-14.3347,1.39694,-8.68873,-23.9371,5.10952
-9.20993,-11.9045,2.50451,-9.97023,-24.29,6.46876
-9.30507,-11.5418,2.50451,-10.5664,-22.1248,6.46876
-9.83496,-14.4636,3.75025,-11.9157,-22.5026,7.89095
-9.89922,-14.222,3.75025,-11.3101,-24.6652,7.89095
-11.2016,-14.6573,5.10952,-12.7423,-25.0715,9.4036
-11.1798,-14.7378,5.10952,-13.7574,-25.3598,10.4608
-12.4003,-15.4643,6.46876,-14.8262,-25.6627,11.5684
-12.462,-15.2403,6.46876,-15.8846,-25.9619,12.6634
-13.8658,-15.5379,7.89095,-16.9295,-26.2568,13.7458
-13.8544,-15.5788,7.89095,-17.9373,-26.541,14.7919
-15.3172,-15.9937,9.4036,-19.3229,-26.9308,16.2267
-15.3172,-15.9937,9.4036,-21.331,-24.3001,17.523
-16.3105,-16.3683,10.4608,-22.1556,-24.6079,18.6306
-16.2866,-16.4525,10.4608,-22.7713,-24.9271,19.7226
-17.3738,-16.6746,11.5684,-23.1857,-25.2616,20.8426
-17.4117,-16.5407,11.5684,-23.4416,-25.579,21.8997
-18.4639,-16.8381,12.6634,-23.7897,-25.8213,23.0071
-18.4643,-16.8367,12.6634,-23.8955,-25.7436,23.0071
-19.5049,-17.1304,13.7458,-24.3804,-25.9999,24.1018
-19.5176,-17.0852,13.7458,-24.3951,-25.9927,24.1018
-20.4983,-17.4609,14.7919,-24.3924,-26.5239,25.1966
-20.4935,-17.478,14.7919,-24.336,-26.5398,25.1966
-21.8477,-17.9567,16.2267,-24.9193,-27.0651,26.3794
-21.8477,-17.9567,16.2267,-25.1279,-27.0444,26.3794
-23.1561,-18.2529,17.523,-25.4689,-27.9292,27.6649
-23.1802,-18.1731,17.523,-25.4811,-27.9299,27.6649
-24.3497,-18.5957,18.6306,-24.8664,-29.1284,29.1248
-25.6399,-18.9831,19.7226,-24.6351,-29.0943,29.1248
-25.6026,-19.0605,19.7226,-24.5384,-30.0055,30.2072
-27.1151,-19.4839,20.8426,-24.6933,-30.0379,30.2072
-26.6065,-20.2318,20.8426,-24.4428,-31.1076,31.3651
-29.0584,-19.6801,21.8997,-24.4342,-31.1056,31.3651
-28.927,-19.8181,21.8997,-23.976,-32.2433,32.5985
-29.4572,-21.6651,23.0071,-24.7183,-32.4226,32.5985
-31.3699,-20.2624,23.0071,-22.4505,-33.0897,33.8219
-33.7132,-21.4394,24.1018,-22.8596,-33.1931,33.8219
-34.464,-23.6789,25.1966,-24.1534,-34.8677,35.1309
-34.8133,-26.0846,26.3794,-23.056,-34.589,35.1309
