x, y, z, theta
22.5728,-35.1162,0,-1.65012
22.5479,-35.4298,0,-1.65031
22.522,-35.756,0,-1.65041
22.4941,-36.1061,0,-1.6503
22.4622,-36.5076,0,-1.65014
22.4311,-36.8965,0,-1.64955
22.3974,-37.3231,0,-1.64827
22.3738,-37.6242,0,-1.64765
22.3505,-37.9254,0,-1.64708
22.3273,-38.2266,0,-1.64657
22.3026,-38.5529,0,-1.64612
22.2781,-38.8792,0,-1.64652
22.2533,-39.2065,0,-1.64683
22.2286,-39.5328,0,-1.64694
22.2019,-39.8842,0,-1.64676
22.1762,-40.223,0,-1.64701
22.1484,-40.587,0,-1.64715
22.1197,-40.9635,0,-1.64726
22.0909,-41.3399,0,-1.64739
22.0601,-41.7415,0,-1.64746
22.0294,-42.1431,0,-1.64725
21.9968,-42.5698,0,-1.64721
21.9651,-42.9839,0,-1.6475
21.9346,-43.382,0,-1.64727
21.902,-43.8087,0,-1.64722
21.8704,-44.2229,0,-1.64726
21.8388,-44.637,0,-1.6469
21.8062,-45.0637,0,-1.6469
21.7736,-45.4904,0,-1.64686
21.7411,-45.9171,0,-1.64604
21.709,-46.3438,0,-1.64565
21.677,-46.7705,0,-1.64489
21.647,-47.1721,0,-1.64486
21.6154,-47.5989,0,-1.64418
21.5854,-48.0082,0,-1.64366
21.5541,-48.435,0,-1.64352
21.523,-48.8618,0,-1.64305
21.4929,-49.276,0,-1.64294
21.4629,-49.6903,0,-1.64257
21.4321,-50.1171,0,-1.64231
21.4015,-50.5439,0,-1.64212
21.3708,-50.9707,0,-1.64206
21.3403,-51.3976,0,-1.64152
21.3108,-51.8119,0,-1.64135
21.2806,-52.2387,0,-1.64109
21.2525,-52.637,0,-1.64104
21.2224,-53.0639,0,-1.64054
21.1934,-53.4782,0,-1.64031
21.1636,-53.9051,0,-1.63986
21.134,-54.332,0,-1.63963
21.1044,-54.7589,0,-1.63951
21.0758,-55.1733,0,-1.63943
21.0473,-55.5876,0,-1.639
21.0188,-56.002,0,-1.63895
20.9897,-56.4289,0,-1.63834
20.9607,-56.8558,0,-1.63825
20.9328,-57.2722,0,-1.63808
20.9039,-57.6991,0,-1.6378
20.8752,-58.1261,0,-1.6373
20.8467,-58.553,0,-1.63719
20.8182,-58.98,0,-1.63689
20.7898,-59.407,0,-1.63674
20.7624,-59.8214,0,-1.6365
20.7333,-60.261,0,-1.63629
20.7053,-60.688,0,-1.63609
20.6773,-61.115,0,-1.63583
20.6494,-61.542,0,-1.63536
20.6224,-61.9616,0,-1.63539
20.5955,-62.3761,0,-1.63509
20.568,-62.8031,0,-1.63455
20.5407,-63.2301,0,-1.63433
20.5135,-63.6572,0,-1.63431
20.4854,-64.0968,0,-1.63511
20.4572,-64.5364,0,-1.63537
20.4288,-64.976,0,-1.63526
20.4012,-65.403,0,-1.63574
20.3719,-65.8552,0,-1.63551
20.3434,-66.2948,0,-1.63603
20.3152,-66.7318,0,-1.6358
20.2858,-67.1839,0,-1.63611
20.2563,-67.6361,0,-1.63602
20.2268,-68.0882,0,-1.63671
20.197,-68.5403,0,-1.63699
20.1679,-68.9799,0,-1.63764
20.1361,-69.4571,0,-1.63772
20.1059,-69.9092,0,-1.63788
20.074,-70.3864,0,-1.638
20.0428,-70.851,0,-1.63808
20.0117,-71.3156,0,-1.63828
19.9798,-71.789,0,-1.63902
19.9481,-72.2536,0,-1.63976
19.9161,-72.7182,0,-1.64011
19.8822,-73.2079,0,-1.64029
19.849,-73.685,0,-1.64068
19.8159,-74.1621,0,-1.6405
19.7818,-74.6517,0,-1.64085
19.7485,-75.1288,0,-1.64081
19.7151,-75.6059,0,-1.64104
19.6808,-76.0956,0,-1.64081
19.6472,-76.5727,0,-1.6401
19.614,-77.0492,0,-1.63964
19.5811,-77.5263,0,-1.63877
19.5485,-78.0034,0,-1.63818
19.5161,-78.4805,0,-1.63787
19.4849,-78.9452,0,-1.63746
19.4538,-79.4098,0,-1.63696
19.4222,-79.887,0,-1.63669
19.3907,-80.3643,0,-1.63722
19.3599,-80.8289,0,-1.63779
19.3281,-81.3061,0,-1.63864
19.2966,-81.7708,0,-1.63937
19.2644,-82.2417,0,-1.63983
19.2299,-82.744,0,-1.64048
19.1967,-83.2211,0,-1.64119
19.1623,-83.7107,0,-1.64176
19.1264,-84.2129,0,-1.64152
19.0907,-84.7151,0,-1.63998
19.0568,-85.1921,0,-1.63617
19.0222,-85.6944,0,-1.62979
18.9897,-86.1968,0,-1.62118
18.9609,-86.712,0,-1.60985
18.938,-87.2149,0,-1.59678
18.921,-87.7143,0,-1.58348
18.9106,-88.205,0,-1.568
18.9075,-88.7084,0,-1.55374
18.9119,-89.2119,0,-1.53759
18.9236,-89.7026,0,-1.52369
18.9437,-90.2182,0,-1.50886
18.9708,-90.7083,0,-1.49537
19.0059,-91.2105,0,-1.48537
19.0449,-91.6872,0,-1.47616
19.0914,-92.1885,0,-1.47148
19.1383,-92.6645,0,-1.46937
19.1897,-93.136,0,-1.46765
19.2403,-93.6242,0,-1.46768
19.2887,-94.0874,0,-1.46826
19.3369,-94.5506,0,-1.47135
19.3857,-95.0263,0,-1.47609
19.4316,-95.4898,0,-1.48132
19.4751,-95.9534,0,-1.48852
19.5156,-96.4173,0,-1.49704
19.5517,-96.869,0,-1.50567
19.5852,-97.3335,0,-1.51693
19.6126,-97.7731,0,-1.52935
19.6331,-98.2107,0,-1.54073
19.6494,-98.6509,0,-1.55261
19.6607,-99.1038,0,-1.5638
19.6666,-99.5443,0,-1.57263
19.6683,-100.01,0,-1.58278
19.6657,-100.45,0,-1.59066
19.659,-100.891,0,-1.59932
19.6477,-101.356,0,-1.60592
19.6336,-101.809,0,-1.61219
19.616,-102.275,0,-1.61888
19.5951,-102.74,0,-1.62522
19.5711,-103.212,0,-1.63008
19.5446,-103.677,0,-1.6342
19.515,-104.154,0,-1.63821
19.484,-104.619,0,-1.64064
19.4508,-105.096,0,-1.64184
19.4163,-105.586,0,-1.64175
19.3825,-106.063,0,-1.64271
19.3466,-106.565,0,-1.64303
19.3122,-107.042,0,-1.64365
19.2767,-107.531,0,-1.64437
19.2408,-108.021,0,-1.6445
19.2047,-108.519,0,-1.64466
19.1685,-109.009,0,-1.64436
19.1325,-109.498,0,-1.64405
19.0955,-110,0,-1.64354
19.0596,-110.49,0,-1.64248
19.0253,-110.967,0,-1.64121
18.9914,-111.444,0,-1.64046
18.958,-111.921,0,-1.63957
18.9249,-112.398,0,-1.63875
18.8923,-112.875,0,-1.63768
18.8601,-113.353,0,-1.63684
18.8312,-113.79,0,-1.63593
18.8,-114.268,0,-1.63506
18.7696,-114.732,0,-1.635
18.7396,-115.197,0,-1.63459
18.7091,-115.674,0,-1.63381
18.6788,-116.152,0,-1.63351
18.6494,-116.616,0,-1.63325
18.621,-117.068,0,-1.63253
18.5915,-117.546,0,-1.63173
18.5624,-118.023,0,-1.63163
18.5334,-118.501,0,-1.63192
18.5038,-118.987,0,-1.63227
18.4744,-119.464,0,-1.63302
18.4456,-119.929,0,-1.63365
18.4149,-120.419,0,-1.63392
18.3841,-120.909,0,-1.6348
18.3528,-121.398,0,-1.63543
18.3205,-121.901,0,-1.63607
18.2886,-122.391,0,-1.63687
18.2564,-122.88,0,-1.6375
18.2238,-123.37,0,-1.63837
18.1899,-123.873,0,-1.63924
18.155,-124.38,0,-1.63997
18.1203,-124.883,0,-1.64098
18.0852,-125.385,0,-1.64161
18.0506,-125.874,0,-1.64245
18.0155,-126.364,0,-1.64348
17.9792,-126.866,0,-1.644
17.9415,-127.381,0,-1.64484
17.9044,-127.883,0,-1.64565
17.867,-128.385,0,-1.64638
17.8292,-128.887,0,-1.64677
17.7911,-129.389,0,-1.64779
17.754,-129.869,0,-1.6484
17.7142,-130.384,0,-1.64917
17.675,-130.886,0,-1.64988
17.6353,-131.387,0,-1.65077
17.5951,-131.889,0,-1.65195
17.5545,-132.391,0,-1.6526
17.5145,-132.88,0,-1.65373
17.473,-133.382,0,-1.65486
17.4297,-133.896,0,-1.65622
17.387,-134.398,0,-1.65689
17.3438,-134.899,0,-1.65821
17.2999,-135.402,0,-1.65926
17.2556,-135.904,0,-1.65952
17.2111,-136.405,0,-1.66002
17.1665,-136.906,0,-1.65975
17.1218,-137.408,0,-1.66039
17.0749,-137.934,0,-1.66101
17.0302,-138.436,0,-1.66335
16.9839,-138.95,0,-1.66947
16.937,-139.451,0,-1.67809
16.8854,-139.964,0,-1.69015
16.8288,-140.477,0,-1.7067
16.767,-140.963,0,-1.7267
16.6926,-141.473,0,-1.74536
16.6111,-141.97,0,-1.76409
16.5195,-142.465,0,-1.78222
16.4205,-142.946,0,-1.79924
16.308,-143.45,0,-1.81322
16.1936,-143.927,0,-1.82659
16.0717,-144.402,0,-1.83613
15.9375,-144.901,0,-1.84089
15.8032,-145.386,0,-1.84337
15.6712,-145.859,0,-1.84337
15.5368,-146.335,0,-1.84274
15.401,-146.82,0,-1.84047
15.2656,-147.305,0,-1.83563
15.1314,-147.79,0,-1.8272
15.0006,-148.276,0,-1.81578
14.8779,-148.751,0,-1.80143
14.7556,-149.253,0,-1.78626
14.646,-149.731,0,-1.77104
14.5414,-150.224,0,-1.75585
14.4445,-150.718,0,-1.73945
14.3557,-151.213,0,-1.72367
14.2767,-151.707,0,-1.71042
14.2051,-152.192,0,-1.6969
14.1387,-152.691,0,-1.6866
14.079,-153.191,0,-1.67706
14.0245,-153.692,0,-1.67184
13.9732,-154.193,0,-1.66834
13.9227,-154.706,0,-1.66692
13.8755,-155.195,0,-1.66583
13.8263,-155.708,0,-1.66488
13.7777,-156.222,0,-1.66415
13.7306,-156.723,0,-1.66302
13.6853,-157.214,0,-1.66209
13.6369,-157.741,0,-1.66131
13.5924,-158.229,0,-1.66058
13.5482,-158.718,0,-1.65997
13.5044,-159.207,0,-1.6592
13.462,-159.684,0,-1.6584
13.4212,-160.147,0,-1.6576
13.3818,-160.599,0,-1.65684
13.3428,-161.05,0,-1.65568
13.3052,-161.489,0,-1.65548
13.2688,-161.915,0,-1.65489
13.2357,-162.304,0,-1.65429
13.2019,-162.705,0,-1.65324
13.1705,-163.081,0,-1.65185
13.1396,-163.458,0,-1.64981
13.1113,-163.809,0,-1.64837
13.0817,-164.185,0,-1.64724
13.0539,-164.549,0,-1.64697
13.0242,-164.938,0,-1.64632
12.9929,-165.353,0,-1.64607
12.9626,-165.754,0,-1.64587
12.9315,-166.168,0,-1.64534
12.8994,-166.596,0,-1.64566
12.8655,-167.047,0,-1.64528
12.8335,-167.474,0,-1.64532
12.8018,-167.901,0,-1.64487
12.7691,-168.34,0,-1.64475
12.7357,-168.792,0,-1.64516
12.702,-169.244,0,-1.64628
12.6691,-169.683,0,-1.64714
12.6347,-170.135,0,-1.64838
12.5998,-170.587,0,-1.64937
12.5654,-171.026,0,-1.64967
12.5305,-171.467,0,-1.6493
12.493,-171.944,0,-1.64853
12.4577,-172.395,0,-1.64772
12.4229,-172.847,0,-1.6467
12.3892,-173.286,0,-1.64627
12.3545,-173.738,0,-1.64427
12.321,-174.165,0,-1.63641
12.2876,-174.604,0,-1.6223
12.2582,-175.043,0,-1.60004
12.2374,-175.471,0,-1.57215
12.2267,-175.899,0,-1.53802
12.2292,-176.339,0,-1.50021
12.2476,-176.767,0,-1.46268
12.2827,-177.193,0,-1.42636
12.3346,-177.618,0,-1.39138
12.4077,-178.065,0,-1.36492
12.4938,-178.497,0,-1.34674
