x, y, z, theta
22.5728,-35.1162,0,-1.64999
22.5479,-35.4298,0,-1.65021
22.522,-35.756,0,-1.65024
22.4941,-36.1061,0,-1.65017
22.4622,-36.5076,0,-1.65039
22.4311,-36.8965,0,-1.64977
22.3974,-37.3231,0,-1.64881
22.3738,-37.6242,0,-1.64818
22.3505,-37.9254,0,-1.64756
22.3273,-38.2266,0,-1.64644
22.3026,-38.5529,0,-1.64575
22.2781,-38.8792,0,-1.64631
22.2533,-39.2065,0,-1.64656
22.2286,-39.5328,0,-1.64644
22.2019,-39.8842,0,-1.6466
22.1762,-40.223,0,-1.64691
22.1484,-40.587,0,-1.64701
22.1197,-40.9635,0,-1.64711
22.0909,-41.3399,0,-1.64729
22.0601,-41.7415,0,-1.64723
22.0294,-42.1431,0,-1.64701
21.9968,-42.5698,0,-1.64709
21.9651,-42.9839,0,-1.64728
21.9346,-43.382,0,-1.64711
21.902,-43.8087,0,-1.64701
21.8704,-44.2229,0,-1.64689
21.8388,-44.637,0,-1.64715
21.8062,-45.0637,0,-1.64704
21.7736,-45.4904,0,-1.64661
21.7411,-45.9171,0,-1.64607
21.709,-46.3438,0,-1.64562
21.677,-46.7705,0,-1.64524
21.647,-47.1721,0,-1.64485
21.6154,-47.5989,0,-1.64389
21.5854,-48.0082,0,-1.64389
21.5541,-48.435,0,-1.64363
21.523,-48.8618,0,-1.6434
21.4929,-49.276,0,-1.64301
21.4629,-49.6903,0,-1.64276
21.4321,-50.1171,0,-1.64256
21.4015,-50.5439,0,-1.6424
21.3708,-50.9707,0,-1.64223
21.3403,-51.3976,0,-1.64177
21.3108,-51.8119,0,-1.64143
21.2806,-52.2387,0,-1.64129
21.2525,-52.637,0,-1.64114
21.2224,-53.0639,0,-1.64087
21.1934,-53.4782,0,-1.64036
21.1636,-53.9051,0,-1.64006
21.134,-54.332,0,-1.63994
21.1044,-54.7589,0,-1.63982
21.0758,-55.1733,0,-1.63949
21.0473,-55.5876,0,-1.63934
21.0188,-56.002,0,-1.63899
20.9897,-56.4289,0,-1.63858
20.9607,-56.8558,0,-1.63775
20.9328,-57.2722,0,-1.63824
20.9039,-57.6991,0,-1.63793
20.8752,-58.1261,0,-1.63756
20.8467,-58.553,0,-1.63734
20.8182,-58.98,0,-1.63722
20.7898,-59.407,0,-1.63685
20.7624,-59.8214,0,-1.63684
20.7333,-60.261,0,-1.63648
20.7053,-60.688,0,-1.63629
20.6773,-61.115,0,-1.63598
20.6494,-61.542,0,-1.63494
20.6224,-61.9616,0,-1.63555
20.5955,-62.3761,0,-1.63522
20.568,-62.8031,0,-1.63471
20.5407,-63.2301,0,-1.63431
20.5135,-63.6572,0,-1.63459
20.4854,-64.0968,0,-1.63501
20.4572,-64.5364,0,-1.63531
20.4288,-64.976,0,-1.63522
20.4012,-65.403,0,-1.6355
20.3719,-65.8552,0,-1.63566
20.3434,-66.2948,0,-1.63513
20.3152,-66.7318,0,-1.63569
20.2858,-67.1839,0,-1.63596
20.2563,-67.6361,0,-1.63591
20.2268,-68.0882,0,-1.63665
20.197,-68.5403,0,-1.637
20.1679,-68.9799,0,-1.63731
20.1361,-69.4571,0,-1.63752
20.1059,-69.9092,0,-1.6376
20.074,-70.3864,0,-1.63766
20.0428,-70.851,0,-1.63781
20.0117,-71.3156,0,-1.638
19.9798,-71.789,0,-1.63886
19.9481,-72.2536,0,-1.63958
19.9161,-72.7182,0,-1.63988
19.8822,-73.2079,0,-1.64027
19.849,-73.685,0,-1.6402
19.8159,-74.1621,0,-1.64034
19.7818,-74.6517,0,-1.64045
19.7485,-75.1288,0,-1.64064
19.7151,-75.6059,0,-1.64081
19.6808,-76.0956,0,-1.64104
19.6472,-76.5727,0,-1.64036
19.614,-77.0492,0,-1.63956
19.5811,-77.5263,0,-1.63906
19.5485,-78.0034,0,-1.63852
19.5161,-78.4805,0,-1.63792
19.4849,-78.9452,0,-1.6376
19.4538,-79.4098,0,-1.63703
19.4222,-79.887,0,-1.63667
19.3907,-80.3643,0,-1.63691
19.3599,-80.8289,0,-1.63746
19.3281,-81.3061,0,-1.6384
19.2966,-81.7708,0,-1.63909
19.2644,-82.2417,0,-1.63944
19.2299,-82.744,0,-1.6401
19.1967,-83.2211,0,-1.64105
19.1623,-83.7107,0,-1.64207
19.1264,-84.2129,0,-1.64189
19.0907,-84.7151,0,-1.64162
19.0568,-85.1921,0,-1.63971
19.0222,-85.6944,0,-1.63526
18.9897,-86.1968,0,-1.62664
18.9609,-86.712,0,-1.61642
18.938,-87.2149,0,-1.60479
18.921,-87.7143,0,-1.59196
18.9106,-88.205,0,-1.57703
18.9075,-88.7084,0,-1.5619
18.9119,-89.2119,0,-1.54713
18.9236,-89.7026,0,-1.53175
18.9437,-90.2182,0,-1.51554
18.9708,-90.7083,0,-1.50106
19.0059,-91.2105,0,-1.48905
19.0449,-91.6872,0,-1.47839
19.0914,-92.1885,0,-1.4725
19.1383,-92.6645,0,-1.46236
19.1897,-93.136,0,-1.46748
19.2403,-93.6242,0,-1.46667
19.2887,-94.0874,0,-1.46705
19.3369,-94.5506,0,-1.46859
19.3857,-95.0263,0,-1.47208
19.4316,-95.4898,0,-1.47718
19.4751,-95.9534,0,-1.48386
19.5156,-96.4173,0,-1.49107
19.5517,-96.869,0,-1.49872
19.5852,-97.3335,0,-1.50864
19.6126,-97.7731,0,-1.5239
19.6331,-98.2107,0,-1.53367
19.6494,-98.6509,0,-1.54589
19.6607,-99.1038,0,-1.55746
19.6666,-99.5443,0,-1.56713
19.6683,-100.01,0,-1.57679
19.6657,-100.45,0,-1.58593
19.659,-100.891,0,-1.59511
19.6477,-101.356,0,-1.60184
19.6336,-101.809,0,-1.60873
19.616,-102.275,0,-1.61569
19.5951,-102.74,0,-1.62147
19.5711,-103.212,0,-1.62777
19.5446,-103.677,0,-1.63274
19.515,-104.154,0,-1.63745
19.484,-104.619,0,-1.64017
19.4508,-105.096,0,-1.64114
19.4163,-105.586,0,-1.64167
19.3825,-106.063,0,-1.64204
19.3466,-106.565,0,-1.64276
19.3122,-107.042,0,-1.64335
19.2767,-107.531,0,-1.64385
19.2408,-108.021,0,-1.64325
19.2047,-108.519,0,-1.64451
19.1685,-109.009,0,-1.64429
19.1325,-109.498,0,-1.64438
19.0955,-110,0,-1.64386
19.0596,-110.49,0,-1.64264
19.0253,-110.967,0,-1.64168
18.9914,-111.444,0,-1.64081
18.958,-111.921,0,-1.64006
18.9249,-112.398,0,-1.639
18.8923,-112.875,0,-1.63815
18.8601,-113.353,0,-1.63669
18.8312,-113.79,0,-1.63616
18.8,-114.268,0,-1.636
18.7696,-114.732,0,-1.63537
18.7396,-115.197,0,-1.63462
18.7091,-115.674,0,-1.6342
18.6788,-116.152,0,-1.6339
18.6494,-116.616,0,-1.63351
18.621,-117.068,0,-1.63244
18.5915,-117.546,0,-1.63183
18.5624,-118.023,0,-1.63147
18.5334,-118.501,0,-1.63166
18.5038,-118.987,0,-1.63214
18.4744,-119.464,0,-1.63269
18.4456,-119.929,0,-1.63334
18.4149,-120.419,0,-1.63375
18.3841,-120.909,0,-1.63448
18.3528,-121.398,0,-1.63507
18.3205,-121.901,0,-1.63574
