optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
90.3908,-3.83901,0,90.3863,6.46099,0
90.3908,-3.80463,0,90.3875,3.69693,0
91.4858,-3.80414,1.09498,91.4832,1.94742,1.09498
91.4858,-3.7977,1.09498,91.4827,3.12271,1.09498
92.5616,-3.80322,2.1883,92.5973,3.21231,2.1883
92.5617,-3.79463,2.1883,92.5973,3.20645,2.1883
93.6669,-3.80551,3.30845,93.7356,3.19532,3.30845
93.6687,-3.61431,3.30845,93.7357,3.20411,3.30845
94.8369,-3.36071,4.47894,94.9131,3.19041,4.47894
94.8365,-3.39596,4.47894,94.9031,2.32621,4.47894
96.0151,-3.68216,5.66009,96.1069,4.37425,5.66009
96.014,-3.77883,5.66009,96.1302,6.41738,5.66009
97.261,-3.79261,6.90612,97.3737,6.40364,6.90612
97.261,-3.79261,6.90612,98.6263,6.39085,8.16469
98.5231,-3.71018,8.16469,98.6058,4.38939,8.16469
98.5244,-3.57894,8.16469,99.8394,2.09305,9.4233
99.789,-3.14577,9.4233,99.8464,2.82338,9.4233
99.7878,-3.27233,9.4233,101.093,2.71832,10.6737
101.041,-3.18624,10.6737,101.091,2.58376,10.6737
101.042,-3.09835,10.6737,102.333,2.39589,11.9198
102.29,-3.10814,11.9198,102.334,2.47088,11.9198
102.29,-3.06713,11.9198,103.576,2.27767,13.1658
103.537,-3.16438,13.1658,103.574,1.93393,13.1658
103.538,-3.07532,13.1658,104.837,2.84439,14.4244
104.794,-3.66328,14.4244,104.836,2.73815,14.4244
104.792,-4.00243,14.4244,106.087,4.71507,15.6725
106.046,-4.00837,15.6725,106.091,5.60265,15.6725
106.046,-3.95671,15.6725,107.298,3.22599,16.906
107.292,-4.05311,16.906,107.299,3.63439,16.906
107.292,-4.10701,16.906,108.427,3.26429,18.1394
108.612,-4.07477,18.1394,109.319,3.36031,19.3201
108.613,-4.09586,18.1394,110.035,3.52599,20.4653
110.034,-4.06625,19.3201,110.047,3.46568,20.4653
110.033,-4.0541,19.3201,110.647,3.50694,21.5853
111.506,-3.77613,20.4653,110.758,3.18943,21.5853
111.492,-3.70912,20.4653,111.503,2.8844,22.6927
113.247,-3.93659,21.5853,111.472,2.93878,22.6927
113.134,-3.6141,21.5853,112.006,3.12646,23.7804
115.888,-4.8553,22.6927,112.016,3.11521,23.7804
115.723,-4.56505,22.6927,112.179,3.7037,24.85
117.088,-2.68754,23.7804,112.134,3.73741,24.85
117.807,-3.50979,23.7804,111.929,4.49289,25.995
119.958,-2.21613,24.85,111.838,4.53648,25.995
121.114,0.0865673,25.995,111.598,5.24329,27.1528
121.849,2.28508,27.1528,111.517,5.2668,27.1528
118.696,3.1949,27.1528,111.428,6.05357,28.3319
118.987,4.76137,28.3319,111.379,6.06196,28.3319
122.222,4.20849,28.3319,108.385,7.35572,29.5905
122.413,5.93427,29.5905,109.493,7.24342,29.5905
122.491,7.66778,30.8742,112.127,8.04539,30.8742
122.497,9.26191,32.2243,111.674,8.06189,30.8742
122.494,10.6751,33.6088,111.382,9.27912,32.2243
119.886,10.6684,33.6088,111.297,9.27925,32.2243
118.07,12.0554,34.9932,108.494,10.6393,33.6088
118.606,12.0582,34.9932,110.838,10.6453,33.6088
121.021,13.4415,36.3651,112.902,12.0279,34.9932
122.48,13.4489,36.3651,112.834,12.0275,34.9932
122.48,14.6877,37.6394,110.665,13.3892,36.3651
122.491,15.8535,38.8728,111.573,13.3938,36.3651
120.306,15.8746,38.8728,113.269,14.6879,37.6394
118.177,16.9873,40.0181,112.675,14.6879,37.6394
119.055,16.9613,40.0181,110.162,15.9727,38.8728
119.314,17.887,41.0879,111.087,15.9637,38.8728
119.134,17.8989,41.0879,113.108,17.1375,40.0181
118.842,19.0343,42.4272,112.613,17.1522,40.0181
118.998,19.0127,42.4272,110.015,18.503,41.0879
119.003,19.6144,43.4717,111.4,18.4112,41.0879
118.953,19.6286,43.4717,113.255,19.8098,42.4272
118.996,20.3819,44.7791,113.07,19.8355,42.4272
118.989,20.3858,44.7791,111.658,21.7357,43.4717
119.076,21.1251,45.9619,109.345,22.4039,43.4717
118.981,21.2056,45.9619,110.416,24.9502,44.7791
119.31,21.7404,46.9434,112.046,27.1181,45.9619
119.225,21.8479,46.9434,113.811,28.6874,46.9434
119.984,21.9826,47.9753,115.434,26.637,46.9434
119.885,22.1702,47.9753,117.035,27.5678,47.9753
120.939,21.4998,49.0752,117.041,27.5573,47.9753
121.374,20.1131,49.0752,119.522,26.0254,49.0752
121.936,20.1479,50.2581,119.359,26.544,49.0752
122.809,17.144,51.5167,120.968,26.6496,50.2581
123.768,17.1101,52.8543,120.963,26.6808,50.2581
125.126,17.0663,54.264,122.427,30.2068,51.5167
126.554,17.0216,55.6862,122.4,31.1381,51.5167
126.586,18.0524,55.6862,124.115,31.1058,52.8543
128.138,20.823,57.1461,125.576,31.059,54.264
128.164,21.7164,57.1461,126.991,31.0148,55.6862
129.133,20.0415,58.1583,126.959,29.984,55.6862
129.046,16.949,58.1583,128.33,27.2921,57.1461
130.048,16.8205,59.1652,128.34,27.6064,57.1461
131.057,16.7921,60.1721,129.351,27.766,58.1583
132.089,16.7631,61.2041,129.326,26.8669,58.1583
133.099,16.7352,62.211,130.388,28.7594,59.1652
134.16,16.7066,63.2682,130.449,30.9147,59.1652
135.179,16.6803,64.2795,131.453,30.8865,60.1721
135.217,18.1631,64.2795,132.484,30.8575,61.2041
136.348,20.8607,65.3367,133.488,30.8298,62.211
136.34,20.5434,65.3367,134.54,30.8015,63.2682
137.403,20.1643,66.4065,135.543,30.7756,64.2795
137.395,19.8274,66.4065,136.515,27.6507,65.3367
138.406,16.6031,67.4889,136.478,26.1559,65.3367
139.477,16.5785,68.5587,137.582,27.6314,66.4065
139.502,17.6683,68.5587,137.656,30.7243,66.4065
140.631,19.6972,69.6369,138.733,30.6993,67.4889
140.622,19.2754,69.6369,139.801,30.6748,68.5587
141.707,19.3456,70.7192,140.873,30.6511,69.6369
141.702,19.1303,70.7192,141.953,30.6276,70.7192
142.733,16.5061,71.8142,143.055,30.6024,71.8142
143.814,16.4794,72.9092,144.163,30.575,72.9092
143.873,18.8614,72.9092,144.128,29.1692,72.9092
145.016,21.0855,74.0041,145.173,26.7662,74.0041
145.019,21.1628,74.0041,145.155,26.1122,74.0041
146.032,18.9964,75.0865,146.292,27.7534,75.0865
145.955,16.4181,75.0865,146.374,30.5119,75.0865
147.05,16.3843,76.1907,147.486,30.4775,76.1907
148.157,16.35,77.2982,148.593,30.4433,77.2982
149.268,16.3163,78.4058,149.696,30.4098,78.4058
150.374,16.2825,79.5134,150.805,30.3759,79.5134
151.453,16.2491,80.5957,151.889,30.3424,80.5957
152.486,16.217,81.6303,152.788,25.9122,81.6303
152.59,19.5691,81.6303,152.784,25.7873,81.6303
153.663,21.2919,82.6498,153.789,25.2944,82.6498
153.645,20.7357,82.6498,153.777,24.9047,82.6498
155.004,17.9489,84.0972,155.313,27.6373,84.0972
154.946,16.1389,84.0972,155.395,30.2317,84.0972
156.339,16.0937,85.4942,156.796,30.1863,85.4942
157.674,16.05,86.8325,158.135,30.1424,86.8325
158.881,16.0104,88.0407,159.343,30.1028,88.0407
159.985,15.9737,89.1483,160.453,30.0659,89.1483
160.096,19.3078,89.1483,161.367,27.2338,90.1552
161.16,21.0404,90.1552,161.322,25.8689,90.1552
161.127,20.029,90.1552,162.566,25.0191,91.4185
162.377,19.982,91.4185,162.589,25.6234,91.4185
162.373,19.894,91.4185,163.839,25.4501,92.6015
163.413,19.0593,92.6015,163.849,25.6042,92.6015
163.404,18.919,92.6015,165.402,25.6749,93.8853
164.317,18.7596,93.8853,165.28,24.8974,93.8853
164.411,19.3616,93.8853,167.67,26.7496,95.1897
165.547,20.4419,95.1897,168.436,29.0249,95.1897
165.536,20.4096,95.1897,170.92,27.718,96.4355
166.329,20.161,96.4355,172.838,26.1099,97.3792
166.479,20.4089,96.4355,174.35,24.1364,98.3231
