x,y,z,theta,kappa,s,dkappa
92.3373,-2.07817,0,0.159309,-0.00193138,0,-0.00401799
93.3276,-1.92067,0,0.155571,-0.00538089,1.00273,-0.00313205
94.3187,-1.7685,0,0.148597,-0.0085675,2.00546,-0.00335489
95.3111,-1.62489,0,0.138189,-0.0123521,3.00818,-0.0043186
96.3052,-1.4937,0,0.123368,-0.0175127,4.01091,-0.00613746
97.3014,-1.38019,0,0.102287,-0.0250096,5.01364,-0.00896952
98.3002,-1.29195,0,0.0721885,-0.0354557,6.01637,-0.0114131
99.3015,-1.23924,0,0.0314033,-0.0449195,7.01909,-0.00650015
100.304,-1.23115,0,-0.0157627,-0.0477292,8.02182,0.00199519
101.306,-1.27011,0,-0.0606181,-0.0397681,9.02455,0.013561
102.306,-1.3482,0,-0.0925086,-0.0231443,10.0273,0.0176744
103.303,-1.44961,0,-0.107472,-0.00732347,11.03,0.0147602
104.3,-1.55834,0,-0.107339,0.00759483,12.0327,0.0147907
105.298,-1.65954,0,-0.0924701,0.0217997,13.0355,0.0132044
106.297,-1.73913,0,-0.0645223,0.0333315,14.0382,0.00994551
107.299,-1.78541,0,-0.0262275,0.0429045,15.0409,0.00908648
108.301,-1.78866,0,0.0211988,0.0515359,16.0436,0.00817465
109.303,-1.74017,0,0.076916,0.05982,17.0464,0.0110274
110.299,-1.63064,0,0.145346,0.0798175,18.0491,0.0299393
111.283,-1.43996,0,0.244645,0.122926,19.0518,0.0580714
112.235,-1.12722,0,0.402901,0.196132,20.0546,0.0733062
113.107,-0.637201,0,0.62919,0.246325,21.0573,0.0206807
113.837,0.0470343,0,0.875708,0.23554,22.06,-0.0370815
114.389,0.881812,0,1.08938,0.188993,23.0627,-0.0491642
114.774,1.80631,0,1.25413,0.139718,24.0655,-0.0486709
115.027,2.77614,0,1.36998,0.0914707,25.0682,-0.0479379
115.189,3.76542,0,1.43872,0.0483023,26.0709,-0.0343892
115.302,4.7617,0,1.47233,0.0209552,27.0736,-0.0209513
115.393,5.76027,0,1.48468,0.00553677,28.0764,-0.00984533
115.478,6.75942,0,1.48669,-0.00110408,29.0791,-0.00657732
115.564,7.75845,0,1.48196,-0.00864121,30.0818,-0.00842282
115.659,8.75668,0,1.46878,-0.0179176,31.0846,-0.0100353
115.772,9.75303,0,1.44589,-0.0267994,32.0873,-0.00478485
115.91,10.7461,0,1.41833,-0.0264749,33.09,0.00533321
116.074,11.7353,0,1.39605,-0.0164237,34.0927,0.0145091
116.254,12.7218,0,1.38822,0.00202219,35.0955,0.0217718
116.431,13.7087,0,1.40221,0.0268935,36.0982,0.0278746
116.581,14.7001,0,1.44431,0.0582355,37.1009,0.0348706
116.673,15.6984,0,1.52107,0.0930341,38.1037,0.0191807
116.675,16.7007,0,1.61411,0.0828279,39.1064,-0.0388778
116.599,17.7004,0,1.66821,0.0153707,40.1091,-0.0975158
116.513,18.6994,0,1.62124,-0.123241,41.1118,-0.169736
116.552,19.6996,0,1.41627,-0.278699,42.1146,-0.125912
116.857,20.6503,0,1.09505,-0.337547,43.1173,0.0152665
117.452,21.4524,0,0.780566,-0.280033,44.12,0.073811
118.247,22.0595,0,0.53527,-0.211396,45.1227,0.0611627
119.153,22.4849,0,0.351228,-0.158419,46.1255,0.0449367
120.116,22.7606,0,0.212816,-0.119519,47.1282,0.0338336
121.106,22.9182,0,0.106932,-0.0953515,48.1309,0.0142541
122.107,22.9794,0,0.0170127,-0.0845214,49.1337,0.0114699
123.109,22.9568,0,-0.0581039,-0.0593725,50.1364,0.0468386
124.108,22.8783,0,-0.088852,-0.00293777,51.1391,0.0447233
125.107,22.7933,0,-0.077183,0.0189229,52.1418,0.00194271
126.108,22.7247,0,-0.0613736,0.00927986,53.1446,-0.0184319
127.109,22.6651,0,-0.0597601,-0.00408204,54.1473,-0.00787896
128.11,22.6023,0,-0.0663418,-0.00761239,55.15,0.000764542
129.11,22.5325,0,-0.072065,-0.00221193,56.1528,0.0102875
130.11,22.461,0,-0.0688161,0.00808295,57.1555,0.00802043
131.111,22.3973,0,-0.0575778,0.0134106,58.1582,0.00250883
132.112,22.3465,0,-0.043851,0.0129779,59.1609,-0.00341197
133.114,22.3083,0,-0.032986,0.00874071,60.1637,-0.00381063
134.116,22.279,0,-0.0259308,0.00554042,61.1664,-0.00255964
135.119,22.2555,0,-0.0214451,0.00362443,62.1691,-0.00125693
136.121,22.2356,0,-0.0182903,0.00275969,63.1718,-0.000623807
137.124,22.2186,0,-0.0157644,0.00235055,64.1746,-0.000192181
138.127,22.2039,0,-0.0134317,0.00237428,65.1773,0.000239446
139.129,22.1917,0,-0.0108863,0.00272069,66.18,0.000383692
140.132,22.1822,0,-0.00795576,0.0031341,67.1828,0.000441461
141.135,22.1759,0,-0.00458099,0.00360744,68.1855,0.000503476
142.137,22.1732,0,-0.000728918,0.00402874,69.1882,0.000260352
143.14,22.1745,0,0.00338324,0.00411454,70.1909,-9.07268e-05
144.143,22.18,0,0.00740342,0.00384378,71.1937,-0.00045067
145.146,22.1892,0,0.0106341,0.00186404,72.1964,-0.00440492
146.148,22.1998,0,0.00942952,-0.00511476,73.1991,-0.00947339
147.151,22.2049,0,-0.00125896,-0.0169684,74.2018,-0.0140351
148.154,22.1928,0,-0.0249703,-0.0289121,75.2046,-0.00703677
149.155,22.1524,0,-0.0558725,-0.0311888,76.2073,0.00215515
