x, y, z, theta
144.677,15.0971,0,-0.0417991
145.03,15.0822,0,-0.0415539
145.367,15.0681,0,-0.04073
145.669,15.0557,0,-0.0401487
145.983,15.043,0,-0.0397056
146.335,15.0289,0,-0.0391228
146.687,15.015,0,-0.0382487
147.039,15.0015,0,-0.0373459
147.366,14.9892,0,-0.036639
147.685,14.9773,0,-0.0358305
147.987,14.9664,0,-0.0349685
148.289,14.9558,0,-0.0343066
148.641,14.9436,0,-0.0338415
148.993,14.9315,0,-0.0331756
149.333,14.9201,0,-0.0324531
149.66,14.9094,0,-0.0316717
149.967,14.8995,0,-0.0310445
150.269,14.8901,0,-0.0303062
150.571,14.8808,0,-0.0295606
150.873,14.8718,0,-0.0289502
151.238,14.8611,0,-0.0284457
151.539,14.8524,0,-0.0286418
151.841,14.8439,0,-0.0289078
152.193,14.8337,0,-0.0292272
152.545,14.8235,0,-0.0296919
152.899,14.8134,0,-0.0311871
153.201,14.8047,0,-0.0334738
153.566,14.7937,0,-0.0387812
153.918,14.7817,0,-0.0442549
154.257,14.7683,0,-0.0513558
154.634,14.751,0,-0.0589868
154.971,14.733,0,-0.0679705
155.335,14.7104,0,-0.0768801
155.712,14.6835,0,-0.0852762
156.088,14.6534,0,-0.0945214
156.452,14.6209,0,-0.103549
156.842,14.5826,0,-0.111971
157.23,14.5409,0,-0.120565
157.53,14.5054,0,-0.1247
157.892,14.4603,0,-0.127739
158.267,14.4123,0,-0.128854
158.653,14.362,0,-0.128583
159.036,14.3122,0,-0.127486
159.423,14.2624,0,-0.126103
159.81,14.2131,0,-0.124534
160.197,14.1645,0,-0.123035
160.559,14.1196,0,-0.121595
160.872,14.0812,0,-0.120212
161.212,14.04,0,-0.118717
161.55,13.9995,0,-0.117094
161.875,13.9609,0,-0.115316
162.187,13.9237,0,-0.112064
162.487,13.8888,0,-0.107608
162.787,13.8553,0,-0.103526
163.108,13.8209,0,-0.0987339
163.471,13.7838,0,-0.0935841
163.797,13.7522,0,-0.0887564
164.135,13.721,0,-0.0836775
164.536,13.6863,0,-0.0779276
164.837,13.6617,0,-0.073502
165.164,13.6366,0,-0.0686876
165.489,13.6134,0,-0.0642581
165.815,13.5912,0,-0.0596342
166.117,13.5721,0,-0.0551327
166.431,13.5536,0,-0.0505739
166.732,13.5373,0,-0.0464075
167.034,13.5222,0,-0.0420756
167.411,13.5052,0,-0.0366568
167.776,13.4907,0,-0.0314528
168.154,13.4781,0,-0.0261915
168.456,13.4696,0,-0.0235102
168.758,13.4625,0,-0.0216864
169.086,13.455,0,-0.020236
169.45,13.4476,0,-0.02008
169.815,13.4402,0,-0.0199106
170.18,13.4328,0,-0.0208061
170.52,13.4261,0,-0.0221374
170.872,13.4186,0,-0.0237845
171.25,13.4101,0,-0.0254538
171.594,13.4014,0,-0.0279982
171.947,13.3923,0,-0.0277782
172.299,13.3825,0,-0.0301597
172.639,13.3724,0,-0.0332027
172.978,13.3616,0,-0.0356745
173.318,13.3499,0,-0.0381716
173.645,13.3379,0,-0.0401315
173.972,13.3252,0,-0.0421637
174.372,13.3088,0,-0.0451493
174.674,13.2956,0,-0.0477784
175.001,13.2805,0,-0.0499789
175.302,13.2658,0,-0.0517271
175.692,13.2461,0,-0.053838
175.994,13.2302,0,-0.0555628
176.371,13.2096,0,-0.0578239
176.672,13.1926,0,-0.059689
177.06,13.1697,0,-0.0624649
177.374,13.1506,0,-0.0644709
177.701,13.13,0,-0.066725
178.04,13.1079,0,-0.0691631
178.354,13.0867,0,-0.0714213
178.668,13.0648,0,-0.073816
178.969,13.0431,0,-0.0760784
179.346,13.015,0,-0.0797487
179.71,12.9867,0,-0.0833166
180.095,12.9552,0,-0.0878242
180.396,12.9296,0,-0.0912802
180.734,12.8995,0,-0.0950479
181.06,12.8693,0,-0.0987839
181.398,12.8367,0,-0.102233
181.724,12.8042,0,-0.105713
182.074,12.7678,0,-0.10868
182.4,12.7327,0,-0.110687
182.718,12.697,0,-0.112078
183.056,12.6592,0,-0.112861
183.368,12.6237,0,-0.113107
183.694,12.5867,0,-0.112619
184.019,12.5499,0,-0.111762
184.344,12.5132,0,-0.110821
184.669,12.4768,0,-0.109471
184.969,12.4435,0,-0.108323
185.357,12.401,0,-0.106711
185.657,12.3687,0,-0.105502
186.033,12.3287,0,-0.104157
186.408,12.2892,0,-0.103034
186.771,12.2515,0,-0.101763
187.147,12.213,0,-0.100619
187.524,12.1747,0,-0.0994593
187.875,12.1395,0,-0.0985157
188.226,12.1046,0,-0.0975923
188.576,12.0701,0,-0.0967789
188.927,12.0358,0,-0.0960979
189.278,12.0017,0,-0.0952633
189.597,11.9713,0,-0.094137
189.948,11.9379,0,-0.0931828
190.286,11.9062,0,-0.0920486
190.637,11.8737,0,-0.0908052
