x, y, z, theta
145.03,15.0822,0,-0.0419325
145.367,15.0681,0,-0.0409781
145.669,15.0557,0,-0.040407
145.983,15.043,0,-0.0400635
146.335,15.0289,0,-0.0393661
146.687,15.015,0,-0.0385042
147.039,15.0015,0,-0.0376415
147.366,14.9892,0,-0.0370237
147.685,14.9773,0,-0.0360778
147.987,14.9664,0,-0.0353169
148.289,14.9558,0,-0.0346899
148.641,14.9436,0,-0.0341707
148.993,14.9315,0,-0.0335035
149.333,14.9201,0,-0.03274
149.66,14.9094,0,-0.0322101
149.967,14.8995,0,-0.031325
150.269,14.8901,0,-0.0305141
150.571,14.8808,0,-0.0300627
150.873,14.8718,0,-0.0291009
151.238,14.8611,0,-0.0288717
151.539,14.8524,0,-0.0284454
151.841,14.8439,0,-0.0287974
152.193,14.8337,0,-0.0288852
152.545,14.8235,0,-0.0287523
152.899,14.8134,0,-0.0288479
153.201,14.8047,0,-0.0301063
153.566,14.7937,0,-0.0340394
153.918,14.7817,0,-0.0392537
154.257,14.7683,0,-0.0460472
154.634,14.751,0,-0.0534071
154.971,14.733,0,-0.0620407
155.335,14.7104,0,-0.0710627
155.712,14.6835,0,-0.0799396
156.088,14.6534,0,-0.0890436
156.452,14.6209,0,-0.0977876
156.842,14.5826,0,-0.107241
157.23,14.5409,0,-0.117737
157.53,14.5054,0,-0.123805
157.892,14.4603,0,-0.127603
158.267,14.4123,0,-0.129187
158.653,14.362,0,-0.129438
159.036,14.3122,0,-0.128003
159.423,14.2624,0,-0.126664
159.81,14.2131,0,-0.124889
160.197,14.1645,0,-0.123556
160.559,14.1196,0,-0.122063
160.872,14.0812,0,-0.120469
161.212,14.04,0,-0.119276
161.55,13.9995,0,-0.118247
161.875,13.9609,0,-0.118722
162.187,13.9237,0,-0.115683
162.487,13.8888,0,-0.11126
162.787,13.8553,0,-0.106774
163.108,13.8209,0,-0.101927
163.471,13.7838,0,-0.0968196
163.797,13.7522,0,-0.0917697
164.135,13.721,0,-0.0863379
164.536,13.6863,0,-0.0813709
164.837,13.6617,0,-0.0769221
165.164,13.6366,0,-0.0713075
165.489,13.6134,0,-0.0677529
165.815,13.5912,0,-0.0632317
166.117,13.5721,0,-0.0587644
166.431,13.5536,0,-0.0542769
166.732,13.5373,0,-0.0499861
167.034,13.5222,0,-0.0449517
167.411,13.5052,0,-0.0396445
167.776,13.4907,0,-0.0332351
168.154,13.4781,0,-0.0283934
168.456,13.4696,0,-0.0235441
168.758,13.4625,0,-0.022663
169.086,13.455,0,-0.0204872
169.45,13.4476,0,-0.0203192
169.815,13.4402,0,-0.0201102
170.18,13.4328,0,-0.0198483
170.52,13.4261,0,-0.0210883
170.872,13.4186,0,-0.0226738
171.25,13.4101,0,-0.0251873
171.594,13.4014,0,-0.025813
171.947,13.3923,0,-0.0278885
172.299,13.3825,0,-0.0295485
172.639,13.3724,0,-0.0319341
172.978,13.3616,0,-0.0344923
173.318,13.3499,0,-0.0366577
173.645,13.3379,0,-0.0387598
173.972,13.3252,0,-0.0410415
174.372,13.3088,0,-0.043666
174.674,13.2956,0,-0.0460839
175.001,13.2805,0,-0.0486163
175.302,13.2658,0,-0.0505872
175.692,13.2461,0,-0.0527158
175.994,13.2302,0,-0.0544628
176.371,13.2096,0,-0.0563531
176.672,13.1926,0,-0.0589172
177.06,13.1697,0,-0.0608973
177.374,13.1506,0,-0.0628987
177.701,13.13,0,-0.0651583
178.04,13.1079,0,-0.0674101
178.354,13.0867,0,-0.0695938
178.668,13.0648,0,-0.0718941
178.969,13.0431,0,-0.0743913
179.346,13.015,0,-0.0777947
179.71,12.9867,0,-0.081685
180.095,12.9552,0,-0.0848697
180.396,12.9296,0,-0.0884402
180.734,12.8995,0,-0.092454
181.06,12.8693,0,-0.0960586
181.398,12.8367,0,-0.0996779
181.724,12.8042,0,-0.103486
182.074,12.7678,0,-0.107511
182.4,12.7327,0,-0.111446
182.718,12.697,0,-0.111629
183.056,12.6592,0,-0.112949
183.368,12.6237,0,-0.11318
183.694,12.5867,0,-0.112985
184.019,12.5499,0,-0.1123
184.344,12.5132,0,-0.111538
184.669,12.4768,0,-0.110334
184.969,12.4435,0,-0.10905
185.357,12.401,0,-0.107399
185.657,12.3687,0,-0.105958
186.033,12.3287,0,-0.10482
186.408,12.2892,0,-0.103575
186.771,12.2515,0,-0.10217
187.147,12.213,0,-0.101085
187.524,12.1747,0,-0.100099
187.875,12.1395,0,-0.099143
188.226,12.1046,0,-0.0981781
188.576,12.0701,0,-0.097454
188.927,12.0358,0,-0.0968422
189.278,12.0017,0,-0.0951074
189.597,11.9713,0,-0.0947444
189.948,11.9379,0,-0.0934894
190.286,11.9062,0,-0.0924515
190.637,11.8737,0,-0.091216
191.013,11.8393,0,-0.0899977
191.389,11.8053,0,-0.0887621
191.69,11.7785,0,-0.0869474
192.077,11.7448,0,-0.0860675
192.466,11.7112,0,-0.0850121
192.767,11.6856,0,-0.083836
193.143,11.654,0,-0.0822729
193.444,11.6292,0,-0.0812686
193.758,11.6036,0,-0.0801084
194.072,11.5784,0,-0.0787675
194.459,11.5478,0,-0.0775499
194.836,11.5186,0,-0.0763173
195.175,11.4927,0,-0.0752878
195.488,11.469,0,-0.0742813
195.84,11.4429,0,-0.0736958
196.17,11.4185,0,-0.0725168
196.484,11.3957,0,-0.0716349
196.785,11.374,0,-0.0708611
197.091,11.3523,0,-0.0701462
197.43,11.3285,0,-0.0691115
197.757,11.3059,0,-0.0681346
198.083,11.2836,0,-0.0654573
198.445,11.2599,0,-0.0634334
198.747,11.2407,0,-0.0618259
199.061,11.2213,0,-0.0605701
199.4,11.2007,0,-0.0596575
199.739,11.1805,0,-0.0583321
200.113,11.1586,0,-0.0575788
200.49,11.1369,0,-0.0565101
200.791,11.1199,0,-0.0553931
201.168,11.099,0,-0.0552407
201.47,11.0823,0,-0.055837
201.847,11.0612,0,-0.055915
202.237,11.0394,0,-0.0558744
202.601,11.019,0,-0.0568145
202.978,10.9976,0,-0.0575226
203.367,10.9752,0,-0.0585201
203.732,10.9538,0,-0.0595242
204.096,10.9321,0,-0.0601764
204.454,10.9106,0,-0.0611305
204.805,10.889,0,-0.0618712
205.17,10.8665,0,-0.0628361
205.534,10.8435,0,-0.063407
205.911,10.8196,0,-0.0634451
206.252,10.7979,0,-0.0633641
206.579,10.7772,0,-0.0632885
206.88,10.7581,0,-0.0631877
207.182,10.739,0,-0.0626649
207.491,10.7196,0,-0.0628907
207.805,10.6999,0,-0.0630869
208.106,10.6808,0,-0.0627474
208.47,10.6579,0,-0.0627074
208.846,10.6344,0,-0.0628086
209.172,10.6138,0,-0.0634902
209.474,10.5947,0,-0.064355
209.788,10.5744,0,-0.0647073
210.127,10.5525,0,-0.0663541
210.453,10.5308,0,-0.0672253
210.792,10.5079,0,-0.0685758
211.102,10.4867,0,-0.069713
211.428,10.4639,0,-0.0718597
211.78,10.4386,0,-0.0737035
212.119,10.4135,0,-0.0758198
212.433,10.3897,0,-0.0775889
212.784,10.3624,0,-0.0784231
213.148,10.3338,0,-0.0783904
213.512,10.3052,0,-0.0780172
213.863,10.2777,0,-0.0775863
214.227,10.2495,0,-0.0772335
214.578,10.2223,0,-0.0774261
214.942,10.194,0,-0.0773917
215.281,10.1678,0,-0.0763667
215.632,10.1409,0,-0.0748123
215.984,10.1145,0,-0.0734097
216.328,10.0892,0,-0.0726389
216.692,10.0627,0,-0.0717215
217.056,10.0366,0,-0.0708047
217.407,10.0117,0,-0.0697167
217.771,9.98624,0,-0.069193
218.136,9.961,0,-0.0676973
218.5,9.93631,0,-0.0672321
218.863,9.91187,0,-0.0671731
219.214,9.88821,0,-0.0672133
219.591,9.86285,0,-0.0669916
219.943,9.83926,0,-0.0671883
220.307,9.81476,0,-0.0675248
220.671,9.79013,0,-0.0679475
221.035,9.76535,0,-0.0685464
221.38,9.7417,0,-0.0689399
221.719,9.71829,0,-0.0692497
222.07,9.69391,0,-0.0696787
222.422,9.66937,0,-0.0700303
222.773,9.64471,0,-0.0704692
223.112,9.62079,0,-0.0709482
223.426,9.59848,0,-0.0709738
223.79,9.5726,0,-0.071314
224.122,9.54889,0,-0.0716808
224.474,9.52365,0,-0.0721513
224.8,9.50006,0,-0.0720545
225.115,9.47733,0,-0.072812
225.416,9.45535,0,-0.0728669
225.736,9.43201,0,-0.0732674
226.062,9.40805,0,-0.0731914
226.389,9.38412,0,-0.0727134
226.752,9.35767,0,-0.0723633
227.091,9.3331,0,-0.0771888
227.48,9.30301,0,-0.0834475
227.781,9.27783,0,-0.0877663
228.195,9.24142,0,-0.0904066
228.521,9.21188,0,-0.0924644
228.834,9.18283,0,-0.0949189
229.142,9.15353,0,-0.0965165
229.53,9.11594,0,-0.0978752
229.906,9.07904,0,-0.0993197
230.256,9.0441,0,-0.100957
230.607,9.00858,0,-0.102475
230.945,8.97382,0,-0.10316
231.258,8.94144,0,-0.103515
231.583,8.90762,0,-0.103328
231.884,8.87646,0,-0.101921
232.184,8.84573,0,-0.100186
232.485,8.81552,0,-0.0983349
232.83,8.78143,0,-0.0962694
233.181,8.74756,0,-0.0946164
233.482,8.71902,0,-0.0927727
233.783,8.69104,0,-0.0913642
234.083,8.66348,0,-0.090032
234.397,8.63519,0,-0.0883421
234.723,8.60632,0,-0.0869611
235.042,8.57849,0,-0.0851512
235.38,8.54959,0,-0.0839765
235.719,8.52109,0,-0.0824476
236.058,8.4931,0,-0.0811835
236.396,8.46555,0,-0.0800122
236.723,8.43939,0,-0.0787889
237.049,8.41364,0,-0.0774225
237.382,8.38776,0,-0.0758921
237.709,8.36295,0,-0.0745797
238.035,8.33856,0,-0.0732046
238.349,8.31555,0,-0.0719224
238.663,8.29294,0,-0.070653
238.989,8.26984,0,-0.0697292
239.316,8.24704,0,-0.0689797
239.638,8.22473,0,-0.0682277
239.965,8.20242,0,-0.0683239
240.291,8.18008,0,-0.0682326
240.605,8.15863,0,-0.0680467
240.907,8.13809,0,-0.0676401
241.208,8.11768,0,-0.0670353
241.509,8.09744,0,-0.0668295
241.881,8.07254,0,-0.065923
242.258,8.04767,0,-0.0655951
242.635,8.02292,0,-0.0649275
242.999,7.99924,0,-0.064385
243.351,7.97656,0,-0.06361
243.703,7.95416,0,-0.0633378
244.03,7.93338,0,-0.0626373
244.369,7.91211,0,-0.0620581
244.696,7.89182,0,-0.061568
244.997,7.87323,0,-0.0610313
245.324,7.85327,0,-0.0603209
245.625,7.83508,0,-0.0599483
245.927,7.81699,0,-0.0596152
246.279,7.79599,0,-0.0595236
246.63,7.77502,0,-0.0595839
246.97,7.75479,0,-0.0594132
247.282,7.73618,0,-0.0592969
247.597,7.71753,0,-0.0590975
247.911,7.69894,0,-0.0589749
248.237,7.67966,0,-0.0589646
248.55,7.66119,0,-0.0592998
248.864,7.64255,0,-0.0593432
249.166,7.62463,0,-0.0589404
249.481,7.60605,0,-0.0589848
249.817,7.58621,0,-0.058741
250.118,7.56848,0,-0.0586592
250.47,7.54782,0,-0.0591445
250.771,7.52997,0,-0.0603741
251.098,7.51022,0,-0.0594889
251.437,7.49002,0,-0.0547587
251.789,7.47073,0,-0.0461816
252.107,7.45605,0,-0.0324176
252.484,7.44382,0,-0.0125278
252.786,7.44003,0,0.00808308
253.088,7.44247,0,0.0418632
253.428,7.4567,0,0.0840556
253.737,7.48276,0,0.129703
254.074,7.5267,0,0.176297
254.446,7.59293,0,0.225822
254.826,7.68027,0,0.288191
255.139,7.77325,0,0.348445
255.471,7.89355,0,0.429121
255.78,8.03494,0,0.477712
256.104,8.2027,0,0.548107
256.394,8.37973,0,0.626287
256.689,8.5936,0,0.706034
256.948,8.814,0,0.778983
257.19,9.05267,0,0.848544
257.397,9.28873,0,0.917224
257.589,9.53845,0,0.987877
257.756,9.79144,0,1.03225
257.91,10.0507,0,1.08213
258.082,10.373,0,1.13444
258.247,10.7265,0,1.18667
258.383,11.0648,0,1.23465
258.496,11.3857,0,1.28428
258.583,11.6818,0,1.32077
258.658,11.9745,0,1.35503
258.722,12.2695,0,1.38901
258.784,12.6037,0,1.41919
258.843,12.9894,0,1.44373
258.892,13.3778,0,1.46533
258.931,13.7408,0,1.4765
258.966,14.1167,0,1.48253
258.997,14.4677,0,1.48558
259.028,14.8314,0,1.48708
259.059,15.1951,0,1.48883
259.088,15.5454,0,1.4887
259.116,15.8966,0,1.48971
259.144,16.2354,0,1.49032
259.17,16.5615,0,1.4911
259.194,16.8626,0,1.49089
259.221,17.1942,0,1.49211
259.245,17.4953,0,1.49273
259.27,17.8257,0,1.49341
259.296,18.152,0,1.49278
259.323,18.5033,0,1.49299
259.353,18.8834,0,1.49485
259.376,19.1846,0,1.49672
259.401,19.5235,0,1.50237
259.422,19.8374,0,1.51525
259.442,20.1892,0,1.53765
259.452,20.4911,0,1.56498
259.454,20.8058,0,1.60589
259.44,21.2003,0,1.64507
259.412,21.5768,0,1.68926
259.367,21.9517,0,1.74392
259.313,22.2617,0,1.80566
259.24,22.5676,0,1.87057
259.146,22.8731,0,1.92291
259.033,23.1802,0,1.98319
258.907,23.4684,0,2.05259
258.755,23.7584,0,2.1267
258.576,24.0469,0,2.20482
258.367,24.3307,0,2.28366
258.14,24.5934,0,2.361
257.872,24.859,0,2.43976
257.612,25.0783,0,2.51642
257.316,25.2919,0,2.59643
256.994,25.4876,0,2.66917
256.655,25.661,0,2.73939
256.319,25.8038,0,2.79264
255.964,25.9329,0,2.82989
255.605,26.0487,0,2.86078
255.278,26.1429,0,2.89363
254.924,26.2325,0,2.92659
254.591,26.3053,0,2.94473
254.257,26.3718,0,2.96068
253.951,26.4278,0,2.98177
253.64,26.4779,0,2.99709
253.321,26.5244,0,3.01312
253.009,26.5647,0,3.03163
252.695,26.5994,0,3.04343
252.394,26.629,0,3.04632
252.068,26.6601,0,3.04609
251.716,26.6938,0,3.04566
251.366,26.7276,0,3.04349
251.053,26.7584,0,3.04117
250.754,26.7885,0,3.03927
250.453,26.8193,0,3.03763
250.141,26.852,0,3.03508
249.815,26.8868,0,3.03118
249.489,26.923,0,3.02847
249.176,26.9585,0,3.02778
248.876,26.9928,0,3.02662
248.551,27.0303,0,3.02431
248.213,27.0701,0,3.02588
247.873,27.1097,0,3.03352
247.56,27.1436,0,3.05195
247.247,27.1718,0,3.07537
246.945,27.1918,0,3.10404
246.606,27.2045,0,3.13662
246.281,27.2061,0,-3.10926
245.941,27.1952,0,-3.07253
245.64,27.1743,0,-3.04383
245.289,27.1399,0,-3.0235
244.927,27.0969,0,-3.01714
244.547,27.0494,0,-3.01873
244.247,27.0124,0,-3.018
243.935,26.9736,0,-3.02337
243.622,26.9365,0,-3.03607
243.309,26.9033,0,-3.05753
243.008,26.878,0,-3.08317
242.694,26.8596,0,-3.11451
242.372,26.8509,0,3.12884
241.982,26.8558,0,3.08343
241.592,26.8785,0,3.03673
241.217,26.918,0,2.99681
240.918,26.9616,0,2.96491
240.559,27.0258,0,2.93929
240.224,27.0943,0,2.92149
239.917,27.163,0,2.91547
239.574,27.242,0,2.90988
239.243,27.3201,0,2.90796
238.933,27.394,0,2.91118
238.614,27.4687,0,2.93043
238.308,27.5343,0,2.97426
237.998,27.5867,0,3.02121
237.686,27.6245,0,3.06739
237.386,27.6468,0,3.11805
237.084,27.6539,0,-3.11016
236.782,27.6444,0,-3.07718
236.441,27.6224,0,-3.05527
236.102,27.5931,0,-3.03892
235.777,27.5595,0,-3.03055
235.435,27.5214,0,-3.02822
235.072,27.4801,0,-3.03502
234.772,27.448,0,-3.0462
234.458,27.418,0,-3.06088
234.107,27.3896,0,-3.08361
233.787,27.371,0,-3.10279
233.447,27.3578,0,-3.12354
233.107,27.3517,0,3.13852
232.78,27.3527,0,3.118
232.453,27.3604,0,3.09774
232.139,27.3742,0,3.07488
231.775,27.3985,0,3.05363
231.449,27.4272,0,3.03255
231.137,27.4615,0,3.01439
230.825,27.5014,0,2.99726
230.514,27.5464,0,2.98205
230.179,27.6004,0,2.96961
229.857,27.6564,0,2.96083
229.56,27.7107,0,2.95387
229.263,27.767,0,2.94876
228.917,27.8346,0,2.94629
228.588,27.8996,0,2.94518
228.255,27.9659,0,2.94582
227.922,28.032,0,2.9472
227.588,28.0977,0,2.94998
227.257,28.162,0,2.95532
226.935,28.2227,0,2.96109
226.601,28.2837,0,2.96522
226.291,28.3389,0,2.97598
225.969,28.3927,0,2.99048
225.658,28.4401,0,3.00853
225.346,28.4818,0,3.01699
225.046,28.5194,0,3.01808
224.695,28.563,0,3.02758
224.395,28.5974,0,3.04772
224.069,28.628,0,3.07239
223.755,28.6498,0,3.10215
223.416,28.6632,0,3.1271
223.098,28.6678,0,-3.13908
222.745,28.6669,0,-3.12341
222.393,28.6605,0,-3.11709
222.028,28.6516,0,-3.11475
221.663,28.6418,0,-3.11443
221.286,28.6315,0,-3.11613
220.903,28.6218,0,-3.12462
220.538,28.6156,0,-3.13813
220.186,28.6143,0,3.12731
219.846,28.6192,0,3.10842
219.532,28.6296,0,3.08973
219.23,28.6453,0,3.07051
218.931,28.6666,0,3.05049
218.567,28.6998,0,3.02828
218.23,28.7383,0,3.01107
217.88,28.7841,0,2.99788
217.548,28.8322,0,2.99238
217.224,28.8808,0,2.99262
216.876,28.9331,0,2.99425
216.577,28.9775,0,2.99631
216.278,29.0212,0,2.99933
215.961,29.0667,0,3.00078
215.649,29.1109,0,3.00322
215.337,29.1543,0,3.00703
215.038,29.1948,0,3.009
214.706,29.2391,0,3.01174
214.394,29.2798,0,3.02422
214.057,29.3196,0,3.03829
213.728,29.3537,0,3.05091
213.365,29.3867,0,3.06655
213.051,29.4103,0,3.07972
212.724,29.4305,0,3.09142
212.404,29.4466,0,3.09945
212.102,29.4593,0,3.10334
211.801,29.4709,0,3.10416
211.499,29.4822,0,3.10471
211.197,29.4933,0,3.10469
210.856,29.5059,0,3.10522
210.529,29.5178,0,3.10578
210.201,29.5296,0,3.10617
209.849,29.542,0,3.10662
209.516,29.5537,0,3.10674
209.177,29.5655,0,3.10715
208.837,29.5772,0,3.10785
208.485,29.5891,0,3.1087
208.177,29.5993,0,3.10917
207.837,29.6103,0,3.10885
207.485,29.6218,0,3.10708
207.107,29.6348,0,3.1051
206.718,29.6491,0,3.10384
206.328,29.6638,0,3.1016
205.93,29.6797,0,3.09854
205.628,29.6927,0,3.09561
205.314,29.7072,0,3.09293
205.012,29.7219,0,3.08985
204.71,29.7375,0,3.08677
204.321,29.7589,0,3.08352
204.019,29.7764,0,3.08007
203.636,29.8,0,3.0777
203.26,29.8241,0,3.07487
202.895,29.8484,0,3.07234
202.531,29.8737,0,3.06918
202.18,29.8992,0,3.06589
201.826,29.926,0,3.06265
201.487,29.9528,0,3.06214
201.136,29.9808,0,3.06149
200.81,30.007,0,3.06148
200.484,30.0332,0,3.0624
200.144,30.0602,0,3.06316
199.805,30.0868,0,3.06461
199.453,30.1139,0,3.06589
199.127,30.1386,0,3.06714
198.78,30.1645,0,3.06844
198.479,30.1866,0,3.06987
198.115,30.2127,0,3.07107
197.814,30.234,0,3.07207
197.512,30.255,0,3.07337
197.186,30.2773,0,3.07416
196.865,30.299,0,3.07566
196.501,30.323,0,3.07679
196.199,30.3426,0,3.07739
195.898,30.362,0,3.07828
195.571,30.3827,0,3.07892
195.245,30.4032,0,3.07941
194.927,30.4229,0,3.0802
194.575,30.4446,0,3.08111
194.224,30.4659,0,3.08179
193.884,30.4862,0,3.08159
193.533,30.5073,0,3.08154
193.181,30.5285,0,3.08164
192.829,30.5496,0,3.08149
192.502,30.5692,0,3.08184
192.182,30.5884,0,3.0813
191.856,30.6081,0,3.08112
191.517,30.6286,0,3.08086
191.14,30.6516,0,3.08065
190.763,30.6745,0,3.08039
190.398,30.6969,0,3.08014
190.034,30.7193,0,3.08078
189.681,30.7408,0,3.08051
189.329,30.7623,0,3.07995
189.002,30.7825,0,3.07982
188.676,30.8027,0,3.07948
188.299,30.8261,0,3.07913
187.935,30.8489,0,3.07834
187.583,30.8712,0,3.07735
187.237,30.8934,0,3.07557
186.911,30.915,0,3.07443
186.584,30.937,0,3.07282
186.27,30.9586,0,3.06992
185.894,30.9856,0,3.06639
185.542,31.0121,0,3.06524
185.229,31.0361,0,3.06504
184.9,31.0613,0,3.06401
184.599,31.0847,0,3.06271
184.273,31.1105,0,3.06599
183.972,31.1333,0,3.07821
183.655,31.1534,0,3.09435
183.353,31.1677,0,3.10269
183.026,31.1804,0,3.10527
182.724,31.1914,0,3.11068
182.4,31.2014,0,3.10408
182.048,31.2146,0,3.08363
181.746,31.2321,0,3.05301
181.395,31.2633,0,3.02569
181.056,31.3027,0,2.99545
180.733,31.3504,0,2.94466
180.387,31.4193,0,2.87688
180.096,31.4984,0,2.80038
179.77,31.6139,0,2.73133
179.47,31.7443,0,2.65477
179.148,31.9151,0,2.57274
178.84,32.1116,0,2.48829
178.545,32.3375,0,2.40651
178.303,32.5569,0,2.33364
178.068,32.8024,0,2.25397
177.838,33.0854,0,2.17169
177.624,33.3968,0,2.08514
177.447,33.7096,0,2.00558
177.294,34.0405,0,1.92633
177.171,34.3708,0,1.85173
177.084,34.673,0,1.77242
177.008,35.0429,0,1.69537
176.969,35.3582,0,1.61559
176.954,35.6976,0,1.54424
176.963,36.0624,0,1.4984
176.99,36.4264,0,1.46898
177.022,36.7395,0,1.45367
177.06,37.0644,0,1.44744
177.103,37.4082,0,1.44608
177.146,37.7578,0,1.44539
177.195,38.1449,0,1.44525
177.246,38.5445,0,1.44522
177.296,38.9441,0,1.44524
177.346,39.3436,0,1.44607
177.398,39.7557,0,1.4473
177.445,40.1338,0,1.44588
177.492,40.5085,0,1.4408
177.539,40.8704,0,1.43095
177.594,41.2567,0,1.41141
177.66,41.6668,0,1.37956
177.741,42.0869,0,1.33852
177.84,42.5033,0,1.28693
177.959,42.914,0,1.22541
178.098,43.3001,0,1.15628
178.25,43.6457,0,1.08146
178.428,43.9788,0,1.00301
178.638,44.3077,0,0.920148
178.866,44.608,0,0.835157
179.119,44.8879,0,0.752559
179.404,45.1545,0,0.659069
179.687,45.3737,0,0.584571
180.002,45.582,0,0.499357
180.322,45.7567,0,0.420467
180.644,45.9006,0,0.340926
180.976,46.0184,0,0.258468
181.317,46.1084,0,0.185497
181.651,46.1711,0,0.105733
182.025,46.2109,0,0.0276989
182.415,46.2217,0,-0.0482901
182.805,46.2028,0,-0.102823
183.243,46.1576,0,-0.127827
183.668,46.1031,0,-0.129885
184.104,46.046,0,-0.113638
184.53,45.9975,0,-0.0721195
184.969,45.9658,0,-0.0224868
185.354,45.9571,0,0.0438705
185.731,45.9736,0,0.111236
186.081,46.0128,0,0.188596
186.39,46.0717,0,0.262406
186.682,46.1501,0,0.336365
187.003,46.2622,0,0.430969
187.308,46.4027,0,0.430969
