optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
144.74,7.98817,0,145.319,22.1763,0
146.045,7.93482,1.30654,145.261,20.7478,0
147.093,7.89442,2.33857,146.482,18.629,1.30654
148.387,7.8481,3.61415,146.51,19.3224,1.30654
149.422,7.81341,4.6336,147.528,19.1861,2.33857
149.54,11.338,4.6336,147.525,19.1153,2.33857
150.82,13.1554,5.84729,148.789,19.0701,3.61415
150.818,13.1023,5.84729,148.791,19.141,3.61415
152.085,11.0712,7.16803,149.794,18.9133,4.6336
151.989,7.73666,7.16803,149.786,18.6683,4.6336
152.996,7.70761,8.17598,151.001,18.987,5.84729
153.149,13.0131,8.17598,151.001,18.987,5.84729
154.221,13.704,9.23319,152.379,21.2638,7.16803
154.211,13.421,9.23319,152.398,21.9308,7.16803
155.259,13.2946,10.3125,153.405,21.9017,8.17598
155.26,13.3093,10.3125,153.352,20.0379,8.17598
156.329,13.0883,11.4326,154.354,17.572,9.23319
156.33,13.0985,11.4326,154.377,18.2444,9.23319
157.374,13.0523,12.5171,155.512,17.9931,10.3125
157.385,13.157,12.5171,155.507,17.9018,10.3125
158.411,12.4616,13.6498,156.736,18.1717,11.4326
158.317,11.724,13.6498,156.73,18.1035,11.4326
159.47,11.5755,14.8159,158.215,20.9016,12.5171
159.463,11.5197,14.8159,158.069,19.5334,12.5171
160.502,11.1026,15.8857,158.957,16.7393,13.6498
160.518,11.2349,15.8857,159.015,17.1991,13.6498
161.523,11.0247,16.8961,160.198,17.2255,14.8159
161.598,11.6562,16.8961,160.231,17.4861,14.8159
162.582,9.18713,18.1371,161.315,17.6538,15.8857
162.307,6.76626,18.1371,161.31,17.6109,15.8857
163.448,6.65436,19.1692,162.31,17.5901,16.8961
164.583,6.56038,20.2012,162.24,17.0063,16.8961
164.996,11.595,20.2012,163.748,19.455,18.1371
166.359,12.4529,21.4709,163.909,20.8756,18.1371
166.346,12.2547,21.4709,164.716,19.6928,19.1692
167.696,11.7885,22.8176,164.595,18.4536,19.1692
167.696,11.7803,22.8176,165.393,16.4295,20.2012
169.039,11.7434,24.1278,165.433,16.9131,20.2012
169.023,11.1666,24.1278,166.645,16.8341,21.4709
170.119,10.4075,25.2227,166.65,16.9066,21.4709
170.127,10.8177,25.2227,167.928,16.749,22.8176
171.208,11.4558,26.2925,167.915,16.464,22.8176
171.213,11.6678,26.2925,169.169,16.5164,24.1278
172.232,10.8409,27.342,169.176,16.7812,24.1278
172.215,10.1872,27.342,170.246,16.6625,25.2227
